gccsa_code_2011,gccsa_name_2011,year,p_0_14_yrs_pc,p_15_24_yrs_pc,p_25_34_yrs_pc,p_35_44_yrs_pc,p_45_54_yrs_pc,p_55_64_yrs_pc,p_65_74_yrs_pc,p_75_84_yrs_pc,p_85_yrs_plus_pc,m_0_4_yrs,m_5_9_yrs,m_10_14_yrs,m_15_19_yrs,m_20_24_yrs,m_25_29_yrs,m_30_34_yrs,m_35_39_yrs,m_40_44_yrs,m_45_49_yrs,m_50_54_yrs,m_55_59_yrs,m_60_64_yrs,m_65_69_yrs,m_70_74_yrs,m_75_79_yrs,m_80_84_yrs,m_85_yrs_and_over,m_tot,f_0_4_yrs,f_5_9_yrs,f_10_14_yrs,f_15_19_yrs,f_20_24_yrs,f_25_29_yrs,f_30_34_yrs,f_35_39_yrs,f_40_44_yrs,f_45_49_yrs,f_50_54_yrs,f_55_59_yrs,f_60_64_yrs,f_65_69_yrs,f_70_74_yrs,f_75_79_yrs,f_80_84_yrs,f_85_yrs_and_over,f_tot,p_0_4_yrs,p_5_9_yrs,p_10_14_yrs,p_15_19_yrs,p_20_24_yrs,p_25_29_yrs,p_30_34_yrs,p_35_39_yrs,p_40_44_yrs,p_45_49_yrs,p_50_54_yrs,p_55_59_yrs,p_60_64_yrs,p_65_69_yrs,p_70_74_yrs,p_75_79_yrs,p_80_84_yrs,p_85_yrs_and_over,p_tot,p_tot_wrk_age_pop_pc,m_med_age,f_med_age,p_med_age,prop_indig_ppl_pc,bd_births,bd_tot_fert_rate,bd_deaths,bd_stnd_dth_rate,pop_density,rime_net_migrtn,rime_arrivals,rime_departures,obp_oceania_antar_pc,obp_nw_europe_pc,obp_sth_east_europe_pc,obp_nrth_afric_mid_east_pc,obp_se_asia_pc,obp_ne_asia_pc,obp_sth_cntrl_asia_pc,obp_america_pc,obp_sub_saharan_africa_pc,obp_tot_pc,spk_lang_oth_eng_pc,enrl_preschl_prog_4_yrs,enrl_preschl_prog_5_yrs,enrl_preschl_prog_tot,enrl_preschl_prog_preschl,enrl_preschl_prog_preschl_daycare,enrl_preschl_prog_1_more_type,att_preschl_15_hrs_less,att_preschl_15_hrs_more,psq_pop_15_yrs_plus_pc,psq_postgrad_deg_pc,psq_grad_dip_cert_pc,psq_bach_deg_pc,psq_adv_dip_dip_pc,psq_cert_pc,psq_inad_desc_ns_pc,oep_manager_pc,oep_prof_pc,oep_tech_trade_wrk_pc,oep_comm_pers_serv_wrk_pc,oep_cler_admin_wrk_pc,oep_sal_wrk_pc,oep_mach_oper_driv_pc,oep_lab_pc,oep_inad_desc_ns_pc,mtw_1_meth_train_or_tram,mtw_1_meth_bus,mtw_1_meth_car,mtw_1_meth_motorbike_or_scooter,mtw_1_meth_bicycle,mtw_1_meth_oth,mtw_1_meth_walk_ono,mtw_1_meth_tot,mtw_more_1_meth_tot,mtw_oth_wrk_home,mtw_oth_emp_not_go_to_wrk,mtw_oth_wrk_meth_ns,mtw_tot_empl,hhold_type_lone_pers,hhold_type_group,hhold_type_fam,hhold_type_tot,hhold_avg_size,fam_type_cpl_chld_u15_dep_stu,fam_type_cpl_non_dep_chld,fam_type_cpl_wo_chld,fam_type_opf_chld_u15_dep_stu,fam_type_opf_non_dep_chld,fam_type_oth_fam,fam_type_tot,fam_avg_size,disable_p_liv_priv_dwell,disable_p_liv_priv_dwell_pc,uw_volunt_wrk_org_grp_pc,uw_care_own_chld_wo_pay_pc,uw_care_oth_chld_wo_pay_pc,uw_care_own_oth_chld_wo_pay_pc,uw_prov_care_hpl_assist_oth_pc,internet_access_broadband_pc,internet_access_dial_up_pc,internet_access_other_pc,internet_access_tot_connected_pc
1GSYD,Greater Sydney,2010,18.9,13.9,15.9,14.8,13.5,10.6,6.6,4.2,1.7,157937,142780,139925,148040,174560,188852,175110,174957,158778,158782,144119,125017,113508,83885,63056,47435,35589,26176,2258506,150284,134980,132911,140107,168340,186624,175489,178395,161931,161919,148178,129835,114863,85899,68031,56825,49645,52754,2297010,308221,277760,272836,288147,342900,375476,350599,353352,320709,320701,292297,254852,228371,169784,131087,104260,85234,78930,4555516,68.7,35,37,36,,,,,,368.3,-16586.0,63719.0,80305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GSYD,Greater Sydney,2011,18.7,13.7,16.0,14.8,13.4,10.7,6.8,4.2,1.8,158361,145453,140219,147501,173587,189954,180058,173855,163497,157587,147651,127559,115325,88081,65375,48154,36206,27566,2285989,150167,137041,132743,139010,169525,188945,179912,176036,167520,159908,151168,132621,117400,89937,69768,57172,49746,54341,2322960,308528,282494,272962,286511,343112,378899,359970,349891,331017,317495,298819,260180,232725,178018,135143,105326,85952,81907,4608949,68.5,35,37,36,1.3,66449.0,,27375.0,,372.7,-19917.0,62174.0,82091.0,3.1,5.7,4.3,3.5,5.3,5.6,3.7,1.7,1.3,40.1,32.5,,,,,,,,,59.5,5.6,1.6,16.9,9.0,15.2,11.3,13.3,25.5,12.2,8.8,16.2,9.0,5.7,7.3,2.0,188924.0,107895.0,1200504.0,12643.0,15625.0,43895.0,84556.0,1654042.0,118743.0,81609.0,178359.0,30516.0,2063269.0,343809.0,64954.0,1112635.0,1521398.0,2.7,457282.0,106607.0,385713.0,113017.0,68202.0,21731.0,1152552.0,3.1,,,15.1,20.0,6.6,0.7,10.8,70.6,2.4,3.5,76.5
1GSYD,Greater Sydney,2012,18.8,13.5,16.1,14.7,13.2,10.7,7.1,4.1,1.8,162331,148824,140337,148598,173606,189966,185092,172437,168634,155857,150754,130936,114461,94205,67510,49429,36339,28978,2318294,153473,140069,132830,139859,169382,191197,185114,174097,173355,158694,154045,136114,117978,96765,71661,58044,49310,55837,2357824,315804,288893,273167,288457,342988,381163,370206,346534,341989,314551,304799,267050,232439,190970,139171,107473,85649,84815,4676118,68.2,35,37,36,,66476.0,,26595.0,,378.1,-23871.0,62506.0,86377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GSYD,Greater Sydney,2013,18.8,13.4,16.1,14.6,13.1,10.7,7.3,4.1,1.9,165904,152141,141920,149489,175863,191149,191162,172252,172090,154937,153421,133948,115385,99706,69848,51003,36678,30519,2357415,156934,143306,134026,141215,170538,193199,191602,173756,177150,158277,156723,139878,120077,102624,74078,59039,49026,57535,2398983,322838,295447,275946,290704,346401,384348,382764,346008,349240,313214,310144,273826,235462,202330,143926,110042,85704,88054,4756398,68.0,35,37,36,,67868.0,1.9,27309.0,5.3,384.6,-18647.0,63087.0,81734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GSYD,Greater Sydney,2014,18.7,13.3,16.2,14.5,13.0,10.8,7.5,4.1,1.9,166995,155583,143482,150882,178698,194245,196632,174180,174365,155351,155261,137151,117558,103177,73773,53046,36922,32233,2399534,157624,146965,135403,142377,172882,196110,197387,175291,178692,159369,159229,143036,123316,106813,77829,60907,48480,59384,2441094,324619,302548,278885,293259,351580,390355,394019,349471,353057,314720,314490,280187,240874,209990,151602,113953,85402,91617,4840628,67.8,35,37,36,,62083.0,1.8,28238.0,5.2,391.4,-14177.0,67496.0,81673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RNSW,Rest of NSW,2010,19.4,12.9,10.9,12.7,14.1,12.8,9.3,5.8,2.2,85339,84207,88794,90400,81324,72949,68655,81012,81238,90538,91030,85668,81641,66214,52908,39542,28691,19451,1289601,80681,79104,83851,85188,76060,71255,69637,82907,83381,91852,91188,84242,79994,66526,54319,44944,37338,36708,1299175,166020,163311,172645,175588,157384,144204,138292,163919,164619,182390,182218,169910,161635,132740,107227,84486,66029,56159,2588776,63.4,40,41,40,,,,,,3.3,7148.0,82904.0,75756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RNSW,Rest of NSW,2011,19.3,12.7,10.8,12.5,14.0,13.0,9.6,5.9,2.3,84675,85195,89016,89873,80655,72934,68602,78073,82914,88014,92708,87182,84057,69719,54700,40388,29692,20723,1299120,80202,80284,83971,84286,75698,70738,69813,80302,85606,89944,93952,86144,82184,69612,55410,45828,38219,38267,1310460,164877,165479,172987,174159,156353,143672,138415,158375,168520,177958,186660,173326,166241,139331,110110,86216,67911,58990,2609580,63.0,40,42,41,4.7,32182.0,,23152.0,,3.3,6477.0,81881.0,75404.0,1.4,4.9,1.5,0.3,0.7,0.5,0.5,0.6,0.5,16.2,5.1,,,,,,,,,53.2,2.0,1.3,9.1,7.1,22.1,11.7,13.5,17.4,15.2,10.8,13.0,9.7,7.6,11.3,1.6,5195.0,8574.0,762470.0,6966.0,7688.0,25310.0,43395.0,859598.0,12187.0,61421.0,120551.0,17616.0,1071373.0,255335.0,29799.0,664767.0,949901.0,2.5,219108.0,48860.0,283299.0,80701.0,35986.0,9049.0,677003.0,2.9,,,20.0,19.0,7.9,1.0,12.5,61.3,3.4,3.6,68.2
1RNSW,Rest of NSW,2012,19.1,12.6,10.9,12.4,13.8,13.0,9.9,6.0,2.3,84391,86022,88401,89896,81563,74222,69840,75317,84586,85717,93271,88664,83294,74064,56235,41752,30222,21820,1309277,79843,81033,83513,84571,76582,71778,70754,77918,87144,87938,95174,87896,81934,73811,57196,46538,38338,39827,1321788,164234,167055,171914,174467,158145,146000,140594,153235,171730,173655,188445,176560,165228,147875,113431,88290,68560,61647,2631065,62.6,40,42,41,,31581.0,,22608.0,,3.3,5906.0,83679.0,77773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RNSW,Rest of NSW,2013,19.0,12.6,11.0,12.2,13.5,13.1,10.2,6.0,2.4,84174,86980,87719,89668,82240,74953,71555,73693,85472,83780,93393,89770,83871,77637,57936,43249,30322,23174,1319586,79624,82048,83093,84532,77184,72218,72442,76249,88412,85743,95739,89643,83260,76893,59148,47605,38209,41311,1333353,163798,169028,170812,174200,159424,147171,143997,149942,173884,169523,189132,179413,167131,154530,117084,90854,68531,64485,2652939,62.3,41,42,41,,32013.0,2.2,22928.0,6.1,3.4,4184.0,79077.0,74893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RNSW,Rest of NSW,2014,18.8,12.5,11.1,12.0,13.3,13.2,10.5,6.1,2.5,82858,88247,87365,89520,83581,76131,73454,73129,85459,82902,93006,91263,85117,79752,60376,45016,30363,24759,1332298,78316,83473,82567,84496,78264,73244,74150,75555,88192,85015,95412,91848,84758,78736,61733,48771,38133,42883,1345546,161174,171720,169932,174016,161845,149375,147604,148684,173651,167917,188418,183111,169875,158488,122109,93787,68496,67642,2677844,62.2,41,43,42,,28153.0,2.0,23922.0,6.0,3.4,7320.0,82735.0,75415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
