gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,17544,38022,56578,5599024.5,11757138.0,2063749.5,19419912.0,8137839.5,27557752.0
1RNSW,Rest of NSW,11784,4627,16779,3442506.5,1070097.4,628485.9,5141089.5,3152096.0,8293185.5
2GMEL,Greater Melbourne,25908,30581,57245,8138542.0,8613097.0,2044801.4,18796440.0,7534783.5,26331224.0
2RVIC,Rest of Vic.,10050,648,10854,2809991.5,137540.5,505681.8,3453214.0,1659918.8,5113132.5
3GBRI,Greater Brisbane,11831,19136,31025,3272767.2,4865225.5,759993.0,8897986.0,4279598.5,13177584.0
3RQLD,Rest of Qld,12715,6866,19709,3604788.8,1935882.1,588213.2,6128884.0,3054654.0,9183538.0
4GADE,Greater Adelaide,6463,3984,10534,1499412.8,893220.1,313008.4,2705641.2,1763291.5,4468933.0
4RSAU,Rest of SA,1955,61,2033,454114.1,13164.7,74835.9,542114.7,430891.1,973005.8
5GPER,Greater Perth,14709,6533,21326,4119334.5,1562451.8,466608.8,6148395.0,3929841.0,10078236.0
5RWAU,Rest of WA,3019,257,3302,917250.1,52800.5,150431.0,1120481.5,631235.0,1751716.6
6GHOB,Greater Hobart,797,193,1002,211805.7,34722.4,61621.9,308149.9,339687.3,647837.2
6RTAS,Rest of Tas.,1173,224,1423,305577.1,36722.4,70932.7,413232.2,220686.0,633918.3
7GDAR,Greater Darwin,700,710,1426,263082.3,177623.6,52048.1,492754.0,519571.7,1012325.7
7RNTE,Rest of NT,185,84,277,76499.6,22056.4,41299.5,139855.5,152573.2,292428.7
8ACTE,Australian Capital Territory,1096,3635,4739,393700.5,878900.4,99735.1,1372335.9,1140098.2,2512434.2
