gccsa_code,gccsa_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,patent_applications,trademark_applications,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
3RQLD,Rest of Qld,2014,140558.0,57764.0,22587.0,5532.0,226441.0,19672.0,8648.0,1288.0,194.0,29802.0,21688.0,5330.0,1179.0,203.0,28400.0,2171.0,867.0,3038.0,640.0,4323.0,,,,,,,,,,,,,,,,,,,,,,,,201756,180027,210374,,,,,,,,,,,,,,,,,,,,,11262.0,5908.0,17170.0,17432.0,3423.0,1316.0,4974.0,3195.0,8169.0,,,,
4GADE,Greater Adelaide,2010,,,,,,,,,,,,,,,,,,,554.0,2787.0,,,,,,,,,,,,,,,,,,,,,,,,112574,89495,115344,,,,,,,,,,,,,,,,,,,,,6252.0,2312.0,8564.0,9722.0,1487.0,400.0,2079.0,2162.0,4240.0,,,,
4GADE,Greater Adelaide,2011,72795.0,23911.0,9501.0,2623.0,108830.0,,,,,,,,,,,,,,518.0,3148.0,612226.0,35403.0,5.8,60.7,1.7,1.4,22.1,6.2,47.2,0.3,78.9,80323.0,,,,,,,,,,,,107986,87656,111157,,,,,,,,,,,,,,,,,,,1070.0,1711.0,5562.0,2650.0,8212.0,8784.0,1480.0,545.0,2115.0,1441.0,3557.0,,,,
4GADE,Greater Adelaide,2012,72515.0,23867.0,9740.0,2662.0,108784.0,9903.0,3121.0,433.0,66.0,13523.0,10721.0,2085.0,488.0,77.0,13371.0,975.0,237.0,1212.0,524.0,3265.0,,,,,,,,,,,,,,,,,,,,,,,,96647,79838,99589,,,,,,,,,,,,,,,,,,,,,4438.0,1462.0,5900.0,6374.0,1238.0,317.0,1602.0,3806.0,5407.0,,,,
4GADE,Greater Adelaide,2013,70030.0,22875.0,9647.0,2597.0,105149.0,8182.0,2399.0,411.0,35.0,11027.0,11609.0,2313.0,559.0,81.0,14562.0,968.0,238.0,1206.0,506.0,3348.0,,,,,,,,,,,,,,,,,,,,,,,,104901,87575,108450,47196.0,30193.0,555366.0,11063.0,2324.0,91044.0,340.0,4041.0,476975.0,23476.0,957.0,34034.0,134.0,198.0,82329.0,44672.0,37712.0,689994.0,,,4479.0,1844.0,6323.0,6647.0,1222.0,423.0,1733.0,1457.0,3190.0,15835.0,392000.0,5688.0,325000.0
4GADE,Greater Adelaide,2014,70591.0,22933.0,9691.0,2566.0,105781.0,9472.0,2844.0,416.0,75.0,12807.0,9893.0,1963.0,494.0,68.0,12418.0,758.0,191.0,949.0,436.0,3167.0,,,,,,,,,,,,,,,,,,,,,,,,99771,85682,103208,,,,,,,,,,,,,,,,,,,,,5767.0,2584.0,8351.0,8857.0,1488.0,500.0,2113.0,1188.0,3301.0,,,,
4RSAU,Rest of SA,2010,,,,,,,,,,,,,,,,,,,53.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,38564,30964,39197,,,,,,,,,,,,,,,,,,,,,2764.0,128.0,2892.0,3150.0,603.0,23.0,688.0,646.0,1333.0,,,,
4RSAU,Rest of SA,2011,22311.0,10133.0,4076.0,624.0,37144.0,,,,,,,,,,,,,,44.0,349.0,170934.0,9313.0,5.5,57.3,2.8,1.7,18.7,9.5,40.5,0.5,73.7,22786.0,,,,,,,,,,,,36809,29960,37609,,,,,,,,,,,,,,,,,,,735.0,1308.0,2350.0,514.0,2864.0,3052.0,566.0,91.0,687.0,425.0,1112.0,,,,
4RSAU,Rest of SA,2012,22293.0,9996.0,4079.0,644.0,37012.0,2323.0,868.0,137.0,13.0,3341.0,2726.0,597.0,187.0,18.0,3528.0,278.0,76.0,354.0,33.0,448.0,,,,,,,,,,,,,,,,,,,,,,,,32389,26816,33241,,,,,,,,,,,,,,,,,,,,,1994.0,184.0,2178.0,2252.0,491.0,38.0,551.0,299.0,850.0,,,,
4RSAU,Rest of SA,2013,21677.0,9450.0,4140.0,661.0,35928.0,1887.0,661.0,138.0,14.0,2700.0,2984.0,607.0,180.0,23.0,3794.0,274.0,96.0,370.0,44.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,35193,29507,36146,41726.0,6692.0,139426.0,8788.0,743.0,39307.0,357.0,872.0,123561.0,19371.0,181.0,7370.0,94.0,38.0,22182.0,39317.0,8526.0,181044.0,,,2065.0,65.0,2130.0,2219.0,478.0,14.0,534.0,374.0,908.0,4719.0,250000.0,589.0,167500.0
4RSAU,Rest of SA,2014,21713.0,9537.0,4164.0,671.0,36085.0,2186.0,946.0,232.0,34.0,3398.0,2518.0,576.0,172.0,18.0,3284.0,216.0,84.0,300.0,39.0,428.0,,,,,,,,,,,,,,,,,,,,,,,,33530,28499,34430,,,,,,,,,,,,,,,,,,,,,2425.0,44.0,2469.0,2563.0,567.0,35.0,623.0,320.0,942.0,,,,
