gcc_name16,gcc_code16,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Other Territories,9OTER,395,543,252,796,52,48,104,641,395,1038,230,181,413,924,635,1562
Australian Capital Territory,8ACTE,17557,11723,11300,23021,1377,1319,2694,54445,56217,110665,9250,8843,18093,65071,66374,131450
Rest of NT,7RNTE,7129,7350,6291,13636,8729,8107,16838,4170,4567,8740,3859,3430,7285,16754,16108,32855
Greater Darwin,7GDAR,13171,9828,7034,16864,2894,2318,5213,13732,15045,28775,7706,5809,13516,24331,23178,47501
Rest of Tas.,6RTAS,15314,11438,11749,23186,2788,2848,5638,28405,30173,58575,8010,8004,16013,39198,41027,80226
Greater Hobart,6GHOB,10092,7455,7502,14955,1673,1612,3282,25655,26862,52524,5283,5361,10645,32609,33837,66449
Rest of WA,5RWAU,42250,32399,25654,58057,8702,7981,16684,48745,50914,99656,24267,19179,43443,81707,78068,159783
Greater Perth,5GPER,97070,71713,66209,137920,7034,6344,13381,241249,250422,491671,52279,47736,100014,300562,304500,605065
Rest of SA,4RSAU,19653,16924,14980,31905,3276,3118,6390,36869,37998,74866,10631,9970,20603,50780,51088,101862
Greater Adelaide,4GADE,49688,36621,37288,73906,3831,4046,7873,156015,166298,322309,26110,25848,51958,185956,196189,382147
Rest of Qld,3RQLD,156031,108367,100956,209324,25351,25580,50932,246774,270246,517018,84035,76980,161010,356154,372812,728963
Greater Brisbane,3GBRI,105778,75585,73312,148893,10955,10986,21936,280755,298896,579652,55366,54339,109701,347073,364219,711298
Rest of Vic.,2RVIC,83202,61594,60402,121993,4831,4921,9750,157038,164729,321764,43099,43692,86788,204962,213341,418305
Greater Melbourne,2GMEL,208013,142567,146595,289156,4701,4918,9621,578216,604221,1182433,107290,108562,215858,690207,717698,1407910
Rest of NSW,1RNSW,146342,110131,107746,217879,30010,29810,59819,279642,297959,577598,76951,76014,152960,386603,403780,790381
Greater Sydney,1GSYD,225668,157533,156445,313981,14476,14379,28854,623819,644521,1268341,117327,115650,232978,755631,774542,1530174
