gcc_code16,f_300_399_15_19_yr,f_300_399_20_24_yr,f_300_399_25_34_yr,f_300_399_35_44_yr,f_300_399_45_54_yr,f_300_399_55_64_yr,f_300_399_65_74_yr,f_300_399_75_84_yr,f_300_399_85_yr_over,f_300_399_tot,f_400_499_15_19_yrs,f_400_499_20_24_yrs,f_400_499_25_34_yrs,f_400_499_35_44_yrs,f_400_499_45_54_yrs,f_400_499_55_64_yrs,f_400_499_65_74_yrs,f_400_499_75_84_yrs,f_400_499_85ov,f_400_499_tot,f_500_649_15_19_yrs,f_500_649_20_24_yrs,f_500_649_25_34_yrs,f_500_649_35_44_yrs,f_500_649_45_54_yrs,f_500_649_55_64_yrs,f_500_649_65_74_yrs,f_500_649_75_84_yrs,f_500_649_85ov,f_500_649_tot,f_650_799_15_19_yrs,f_650_799_20_24_yrs,f_650_799_25_34_yrs,f_650_799_35_44_yrs,f_650_799_45_54_yrs,f_650_799_55_64_yrs,f_650_799_65_74_yrs,f_650_799_75_84_yrs,f_650_799_85ov,f_650_799_tot,f_800_999_15_19_yrs,f_800_999_20_24_yrs,f_800_999_25_34_yrs,f_800_999_35_44_yrs,f_800_999_45_54_yrs,f_800_999_55_64_yrs,f_800_999_65_74_yrs,f_800_999_75_84_yrs,f_800_999_85ov,f_800_999_tot,f_1000_1249_15_19_yrs,f_1000_1249_20_24_yrs,f_1000_1249_25_34_yrs,f_1000_1249_35_44_yrs,f_1000_1249_45_54_yrs,f_1000_1249_55_64_yrs,f_1000_1249_65_74_yrs,f_1000_1249_75_84_yrs,f_1000_1249_85ov,f_1000_1249_tot,f_1250_1499_15_19_yrs,f_1250_1499_20_24_yrs,f_1250_1499_25_34_yrs,f_1250_1499_35_44_yrs,f_1250_1499_45_54_yrs,f_1250_1499_55_64_yrs,f_1250_1499_65_74_yrs,f_1250_1499_75_84_yrs,f_1250_1499_85ov,f_1250_1499_tot,f_1500_1749_15_19_yrs,f_1500_1749_20_24_yrs,f_1500_1749_25_34_yrs,f_1500_1749_35_44_yrs,f_1500_1749_45_54_yrs,f_1500_1749_55_64_yrs,f_1500_1749_65_74_yrs,f_1500_1749_75_84_yrs,f_1500_1749_85ov,f_1500_1749_tot,f_1750_1999_15_19_yrs,f_1750_1999_20_24_yrs,f_1750_1999_25_34_yrs,f_1750_1999_35_44_yrs,f_1750_1999_45_54_yrs,f_1750_1999_55_64_yrs,f_1750_1999_65_74_yrs,f_1750_1999_75_84_yrs,f_1750_1999_85ov,f_1750_1999_tot,f_2000_2999_15_19_yrs,f_2000_2999_20_24_yrs,f_2000_2999_25_34_yrs,f_2000_2999_35_44_yrs,f_2000_2999_45_54_yrs,f_2000_2999_55_64_yrs,f_2000_2999_65_74_yrs,f_2000_2999_75_84_yrs,f_2000_2999_85ov,f_2000_2999_tot,f_3000_more_15_19_yrs,f_3000_more_20_24_yrs,f_3000_more_25_34_yrs,f_3000_more_35_44_yrs,f_3000_more_45_54_yrs,f_3000_more_55_64_yrs,f_3000_more_65_74_yrs,f_3000_more_75_84_yrs,f_3000_more_85ov,f_3000_more_tot,f_pi_ns_15_19_yrs,f_pi_ns_ns_20_24_yrs,f_pi_ns_ns_25_34_yrs,f_pi_ns_ns_35_44_yrs,f_pi_ns_ns_45_54_yrs,f_pi_ns_ns_55_64_yrs,f_pi_ns_ns_65_74_yrs,f_pi_ns_ns_75_84_yrs,f_pi_ns_ns_85_yrs_ovr,f_pi_ns_ns_tot,f_os_vis_15_19_yr,f_os_vis_20_24_yr,f_os_vis_25_34_yr,f_os_vis_35_44_yr,f_os_vis_45_54_yr,f_os_vis_55_64_yr,f_os_vis_65_74_yr,f_os_vis_75_84_yr,f_os_vis_85_yr_over,f_os_vis_tot,f_tot_15_19_yrs,f_tot_20_24_yrs,f_tot_25_34_yrs,f_tot_35_44_yrs,f_tot_45_54_yrs,f_tot_55_64_yrs,f_tot_65_74_yrs,f_tot_75_84_yrs,f_tot_85ov,f_tot_tot,p_neg_nil_income_15_19_yrs,p_neg_nil_income_20_24_yrs,p_neg_nil_income_25_34_yrs,p_neg_nil_income_35_44_yrs,p_neg_nil_income_45_54_yrs,p_neg_nil_income_55_64_yrs,p_neg_nil_income_65_74_yrs,p_neg_nil_income_75_84_yrs,p_negtve_nil_incme_85_yrs_ovr,p_neg_nil_income_tot,p_1_149_15_19_yrs,p_1_149_20_24_yrs,p_1_149_25_34_yrs,p_1_149_35_44_yrs,p_1_149_45_54_yrs,p_1_149_55_64_yrs,p_1_149_65_74_yrs,p_1_149_75_84_yrs,p_1_149_85ov,p_1_149_tot,p_150_299_15_19_yrs,p_150_299_20_24_yrs,p_150_299_25_34_yrs,p_150_299_35_44_yrs,p_150_299_45_54_yrs,p_150_299_55_64_yrs,p_150_299_65_74_yrs,p_150_299_75_84_yrs,p_150_299_85ov,p_150_299_tot,p_300_399_15_19_yrs,p_300_399_20_24_yrs,p_300_399_25_34_yrs,p_300_399_35_44_yrs,p_300_399_45_54_yrs,p_300_399_55_64_yrs,p_300_399_65_74_yrs,p_300_399_75_84_yrs,p_300_399_85ov,p_300_399_tot,p_400_499_15_19_yrs,p_400_499_20_24_yrs,p_400_499_25_34_yrs,p_400_499_35_44_yrs,p_400_499_45_54_yrs,p_400_499_55_64_yrs,p_400_499_65_74_yrs,p_400_499_75_84_yrs,p_400_499_85ov,p_400_499_tot,p_500_649_15_19_yrs,p_500_649_20_24_yrs,p_500_649_25_34_yrs,p_500_649_35_44_yrs,p_500_649_45_54_yrs,p_500_649_55_64_yrs,p_500_649_65_74_yrs,p_500_649_75_84_yrs,p_500_649_85ov,p_500_649_tot,gcc_name16
1RNSW,3835,7053,10324,11429,13744,20708,36340,21741,6826,131994,3189,7828,11969,12541,15183,18559,29730,22789,12186,133967,2650,10378,17825,17519,18729,17668,16825,8552,4910,115052,1319,9844,17879,17441,19532,16104,10066,4751,1906,98842,551,6601,16070,15893,18742,15277,6452,2701,1352,83643,183,4056,14546,14056,16227,13009,4740,1972,900,69687,51,1478,9926,9300,10349,7773,2058,659,254,41853,25,444,6506,8049,8860,6548,1526,464,201,32619,7,142,3210,5654,6433,4894,956,293,154,21739,17,95,2872,6269,6942,4794,1172,403,170,22741,98,153,812,2327,2765,2072,1109,554,270,10158,8423,6057,11393,11373,13649,15302,16118,14360,11689,108374,802,1498,1549,588,706,950,555,230,55,6944,78428,74471,150124,157675,179393,185665,152741,90218,44809,1113535,61559,10738,13899,13035,15130,24291,10125,3814,1783,154372,36090,7921,6264,6753,7733,11390,7457,2697,948,87271,15976,19021,18835,17202,19744,30169,27913,13794,4055,166714,7333,12147,15684,17241,22758,35303,66891,43386,12896,233639,7707,13628,18115,18937,24704,32597,52455,36499,17304,221949,6557,18739,25765,24482,27458,29916,32539,16389,7135,188980,Rest of NSW
1GSYD,5706,13984,18343,17865,19158,23979,36354,23882,8678,167944,4024,13739,20714,18440,19680,20198,31640,25436,15537,169411,3259,15903,28734,25759,25005,20317,18699,9783,5886,153348,2046,16785,33046,27743,27153,20706,12690,5737,2549,148455,1043,16513,40035,29474,29316,21652,9611,3846,1851,153344,387,12349,46135,31689,29578,21794,8069,2632,1378,154017,116,4884,34910,24596,21244,14098,4611,1220,615,106300,65,1566,27018,22817,19320,12783,3415,1033,587,88594,49,461,15277,17351,14704,9265,2356,720,355,60532,56,383,18638,27416,20862,11606,3181,1053,543,83735,129,258,5205,16348,14591,6800,2742,1163,705,47951,10733,12964,30728,23522,20874,18164,16474,14262,14294,162013,3619,6503,7704,4445,6052,8773,4242,1105,207,42654,144363,175037,399979,355694,326114,277904,195363,112245,60934,2047632,143239,55933,65145,47978,40546,49140,26132,11572,4586,444266,57744,23450,13807,14074,13029,15147,11880,5118,1723,155966,25531,34805,31764,28726,29030,36679,33942,20504,6868,247854,11231,26318,30321,26492,30297,39199,65769,45619,15765,291003,9990,26917,35254,28279,31115,33748,52145,38976,21858,278282,8578,31616,47471,38180,37676,34046,33708,18041,8681,258009,Greater Sydney
2RVIC,1766,3871,5956,6665,7746,10829,17884,10608,3755,69083,1430,4118,6500,7320,9072,10402,15341,11740,6846,72769,1112,5208,9314,9997,10969,10114,8975,4454,2703,62854,564,5151,9621,9492,10828,9115,5187,2351,1080,53396,211,3697,8917,8699,10360,8169,3210,1301,643,45198,93,2174,8147,7284,9138,6938,2298,941,556,37567,25,669,5471,5030,5650,4134,1046,301,143,22468,6,200,3073,3794,4559,3282,671,242,104,15928,7,64,1264,2281,2808,2015,428,154,63,9081,3,41,1052,2216,2584,1759,483,206,85,8430,67,84,422,1116,1355,978,533,295,150,4998,4823,3346,6246,6450,7673,8615,8584,7422,5645,58815,454,706,940,414,473,498,262,101,49,3886,42350,39871,81534,85830,98896,99635,78305,45788,24233,596451,33346,5293,7393,7376,8317,13032,5698,2075,974,83505,21933,4693,3828,4214,4399,6084,3987,1467,616,51225,8329,10334,10412,9813,11078,16191,14515,7192,2463,90331,3455,6542,8804,9814,12218,17942,33067,21043,6810,119693,3625,7452,9784,10709,14002,17459,26963,18540,9571,118095,2917,9835,13603,13864,15793,16834,17398,8471,3987,102708,Rest of Vic.
2GMEL,4217,14822,18532,18464,18848,22315,34973,23367,8311,163855,2602,13309,20081,19103,20633,20740,30662,24741,14399,166271,2099,15011,28482,26231,26181,20569,18145,9664,5656,152046,1260,14970,33086,27713,27923,19870,11747,5235,2474,144281,656,14259,40958,29083,29519,20045,8342,3200,1730,147805,298,9401,45768,29523,28738,19561,6535,2269,1169,143263,71,3001,32907,22546,20003,12642,3566,979,584,96299,64,923,21817,20002,17139,10484,2602,763,467,74265,34,331,10600,13307,11627,7092,1686,553,285,45510,55,288,11989,18697,14750,7945,2188,758,427,57107,119,283,3066,10476,9840,4716,2066,960,526,32053,10927,12194,27646,21417,20470,17919,16213,13923,12311,153011,2816,5340,6194,3383,5019,7912,3555,779,144,35152,135663,170138,376383,326838,306638,253307,179845,106415,55653,1910874,132758,57634,61044,43723,36971,42128,22190,9394,3873,409723,62497,27990,15517,15183,13398,14395,10606,4813,1804,166200,24212,42132,36610,30662,29109,34804,32001,20167,6442,256145,8582,28248,30827,26742,28828,35629,61856,44876,15172,280754,7053,26727,34178,28547,31267,32893,49567,37550,20127,267909,5544,30704,47938,38124,38314,33263,32926,17693,8479,252992,Greater Melbourne
3GBRI,3869,7364,9405,8371,8678,11339,19556,10796,3550,82919,2812,7562,10478,9527,9826,10579,17919,12502,6640,87859,2438,9862,15645,14002,13079,10794,10632,5200,2962,84618,1334,10302,17757,15116,14746,10582,6457,2577,1063,79940,590,8838,19858,15884,15740,10806,4351,1504,703,78269,187,5750,20734,16446,16092,10671,3250,1017,501,74650,68,2183,14648,12246,11325,6594,1660,409,184,49319,41,784,10468,11531,10534,6097,1174,306,152,41076,15,232,5197,6975,6420,3513,728,208,92,23386,20,148,5469,9285,8067,3972,910,306,138,28326,59,130,1292,4201,3885,1899,792,392,188,12839,5325,6081,12092,9668,9275,8274,7737,6341,6354,71151,1729,3013,3121,1421,1842,2801,1486,446,84,15944,73590,87636,175922,162302,153740,127582,93399,48398,24866,947429,61175,20119,22316,17646,16158,19707,8623,2779,1027,169550,32161,10086,6391,6571,6014,7776,5159,1550,521,76237,17450,19373,17108,13699,12790,17008,15583,7252,2199,122450,7134,13358,15043,12574,13579,18590,35255,21204,6553,143289,5899,13887,17062,14006,15109,17369,29783,19316,9374,141800,5406,18122,24227,19264,18437,17279,19659,9599,4173,136176,Greater Brisbane
3RQLD,4183,5975,10027,10409,11648,16800,30666,15879,4522,110115,3451,6823,11144,11903,13223,15311,25850,17096,8203,113011,3177,10001,17204,17304,17597,15677,15434,6960,3358,106717,1592,10702,18506,17867,18626,14261,8709,3637,1207,95109,646,7470,17322,16267,18102,13326,5600,2043,811,81594,250,4591,15547,14848,16457,11966,4145,1490,630,69920,71,1815,10033,9953,10371,6968,2107,575,196,42091,31,713,6841,8661,9501,6217,1441,432,148,33982,19,286,3247,4775,5337,3402,917,302,114,18399,20,237,3465,5287,5628,3619,1123,408,119,19906,80,150,998,2502,2627,1895,1147,535,193,10126,7792,7274,14628,13518,15080,15757,15648,10933,7842,108458,2888,4584,5311,2883,3449,3331,2920,1163,208,26742,76012,77524,162376,164125,175984,168005,138427,70090,30269,1062808,54632,11215,17232,15769,17581,24704,10389,3498,1229,156251,33478,6627,6313,6957,7028,10203,6681,2257,703,80241,16339,15615,18193,16753,17928,26138,24450,10817,2823,149059,7607,10204,15019,15366,18566,28187,56964,33134,8787,193821,7180,11800,16692,17209,20472,26004,45838,28462,11920,185581,6813,17195,24664,23471,25024,25620,29765,13777,5013,171338,Rest of Qld
4RSAU,447,878,1686,1655,2242,3202,6055,3179,1012,20369,395,931,1680,1971,2388,2827,4466,3322,1919,19894,293,1353,2422,2530,3029,2758,2528,1193,704,16814,153,1234,2313,2478,2865,2329,1509,741,233,13852,59,773,2047,2127,2710,2205,844,357,153,11274,27,492,1498,1730,2355,1841,592,236,110,8884,12,251,1128,1024,1339,994,288,65,25,5116,4,69,751,858,1045,829,204,82,21,3855,0,23,328,521,688,608,144,31,16,2372,4,22,265,478,604,506,151,49,17,2102,10,17,108,220,266,254,152,77,36,1131,1140,719,1505,1460,1941,2237,2242,1698,1573,14523,158,199,349,92,115,112,61,28,3,1111,10211,8968,19899,20935,25904,27355,22995,12545,6320,155140,8123,929,1602,1690,2207,3582,1353,417,169,20066,4757,837,1020,1024,1245,1908,1128,376,111,12399,2059,2248,3242,3061,3730,5360,4495,2104,571,26866,896,1422,2503,2506,3763,5658,11277,6525,1953,36504,950,1628,2450,2942,3934,5050,8209,5359,2715,33239,749,2400,3520,3620,4533,4737,5086,2427,1062,28136,Rest of SA
4GADE,1674,4196,5508,5284,5997,7890,13830,9122,3594,57092,1144,4157,6162,5807,6913,7624,12548,9992,6283,60624,790,5008,9141,8480,8464,7422,7201,3882,2625,53008,367,4466,9597,8597,8810,6787,4281,2107,1077,46083,171,3649,10519,8723,9589,7087,3040,1092,702,44585,59,2247,10278,8490,9504,7150,2184,702,462,41072,21,779,6942,5890,6141,4173,1086,291,174,25500,10,251,4798,5197,5217,3749,790,210,161,20391,8,60,2175,3246,3471,2530,508,154,82,12217,8,57,1739,3427,3746,2375,575,208,105,12231,45,54,443,1378,1621,1125,527,286,201,5685,2678,2468,5141,4307,4580,4466,4468,4240,4036,36364,801,924,1001,520,779,1349,703,155,45,6276,39787,44617,90779,84562,89013,82155,62690,37616,21746,552976,36723,12183,12293,8968,8252,10854,4603,1685,945,96499,19040,7771,4199,3888,3893,5032,3467,1236,480,48989,8865,13377,12040,9939,10250,12694,10267,5993,2158,85594,3062,7680,9158,8384,9996,13302,24147,17358,6427,99520,2477,7576,10162,9033,11039,12508,20462,15143,8765,97162,1964,9338,14386,12157,12333,11798,13083,7037,3744,85837,Greater Adelaide
5GPER,2465,5698,7734,7461,7001,8508,15330,10069,3136,67409,1709,5487,8272,7963,7729,8071,13518,10572,5299,68616,1533,6597,11968,11147,10460,8786,8625,4341,2311,65768,861,6839,12589,11147,11223,8272,5221,2434,1047,59622,370,6281,14777,11818,12555,8729,3609,1397,758,60288,144,4575,16849,12105,13255,9607,2904,960,491,60879,30,2317,12539,9031,9466,6267,1582,354,138,41723,31,767,9671,8003,8088,5146,1162,302,122,33286,11,266,5671,5725,5817,3687,779,199,93,22238,10,195,5982,7848,7933,4768,1004,304,130,28170,34,104,1496,3841,3796,2095,775,389,170,12698,4419,4838,11294,8682,8137,7310,6801,6458,5892,63825,1065,2024,2412,1130,1568,2917,1415,381,73,12987,59841,66480,154158,137386,131021,111101,78227,44932,21983,805134,55196,16531,25504,21670,17249,19491,8693,2996,948,168279,27341,9234,6950,6779,5330,6416,4554,1772,594,68972,12039,15443,14868,12122,11092,13550,13113,7127,2204,101552,4848,10429,12017,10225,10369,13207,26870,19308,5777,113054,3998,10144,12957,11014,11020,12462,22246,16336,7407,107590,3650,12428,18141,14866,14188,13271,16015,8251,3464,104281,Greater Perth
5RWAU,624,949,2333,2338,2447,3261,5739,2658,725,21076,654,1041,2254,2325,2510,2841,4359,2730,1149,19869,649,1548,2960,3148,3294,3040,2678,1095,458,18881,344,1671,3120,3100,3319,2869,1790,676,229,17121,205,1328,2914,3007,3584,2703,1080,434,126,15388,92,989,3102,2931,3495,2695,866,298,89,14561,33,638,2140,2041,2306,1626,448,109,32,9367,13,292,1855,1672,1981,1459,351,92,27,7740,7,162,1236,1223,1422,1057,182,55,24,5362,6,139,1570,1697,1896,1220,289,81,23,6915,20,53,497,747,746,584,277,86,29,3033,2000,1630,4348,3611,4065,4054,3333,2067,1270,26384,236,544,1000,327,409,418,238,71,8,3251,14233,13630,37215,35425,37863,36502,26090,11958,4675,217588,11241,1938,4612,3897,3810,5747,2245,586,228,34298,5578,940,1813,1807,1571,2145,1417,398,132,15811,2302,2290,4366,4080,3989,5346,4684,1954,457,29472,1259,1572,3185,3286,3717,5381,10836,5590,1416,36243,1392,1680,3050,3139,3758,4746,8099,4605,1696,32168,1426,2650,4121,4190,4627,5043,5533,2272,740,30611,Rest of WA
