gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
1GSYD,Greater Sydney,1954.579,1790.364,3744.947,31689,21371,26022
1RNSW,Rest of NSW,994.2819999999999,925.427,1919.7079999999999,25966,16337,20438
2GMEL,Greater Melbourne,1757.497,1650.9820000000002,3408.4790000000003,30302,19503,24150
2RVIC,Rest of Vic.,549.659,520.729,1070.388,24749,15032,19273
3GBRI,Greater Brisbane,934.956,843.8939999999999,1778.848,30995,20278,24999
3RQLD,Rest of Qld,1026.91,909.868,1936.779,25717,15769,20110
4GADE,Greater Adelaide,491.75699999999995,466.23699999999997,957.9939999999999,31241,20544,25101
4RSAU,Rest of SA,150.85299999999998,132.69,283.54200000000003,22842,14983,18449
5GPER,Greater Perth,921.0219999999999,772.947,1693.964,34561,19539,26000
5RWAU,Rest of WA,243.02,205.06900000000002,448.095,29581,14782,20940
6GHOB,Greater Hobart,81.363,82.44,163.80200000000002,28842,19575,23366
6RTAS,Rest of Tas.,108.12700000000001,99.12,207.245,24999,15732,19624
7GDAR,Greater Darwin,83.20100000000001,68.385,151.584,27897,17820,22719
7RNTE,Rest of NT,30.070999999999998,29.441999999999997,59.513999999999996,20076,14054,16814
8ACTE,Australian Capital Territory,162.858,160.244,323.10400000000004,40983,29634,34882
