gcc_code16,r_0_74_lt_real_estate_agent,r_0_74_lt_ste_terr_hsg_auth,r_0_74_lt_psn_not_sme_hhd,r_0_74_lt_hs_coop_com_ch_g,r_0_74_lt_other_lld_type,r_0_74_lt_lld_type_ns,r_0_74_tot,r_75_99_lt_real_estate_agent,r_75_99_lt_ste_terr_hsg_auth,r_75_99_lt_psn_not_sme_hhd,r_75_99_lt_hs_coop_com_ch_g,r_75_99_lt_other_lld_type,r_75_99_lt_lld_type_ns,r_75_99_tot,r_100_149_lt_real_este_agent,r_100_149_lt_st_ter_hsg_aut,r_100_149_lt_psn_not_sme_hhd,r_100_149_lt_hs_coop_com_ch_g,r_100_149_lt_other_lld_type,r_100_149_lt_lld_type_ns,r_100_149_tot,r_150_199_lt_real_este_agent,r_150_199_lt_ste_ter_hsg_aut,r_150_199_lt_psn_not_sme_hhd,r_150_199_lt_hs_coop_com_ch_g,r_150_199_lt_other_lld_type,r_150_199_lt_lld_type_ns,r_150_199_tot,r_200_224_lt_real_este_agent,r_200_224_lt_ste_ter_hsg_aut,r_200_224_lt_psn_not_sme_hhd,r_200_224_lt_hs_coop_com_ch_g,r_200_224_lt_other_lld_type,r_200_224_lt_lld_type_ns,r_200_224_tot,r_225_274_lt_real_este_agent,r_225_274_lt_ste_ter_hsg_aut,r_225_274_lt_psn_not_sme_hhd,r_225_274_lt_hs_coop_com_ch_g,r_225_274_lt_other_lld_type,r_225_274_lt_lld_type_ns,r_225_274_tot,r_275_349_lt_real_este_agent,r_275_349_lt_ste_ter_hsg_aut,r_275_349_lt_psn_not_sme_hhd,r_275_349_lt_hs_coop_com_ch_g,r_275_349_lt_other_lld_type,r_275_349_lt_lld_type_ns,r_275_349_tot,r_350_449_lt_real_este_agent,r_350_449_lt_ste_ter_hsg_aut,r_350_449_lt_psn_not_sme_hhd,r_350_449_lt_hs_coop_com_ch_g,r_350_449_lt_other_lld_type,r_350_449_lt_lld_type_ns,r_350_449_tot,r_450_549_lt_real_este_agent,r_450_549_lt_ste_ter_hsg_aut,r_450_549_lt_psn_not_sme_hhd,r_450_549_lt_hs_coop_com_ch_g,r_450_549_lt_other_lld_type,r_450_549_lt_lld_type_ns,r_450_549_tot,r_550_649_lt_real_este_agent,r_550_649_lt_ste_ter_hsg_aut,r_550_649_lt_psn_not_sme_hhd,r_550_649_lt_hs_coop_com_ch_g,r_550_649_lt_other_lld_type,r_550_649_lt_lld_type_ns,r_550_649_tot,r_650_749_lt_real_este_agent,r_650_749_lt_ste_ter_hsg_aut,r_650_749_lt_psn_not_sme_hhd,r_650_749_lt_hs_coop_com_ch_g,r_650_749_lt_other_lld_type,r_650_749_lt_lld_type_ns,r_650_749_tot,r_750_849_lt_real_este_agent,r_750_849_lt_ste_ter_hsg_aut,r_750_849_lt_psn_not_sme_hhd,r_750_849_lt_hs_coop_com_ch_g,r_750_849_lt_other_lld_type,r_750_849_lt_lld_type_ns,r_750_849_tot,r_850_949_lt_real_estat_agent,r_850_949_lt_ste_ter_hsg_aut,r_850_949_lt_psn_not_sme_hhd,r_850_949_lt_hs_coop_com_ch_g,r_850_949_lt_other_lld_type,r_850_949_lt_lld_type_ns,r_850_949_tot,r_950_over_lt_real_este_agent,r_950_over_lt_ste_ter_hsg_aut,r_950_over_lt_psn_not_sme_hhd,r_950_ovr_lt_hs_coop_com_ch_g,r_950_over_lt_other_lld_type,r_950_over_lt_lld_type_ns,r_950_over_tot,rent_ns_lt_real_este_agent,rent_ns_lt_ste_ter_hsg_auth,rent_ns_lt_psn_not_sme_hhd,rent_ns_lt_hs_coop_com_ch_g,rent_ns_lt_other_lld_type,rent_ns_lt_lld_type_ns,rent_ns_tot,tot_lt_real_este_agent,tot_lt_ste_ter_hsg_auth,tot_lt_psn_not_sme_hhd,tot_lt_hs_coop_com_ch_g,tot_lt_other_lld_type,tot_lt_lld_type_ns,tot_tot,gcc_name16
1RNSW,413,1835,5765,641,3262,4971,16897,271,1622,653,664,455,69,3728,3221,13182,4629,1425,1532,337,24326,11841,8116,7401,2044,1877,381,31655,9829,3329,6669,641,1072,197,21743,22498,3123,8707,538,2186,251,37298,39699,2775,11599,396,1526,298,56294,40671,983,9166,197,906,180,52106,13217,123,2730,41,300,52,16462,3903,24,888,9,140,15,4985,1242,30,429,7,107,6,1825,492,19,193,4,71,5,792,225,6,89,8,51,7,385,463,16,377,0,187,21,1068,2232,2090,2823,615,1706,426,9891,150224,37283,62127,7240,15381,7210,279461,Rest of NSW
1GSYD,945,3662,6988,591,797,4234,17211,117,3134,219,556,99,45,4161,688,24518,1455,1250,510,217,28639,1896,11834,2744,2275,748,183,19679,2507,5610,3054,863,478,104,12608,7191,4781,4425,999,1993,131,19517,30770,5089,9388,1138,1572,281,48225,97975,4018,17166,1036,2219,478,122896,89560,1123,13545,371,1383,333,106316,58842,361,8420,141,676,171,68601,34041,174,5119,99,357,113,39901,17641,70,3188,58,198,53,21207,9943,39,1855,29,101,28,11994,17030,32,3899,17,274,48,21290,6224,3835,4761,1064,1134,812,17825,375355,68273,86210,10473,12528,7235,560063,Greater Sydney
2RVIC,201,1013,3525,231,1529,2785,9293,197,1056,564,254,253,41,2358,2686,6772,3456,674,897,217,14697,9143,3319,5673,820,924,210,20094,7866,1460,4565,436,581,109,15014,18810,1030,5585,302,896,141,26760,21841,365,4415,118,614,118,27464,10557,113,1897,70,268,64,12962,1653,30,476,13,88,21,2282,395,16,142,3,49,7,617,138,8,93,0,38,3,278,63,4,65,0,23,0,161,35,12,48,5,14,0,108,206,4,284,3,73,12,575,1212,965,1588,260,911,233,5166,74998,16152,32363,3185,7173,3948,137824,Rest of Vic.
2GMEL,954,1831,7344,415,587,4166,15295,252,1674,445,370,115,43,2901,1235,14123,2831,892,554,194,19827,3513,5781,4666,1554,839,154,16505,5257,2892,4051,719,652,113,13689,23643,2760,8187,923,1452,228,37194,92379,2824,18544,722,2384,467,117321,111564,1371,15184,309,1369,373,130165,47623,263,7259,141,496,155,55930,22032,100,3463,49,252,65,25961,9978,57,1677,27,117,28,11888,4933,31,1019,24,74,21,6104,2565,20,515,3,49,10,3158,5828,15,1294,8,150,45,7334,6491,2353,4747,666,925,688,15873,338241,36088,81232,6824,10028,6747,479163,Greater Melbourne
3GBRI,327,1386,2662,162,429,1726,6699,79,2109,157,130,63,19,2557,617,8692,1440,445,411,109,11717,1852,5140,2496,916,904,128,11432,2383,1928,2675,323,625,87,8029,11377,2409,5033,564,2428,138,21947,41761,1978,11143,570,1668,320,57443,74101,639,14012,433,1270,349,90795,29065,103,5468,104,408,94,35243,10086,33,2037,36,166,30,12387,3947,19,852,12,67,16,4911,1772,18,429,6,44,8,2282,849,10,216,4,13,0,1101,1248,8,410,6,46,7,1732,2522,1493,1871,382,536,373,7172,181992,25976,50897,4081,9076,3406,275441,Greater Brisbane
3RQLD,524,2364,4598,391,6396,4472,18737,173,2606,438,309,941,54,4526,1633,9181,3371,878,1718,178,16956,7650,5922,5878,1205,1812,263,22734,9215,1792,6258,450,1210,177,19108,23859,1935,9641,479,2740,272,38929,46274,1346,13814,322,2159,363,64283,51091,428,12681,282,1462,312,66258,20153,63,4202,56,488,102,25060,6294,31,1430,15,234,21,8025,2491,25,602,16,167,11,3312,1042,10,277,4,116,4,1457,503,7,139,3,67,3,719,786,14,456,0,201,18,1472,2626,1504,2605,336,2240,490,9798,174316,27239,66396,4746,21947,6735,301382,Rest of Qld
4RSAU,74,616,1269,151,977,1092,4182,67,1562,241,221,133,42,2273,966,2364,1520,320,744,70,5989,3117,1664,2370,311,759,90,8315,2140,515,1746,82,309,36,4842,4539,293,1796,66,256,51,7000,3332,91,1151,31,133,19,4760,900,27,273,7,53,14,1273,102,14,59,0,27,0,206,32,3,24,3,34,0,99,12,3,16,0,34,0,70,7,3,18,0,22,0,50,0,4,0,0,15,0,27,15,13,60,3,36,0,136,255,473,544,136,507,93,2016,15563,7653,11095,1342,4056,1518,41230,Rest of SA
4GADE,175,1671,1993,264,197,1120,5423,59,4850,168,534,71,78,5769,464,8147,1465,981,280,116,11463,1624,4381,2590,1585,344,87,10611,2413,1658,2799,548,324,54,7798,11177,2103,6636,593,1121,124,21751,25413,1494,11373,379,1111,165,39937,18455,398,6750,112,444,81,26235,4802,44,1639,42,103,25,6657,1462,30,506,15,70,15,2097,607,21,208,13,28,6,874,271,21,111,4,25,0,434,141,17,57,3,12,3,227,190,63,111,0,26,8,398,1012,1407,1247,452,307,214,4648,68262,26297,37655,5529,4457,2106,144309,Greater Adelaide
5GPER,239,1119,3243,173,301,1791,6866,41,1343,183,198,57,30,1848,299,7873,1408,496,252,96,10423,736,3869,2156,943,377,79,8160,1104,1476,2103,226,232,42,5180,4670,1343,3713,182,805,69,10788,19692,1102,10128,193,1073,154,32345,41297,479,17261,161,1557,227,60987,19192,82,7146,43,526,88,27077,6635,29,2206,17,133,13,9037,2790,22,897,6,51,15,3785,1498,13,468,3,34,12,2026,792,13,215,3,21,9,1053,1347,12,523,4,66,5,1958,1366,1096,1857,259,483,254,5318,101707,19864,53497,2906,5976,2883,186840,Greater Perth
5RWAU,188,1486,1498,339,4782,1853,10150,36,864,145,192,473,24,1737,274,3187,1040,349,1690,52,6584,911,2228,1406,391,1257,79,6275,992,897,1397,86,796,37,4212,2498,1010,2055,106,946,41,6657,5677,637,3055,93,829,51,10341,6243,222,2359,43,477,55,9385,1900,64,551,15,204,14,2744,665,27,189,5,85,3,973,346,16,100,8,82,6,561,217,7,61,4,56,0,352,97,0,42,0,40,0,185,237,8,165,0,153,11,580,606,873,716,109,1519,96,3919,20883,11532,14798,1738,13392,2318,64653,Rest of WA
