gccsa_code16,gccsa_name16,num_owners_managers_unincorp_enteprise_000_males,num_owners_managers_unincorp_enteprise_000_females,num_owners_managers_unincorp_enteprise_000_person,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
1GSYD,Greater Sydney,231.1,143.1,374.18800000000005,34814,27782,32052
1RNSW,Rest of NSW,154.6,106.8,261.373,28867,21848,25805
2GMEL,Greater Melbourne,209.6,128.8,338.418,33677,25209,30357
2RVIC,Rest of Vic.,92.6,62.8,155.403,27528,20651,24527
3GBRI,Greater Brisbane,95.6,61.7,157.30700000000002,36815,25237,31935
3RQLD,Rest of Qld,141.1,94.4,235.50900000000001,33135,21918,28163
4GADE,Greater Adelaide,61.8,37.1,98.934,33057,25499,30102
4RSAU,Rest of SA,28.6,20.3,48.896,28909,23476,26465
5GPER,Greater Perth,97.9,57.4,155.326,46354,30017,39768
5RWAU,Rest of WA,35.3,24.3,59.596000000000004,39662,26895,34090
6GHOB,Greater Hobart,11.1,6.8,17.887,32626,26788,30404
6RTAS,Rest of Tas.,16.8,10.7,27.516,27573,20698,24762
7GDAR,Greater Darwin,7.0,3.8,10.798,50544,37826,45846
7RNTE,Rest of NT,2.0,1.3,3.391,43098,35279,39998
8ACTE,Australian Capital Territory,14.0,8.8,22.794,43590,34960,40169
