gcc_code16,p_1_149_om_uie,p_1_149_cfw,p_1_149_es_ns,p_1_149_tot,p_150_299_e,p_150_299_om_ie,p_150_299_om_uie,p_150_299_cfw,p_150_299_es_ns,p_150_299_tot,p_300_399_e,p_300_399_om_ie,p_300_399_om_uie,p_300_399_cfw,p_300_399_es_ns,p_300_399_tot,p_400_499_e,p_400_499_om_ie,p_400_499_om_uie,p_400_499_cfw,p_400_499_es_ns,p_400_499_tot,p_500_649_e,p_500_649_om_ie,p_500_649_om_uie,p_500_649_cfw,p_500_649_es_ns,p_500_649_tot,p_650_799_e,p_650_799_om_ie,p_650_799_om_uie,p_650_799_cfw,p_650_799_es_ns,p_650_799_tot,p_800_999_e,p_800_999_om_ie,p_800_999_om_uie,p_800_999_cfw,p_800_999_es_ns,p_800_999_tot,p_1000_1249_e,p_1000_1249_om_ie,p_1000_1249_om_uie,p_1000_1249_cfw,p_1000_1249_es_ns,p_1000_1249_tot,p_1250_1499_e,p_1250_1499_om_ie,p_1250_1499_om_uie,p_1250_1499_cfw,p_1250_1499_es_ns,p_1250_1499_tot,p_1500_1749_e,p_1500_1749_om_ie,p_1500_1749_om_uie,p_1500_1749_cfw,p_1500_1749_es_ns,p_1500_1749_tot,p_1750_1999_e,p_1750_1999_om_ie,p_1750_1999_om_uie,p_1750_1999_cfw,p_1750_1999_es_ns,p_1750_1999_tot,p_2000_2999_e,p_2000_2999_om_ie,p_2000_2999_om_uie,p_2000_2999_cfw,p_2000_2999_es_ns,p_2000_2999_tot,p_3000mor_e,p_3000mor_om_ie,p_3000mor_om_uie,p_3000mor_cfw,p_3000mor_es_ns,p_3000mor_tot,p_persinc_ns_e,p_persinc_ns_om_ie,p_persinc_ns_om_uie,p_persinc_ns_cfw,p_persinc_ns_es_ns,p_persinc_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,gcc_name16
1RNSW,2446,1970,677,39945,32266,1270,5723,2920,857,43037,37264,2212,7070,2784,1080,50417,49077,2539,7989,2372,1170,63138,81255,4674,11336,2544,1389,101197,104252,5642,10743,1849,1424,123909,114226,6750,11013,1638,1394,135024,106502,8151,10255,1455,1123,127490,69480,5747,6381,834,651,83100,56721,6039,4814,697,539,68812,43441,3224,2830,396,295,50183,54587,5419,3908,565,383,64860,16626,6332,4105,629,287,27980,12253,982,1827,1039,1219,17319,814991,59863,91812,26018,12738,1005433,Rest of NSW
1GSYD,3844,1585,634,62272,65084,2358,6792,2082,958,77271,70163,4240,8408,2143,1190,86142,83351,5077,9843,1728,1375,101384,127761,9533,13978,2005,1838,155116,173359,12137,13985,1575,2001,203062,224232,15509,14999,1494,2183,258418,251129,19000,15120,1338,1991,288573,186341,14842,10080,760,1202,213227,162385,16061,8168,672,902,188182,122131,10190,5282,435,641,138679,199959,18484,7880,621,818,227764,124609,25719,10677,930,778,162717,25355,2465,2100,582,1959,32459,1877812,157872,132483,22258,18871,2209294,Greater Sydney
2RVIC,1609,1354,498,25931,19939,933,3252,1823,506,26454,22338,1537,4183,1792,590,30443,28814,1873,4673,1522,654,37539,46395,3216,6243,1700,866,58433,58442,3914,5914,1270,910,70443,65379,4427,6064,1068,852,77787,61304,4871,5446,863,720,73201,39573,3576,3367,505,356,47373,30009,3464,2504,353,315,36644,19936,1875,1419,246,223,23687,21302,3023,1960,276,213,26776,7243,3503,1984,419,172,13325,7525,735,1120,681,703,10765,452016,37661,50732,16824,7751,564981,Rest of Vic.
2GMEL,3918,1849,830,72287,70652,2649,7370,2372,1049,84097,70372,4672,8476,2279,1262,87062,81960,5432,9444,1837,1425,100100,127865,9347,12937,2049,1771,153966,173580,11943,12651,1717,2048,201926,223134,14318,13598,1441,2196,254687,241712,17318,13180,1234,1845,275285,174494,13441,8935,718,1072,198666,143951,14569,6846,714,858,166942,100871,8869,4419,415,531,115096,151509,15322,6416,575,622,174445,82283,20557,8363,769,669,112638,27056,2535,2117,734,1916,34361,1740742,143469,119940,23536,18486,2046169,Greater Melbourne
3GBRI,2066,951,293,34807,32531,997,3528,1179,421,38660,33102,1783,4108,1086,511,40590,40262,2088,4481,907,545,48282,67196,3699,6265,1049,788,78997,94284,4594,6197,797,828,106702,118629,5860,6511,697,879,132571,128731,7392,6598,660,725,144107,92416,5923,4323,386,442,103485,80185,7157,3429,346,372,91488,52979,3935,2155,200,219,59494,76766,7395,3044,290,263,87761,36121,9452,3902,376,260,50112,11344,934,900,297,776,14246,898460,62206,58164,11608,7460,1037906,Greater Brisbane
3RQLD,2395,1846,452,37196,30534,1227,4938,2494,608,39804,33859,2329,5858,2354,839,45241,44860,2512,6670,1925,843,56804,77657,4839,9255,2060,1076,94886,102862,5958,8877,1548,1200,120450,115269,7054,8956,1410,1077,133770,110425,8832,8711,1290,956,130211,73269,6935,5655,804,579,87246,61518,7564,4351,616,462,74518,40527,3937,2509,389,259,47622,56121,6522,3366,501,364,66878,20473,7575,3256,731,303,32344,12312,1288,1549,1039,1091,17283,814473,67712,77688,23727,10329,993929,Rest of Qld
4RSAU,427,429,99,5690,4839,222,1044,626,162,6885,5561,328,1200,570,169,7824,7494,473,1398,544,216,10118,12193,724,2007,574,247,15737,14996,887,1927,494,269,18579,16701,964,1908,439,288,20302,15404,1234,1844,395,221,19095,9685,891,1159,237,103,12067,7579,837,904,209,107,9637,5389,480,498,129,44,6539,6367,645,703,171,51,7946,1756,732,640,190,59,3383,1706,147,320,242,181,2601,114687,8740,16276,6173,2260,148135,Rest of SA
4GADE,1132,462,261,20727,20275,565,2305,702,325,24170,20025,914,2652,657,358,24602,25420,1113,3093,533,457,30610,41226,1808,4436,581,497,48547,54031,2333,4113,467,529,61480,68125,2938,4411,384,529,76387,70460,3667,4174,355,496,79155,46816,2907,2492,178,278,52673,38956,3188,2033,205,212,44594,27131,1792,1138,96,115,30273,32376,3120,1872,171,149,37694,12318,3901,2311,188,131,18847,5636,414,510,144,439,7140,482876,29161,37067,6348,4864,560314,Greater Adelaide
5GPER,1882,734,299,31556,29752,753,3074,863,302,34746,29187,1228,3346,760,418,34941,34181,1390,3684,665,416,40333,51716,2488,5309,840,521,60881,63343,3060,5262,693,587,72947,82054,4108,6057,601,683,93499,97831,5757,6537,671,636,111435,73707,4796,4702,423,448,84076,63450,5932,4111,355,334,74171,47678,3739,2515,264,230,54425,75142,7128,3735,353,293,86650,38966,9310,4075,393,257,53010,9124,691,862,247,635,11555,727035,51181,55775,9977,6188,850156,Greater Perth
5RWAU,516,507,112,7273,5868,240,1004,627,150,7882,6795,363,1200,599,189,9148,8608,443,1317,596,190,11154,13954,846,1910,683,288,17674,17170,949,1914,507,280,20821,20239,1223,2222,495,288,24471,22971,1627,2472,527,303,27897,17639,1386,1681,351,183,21240,17768,1545,1446,287,160,21205,16666,883,880,170,140,18738,37432,1451,1243,223,229,40569,21548,1810,1194,273,138,24966,3390,239,444,284,246,4604,216847,13225,19759,7321,2962,260110,Rest of WA
