gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
1GSYD,Greater Sydney,1904.818,1721.095,3625.908,30338,20569,25084
1RNSW,Rest of NSW,1007.9730000000001,910.059,1918.036,24477,15345,19455
2GMEL,Greater Melbourne,1726.665,1598.4820000000002,3325.151,29461,18274,23175
2RVIC,Rest of Vic.,551.757,514.632,1066.387,23357,13680,17835
3GBRI,Greater Brisbane,932.35,840.818,1773.161,29035,18671,23272
3RQLD,Rest of Qld,1039.787,914.559,1954.352,23422,13877,18145
4GADE,Greater Adelaide,491.157,462.27099999999996,953.425,29904,19014,23668
4RSAU,Rest of SA,152.297,131.69,283.988,21994,14076,17602
5GPER,Greater Perth,908.482,758.9019999999999,1667.382,31268,17055,23311
5RWAU,Rest of WA,245.731,205.257,450.985,26551,12841,18701
6GHOB,Greater Hobart,82.181,81.687,163.872,28009,18521,22322
6RTAS,Rest of Tas.,111.43700000000001,99.848,211.28799999999998,23889,14544,18457
7GDAR,Greater Darwin,75.277,65.829,141.106,26170,16292,20933
7RNTE,Rest of NT,30.892,29.743000000000002,60.638999999999996,18734,12500,15359
8ACTE,Australian Capital Territory,165.877,162.011,327.89,36742,25597,30673
