yr,pop_p_brn_ovs_num_f_num,pop_p_brn_ovs_num_m_num,pop_p_brn_ovs_tot_pop_num,age_p_brn_ovs_0_4_yrs_num,age_p_brn_ovs_5_9_yrs_num,age_p_brn_ovs_10_14_yrs_num,age_p_brn_ovs_15_19_yrs_num,age_p_brn_ovs_20_24_yrs_num,age_p_brn_ovs_25_29_yrs_num,age_p_brn_ovs_30_34_yrs_num,age_p_brn_ovs_35_39_yrs_num,age_p_brn_ovs_40_44_yrs_num,age_p_brn_ovs_45_49_yrs_num,age_p_brn_ovs_50_54_yrs_num,age_p_brn_ovs_55_59_yrs_num,age_p_brn_ovs_60_64_yrs_num,age_p_brn_ovs_65_69_yrs_num,age_p_brn_ovs_70_74_yrs_num,age_p_brn_ovs_75_79_yrs_num,age_p_brn_ovs_80_84_yrs_num,age_p_brn_ovs_85_ov_num,yr_arrival_p_brn_ovs_arrived_5_yrs_pr100,yr_arrival_p_brn_ovs_arrived_5_10_yrs_ago_pr100,yr_arrival_p_brn_ovs_arrived_ov_10_yrs_ago_pr100,yr_arrival_p_brn_ovs_arrival_ns_pr100,citizenship_status_p_brn_ovs_aus_citizen_pr100,citizenship_status_p_brn_ovs_no_aus_citizen_pr100,citizenship_status_p_brn_ovs_citizenship_ns_pr100,rel_aff_p_brn_ovs_buddhism_pr100,rel_aff_p_brn_ovs_christianity_pr100,rel_aff_p_brn_ovs_hinduism_pr100,rel_aff_p_brn_ovs_islam_pr100,rel_aff_p_brn_ovs_judaism_pr100,rel_aff_p_brn_ovs_oth_religion_pr100,rel_aff_p_brn_ovs_no_religion_pr100,rel_aff_p_brn_ovs_sec_bels_oth_sprt_blfs_no_rel_aff_pr100,rel_aff_p_brn_ovs_religion_ns_pr100,eng_prof_p_brn_ovs_proficient_eng_pr100,eng_prof_p_brn_ovs_no_proficient_eng_pr100,eng_prof_p_brn_ovs_eng_prof_ns_pr100,qualf_p_brn_ovs_postgrad_degree_lvl_pr100,qualf_p_brn_ovs_grad_dip_grad_certificate_lvl_pr100,qualf_p_brn_ovs_bachelor_degree_lvl_pr100,qualf_p_brn_ovs_adv_dip_dip_lvl_pr100,qualf_p_brn_ovs_certificate_lvl_pr100,qualf_p_brn_ovs_scl_edu_lvl_pr100,qualf_p_brn_ovs_edu_ns_pr100,occ_p_brn_ovs_managers_pr100,occ_p_brn_ovs_pros_pr100,occ_p_brn_ovs_tech_trades_wrkers_pr100,occ_p_brn_ovs_cmty_p_wrkers_pr100,occ_p_brn_ovs_clrc_admt_wrkers_pr100,occ_p_brn_ovs_sales_wrkers_pr100,occ_p_brn_ovs_mach_ops_drivers_pr100,occ_p_brn_ovs_labourers_pr100,occ_p_brn_ovs_occ_ns_pr100,lbr_frc_stat_p_brn_ovs_lbr_frc_num,lbr_frc_stat_p_brn_ovs_unemp_num,lbr_frc_stat_p_brn_ovs_ptic_rt_pr100,lbr_frc_stat_p_brn_ovs_unemp_rt_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_nil_inc_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_negative_inc_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_inc_ns_pr100,gcc_code16,gcc_name16,ogc_fid
2011,769675,731414,1501090,12997,26818,34616,48275,93147,137405,145485,135819,134309,141651,129302,112406,104811,76461,61040,46307,32346,27897.0,16.9,13.0,66.0,4.1,66.9,31.5,1.6,8.8,51.9,6.2,7.6,1.3,1.8,18.7,,3.1,85.6,13.6,0.9,8.1,1.3,19.8,9.2,9.0,37.5,5.3,7.0,14.6,6.4,4.5,8.0,4.1,3.6,5.0,0.6,878268,58930,58.5,6.7,,,,,,,,,1GSYD,Greater Sydney,1
2016,908745,860867,1769610,16188,32199,38132,57086,111923,165020,192177,171124,148311,141408,144244,130560,113573,101724,73240,56269,39762,36678.0,18.6,14.8,63.3,3.3,61.4,36.9,1.7,8.0,43.5,7.7,8.0,1.0,2.0,,25.7,3.8,84.7,14.6,0.8,10.5,1.5,22.4,9.3,10.7,,3.2,7.3,15.1,6.1,5.2,7.1,4.2,3.6,5.1,0.5,1043975,74816,59.0,7.2,27.4,22.4,23.1,6.0,4.2,0.1,0.7,2.7,1GSYD,Greater Sydney,2
2011,139000,132367,271372,2403,4848,5755,6092,9470,11985,13703,15838,19426,23561,23428,23471,29552,24671,20647,15531,11008,9965.0,12.3,7.9,74.6,5.3,66.0,31.9,2.0,3.0,65.3,1.8,2.6,0.3,1.3,20.3,,4.6,93.6,5.2,1.2,4.8,1.4,12.8,8.5,15.7,40.4,8.6,6.1,10.7,6.0,4.6,5.3,2.9,2.6,5.2,0.4,128000,8435,47.2,6.6,,,,,,,,,1RNSW,Rest of NSW,3
2016,152263,143023,295288,2443,5770,6672,7302,10743,15303,18084,18457,18706,20939,24342,24356,24763,30492,24178,18593,12491,11664.0,12.7,10.9,71.8,4.7,63.5,34.3,2.2,3.3,57.0,2.8,3.2,0.2,1.6,,26.9,4.5,93.1,5.7,1.2,6.3,1.7,15.1,9.6,18.7,,5.8,6.0,11.0,5.7,5.3,4.7,3.0,2.3,5.8,0.3,140704,9759,47.6,6.9,36.9,24.7,18.1,3.9,2.6,0.1,0.6,4.3,1RNSW,Rest of NSW,4
2011,642325,615032,1257356,12219,25732,30952,41982,87644,118744,112795,99870,99879,104628,97899,90619,92307,70630,60846,48472,34741,27392.0,19.8,12.7,63.3,4.2,63.1,35.2,1.7,9.1,52.7,5.4,6.8,1.5,2.4,18.2,,3.4,86.2,12.9,0.9,6.9,1.7,17.6,8.9,9.4,39.6,6.6,6.0,12.8,6.5,4.5,7.0,3.8,3.9,5.5,0.5,693985,47835,55.2,6.9,,,,,,,,,2GMEL,Greater Melbourne,5
2016,778995,736607,1515597,15454,32509,39897,59108,107955,143256,165558,138211,114780,108372,108138,99600,91736,89617,67191,56008,41096,37104.0,20.3,16.8,59.6,3.3,58.0,40.4,1.6,8.4,43.5,6.9,7.5,1.1,3.1,,25.3,3.8,85.9,13.3,0.7,9.3,1.9,20.1,9.3,11.1,,3.4,6.3,13.2,6.1,5.4,6.2,3.9,3.7,5.4,0.4,844796,72249,55.7,8.6,30.3,23.2,21.3,4.5,2.8,0.1,0.8,3.0,2GMEL,Greater Melbourne,6
2011,72720,70189,142902,1318,2790,3505,3820,4787,6603,6916,7964,9141,11204,11503,12357,16308,13578,11259,8414,6064,5378.0,13.3,8.5,72.8,5.4,63.0,34.8,2.2,3.0,64.1,1.9,3.7,0.1,1.4,20.0,,5.1,92.8,5.9,1.2,3.8,1.7,11.6,8.1,14.5,42.4,9.4,6.5,9.8,5.7,4.3,4.3,2.7,2.4,6.0,0.4,65226,4093,45.6,6.3,,,,,,,,,2RVIC,Rest of Vic.,7
2016,80673,76958,157625,1278,3097,4094,4673,5788,8831,10293,9552,9556,9976,11761,12089,13274,16909,13205,10175,6778,6316.0,12.6,12.7,69.6,5.0,60.7,37.0,2.3,3.5,55.2,2.9,4.4,0.1,2.0,,26.8,4.6,91.8,6.8,1.4,5.2,2.0,13.8,9.3,17.1,,6.4,6.2,10.1,5.4,5.0,3.9,2.8,2.3,6.7,0.4,73032,5300,46.3,7.3,39.1,24.7,16.6,3.1,2.2,0.1,0.7,4.8,2RVIC,Rest of Vic.,8
2011,258605,249777,508383,6924,15502,19359,23968,37672,45325,45436,44830,45932,45609,39734,34110,33476,23407,17805,12374,9002,7916.0,23.4,14.5,57.6,4.4,55.5,42.7,1.8,5.5,57.4,3.5,3.6,0.2,1.8,22.8,,4.3,92.8,6.4,0.8,6.3,1.5,16.3,8.8,12.8,37.9,5.7,6.3,13.5,7.5,5.3,7.9,4.2,3.9,6.3,0.5,305217,20496,60.0,6.7,,,,,,,,,3GBRI,Greater Brisbane,9
2016,304141,287198,591344,6102,16015,21892,27986,43799,53825,58663,53743,50372,48999,46495,39728,33717,31820,22371,16108,10167,9525.0,18.8,19.3,58.6,3.3,54.5,43.6,1.9,5.1,48.6,4.6,4.1,0.2,2.2,,30.4,4.2,91.8,7.5,0.7,8.2,1.7,18.5,9.6,15.6,,3.3,6.3,13.4,6.8,6.2,7.0,4.1,3.9,6.7,0.4,357588,30421,60.5,8.5,27.0,25.0,23.8,5.1,3.1,0.1,0.7,2.6,3GBRI,Greater Brisbane,10
