gcc_code16,tatw_2000_2999_a_45_54,tatw_2000_2999_a_55_64,tatw_2000_2999_a_65_74,tatw_2000_2999_a_75ov,tatw_2000_2999_tot,tatw_3000mo_a_15_19,tatw_3000mo_a_20_24,tatw_3000mo_a_25_34,tatw_3000mo_a_35_44,tatw_3000mo_a_45_54,tatw_3000mo_a_55_64,tatw_3000mo_a_65_74,tatw_3000mo_a_75ov,tatw_3000mo_tot,tatw_pins_a_15_19,tatw_pins_a_20_24,tatw_pins_a_25_34,tatw_pins_a_35_44,tatw_pins_a_45_54,tatw_pins_a_55_64,tatw_pins_a_65_74,tatw_pins_a_75ov,tatw_pins_tot,tatw_tot_a_15_19,tatw_tot_a_20_24,tatw_tot_a_25_34,tatw_tot_a_35_44,tatw_tot_a_45_54,tatw_tot_a_55_64,tatw_tot_a_65_74,tatw_tot_a_75ov,tatw_tot_tot,copsw_nni_a_15_19,copsw_nni_a_20_24,copsw_nni_a_25_34,copsw_nni_a_35_44,copsw_nni_a_45_54,copsw_nni_a_55_64,copsw_nni_a_65_74,copsw_nni_a_75ov,copsw_nni_tot,copsw_1_149_a_15_19,copsw_1_149_a_20_24,copsw_1_149_a_25_34,copsw_1_149_a_35_44,copsw_1_149_a_45_54,copsw_1_149_a_55_64,copsw_1_149_a_65_74,copsw_1_149_a_75ov,copsw_1_149_tot,copsw_150_299_a_15_19,copsw_150_299_a_20_24,copsw_150_299_a_25_34,copsw_150_299_a_35_44,copsw_150_299_a_45_54,copsw_150_299_a_55_64,copsw_150_299_a_65_74,copsw_150_299_a_75ov,copsw_150_299_tot,copsw_300_399_a_15_19,copsw_300_399_a_20_24,copsw_300_399_a_25_34,copsw_300_399_a_35_44,copsw_300_399_a_45_54,copsw_300_399_a_55_64,copsw_300_399_a_65_74,copsw_300_399_a_75ov,copsw_300_399_tot,copsw_400_499_a_15_19,copsw_400_499_a_20_24,copsw_400_499_a_25_34,copsw_400_499_a_35_44,copsw_400_499_a_45_54,copsw_400_499_a_55_64,copsw_400_499_a_65_74,copsw_400_499_a_75ov,copsw_400_499_tot,copsw_500_649_a_15_19,copsw_500_649_a_20_24,copsw_500_649_a_25_34,copsw_500_649_a_35_44,copsw_500_649_a_45_54,copsw_500_649_a_55_64,copsw_500_649_a_65_74,copsw_500_649_a_75ov,copsw_500_649_tot,copsw_650_799_a_15_19,copsw_650_799_a_20_24,copsw_650_799_a_25_34,copsw_650_799_a_35_44,copsw_650_799_a_45_54,copsw_650_799_a_55_64,copsw_650_799_a_65_74,copsw_650_799_a_75ov,copsw_650_799_tot,copsw_800_999_a_15_19,copsw_800_999_a_20_24,copsw_800_999_a_25_34,copsw_800_999_a_35_44,copsw_800_999_a_45_54,copsw_800_999_a_55_64,copsw_800_999_a_65_74,copsw_800_999_a_75ov,copsw_800_999_tot,copsw_1000_1249_a_15_19,copsw_1000_1249_a_20_24,copsw_1000_1249_a_25_34,copsw_1000_1249_a_35_44,copsw_1000_1249_a_45_54,copsw_1000_1249_a_55_64,copsw_1000_1249_a_65_74,copsw_1000_1249_a_75ov,copsw_1000_1249_tot,copsw_1250_1499_a_15_19,copsw_1250_1499_a_20_24,copsw_1250_1499_a_25_34,copsw_1250_1499_a_35_44,copsw_1250_1499_a_45_54,copsw_1250_1499_a_55_64,copsw_1250_1499_a_65_74,copsw_1250_1499_a_75ov,copsw_1250_1499_tot,copsw_1500_1749_a_15_19,copsw_1500_1749_a_20_24,copsw_1500_1749_a_25_34,copsw_1500_1749_a_35_44,copsw_1500_1749_a_45_54,copsw_1500_1749_a_55_64,copsw_1500_1749_a_65_74,copsw_1500_1749_a_75ov,copsw_1500_1749_tot,copsw_1750_1999_a_15_19,copsw_1750_1999_a_20_24,copsw_1750_1999_a_25_34,copsw_1750_1999_a_35_44,copsw_1750_1999_a_45_54,copsw_1750_1999_a_55_64,copsw_1750_1999_a_65_74,copsw_1750_1999_a_75ov,copsw_1750_1999_tot,copsw_2000_2999_a_15_19,copsw_2000_2999_a_20_24,copsw_2000_2999_a_25_34,copsw_2000_2999_a_35_44,copsw_2000_2999_a_45_54,copsw_2000_2999_a_55_64,copsw_2000_2999_a_65_74,copsw_2000_2999_a_75ov,copsw_2000_2999_tot,copsw_3000mo_a_15_19,copsw_3000mo_a_20_24,copsw_3000mo_a_25_34,copsw_3000mo_a_35_44,copsw_3000mo_a_45_54,copsw_3000mo_a_55_64,copsw_3000mo_a_65_74,copsw_3000mo_a_75ov,copsw_3000mo_tot,copsw_pins_a_15_19,copsw_pins_a_20_24,copsw_pins_a_25_34,copsw_pins_a_35_44,copsw_pins_a_45_54,copsw_pins_a_55_64,copsw_pins_a_65_74,copsw_pins_a_75ov,copsw_pins_tot,copsw_tot_a_15_19,copsw_tot_a_20_24,copsw_tot_a_25_34,copsw_tot_a_35_44,copsw_tot_a_45_54,copsw_tot_a_55_64,copsw_tot_a_65_74,copsw_tot_a_75ov,copsw_tot_tot,claw_nni_a_15_19,claw_nni_a_20_24,claw_nni_a_25_34,claw_nni_a_35_44,claw_nni_a_45_54,claw_nni_a_55_64,claw_nni_a_65_74,claw_nni_a_75ov,claw_nni_tot,claw_1_149_a_15_19,claw_1_149_a_20_24,claw_1_149_a_25_34,claw_1_149_a_35_44,claw_1_149_a_45_54,claw_1_149_a_55_64,claw_1_149_a_65_74,claw_1_149_a_75ov,claw_1_149_tot,claw_150_299_a_15_19,claw_150_299_a_20_24,claw_150_299_a_25_34,claw_150_299_a_35_44,claw_150_299_a_45_54,claw_150_299_a_55_64,gcc_name16
1RNSW,2296,1141,98,9,8539,19,46,519,739,700,426,42,8,2504,156,300,446,466,433,384,103,20,2308,8073,18065,33780,28307,27272,19449,3732,456,139146,255,66,90,104,104,57,14,5,695,4312,799,372,449,320,258,34,7,6547,1841,2104,1266,1058,938,738,170,16,8132,1190,2134,1673,1428,1459,1135,260,26,9304,926,2343,2111,1864,2142,1684,355,27,11453,880,3315,3852,3313,3864,3003,549,45,18820,680,3472,4372,3568,4564,3300,461,42,20455,211,1845,3731,3214,4272,3119,396,23,16821,82,799,2548,2520,3084,2134,288,19,11478,30,282,1333,1305,1418,1064,126,4,5562,5,99,969,1213,1325,717,90,0,4421,4,23,629,1170,1111,488,53,9,3482,3,28,432,1206,1222,451,32,6,3382,19,39,67,102,191,105,26,3,554,204,232,277,273,370,258,83,10,1714,10645,17583,23728,22808,26376,18501,2952,242,122830,43,27,138,173,189,209,81,14,875,580,168,254,313,320,312,92,11,2053,299,381,648,859,751,895,Rest of NSW
1GSYD,4005,2204,300,24,14896,14,62,602,1380,1298,699,131,17,4215,220,522,890,771,754,482,142,22,3801,10483,27341,63881,52057,46076,29796,6459,668,236757,414,259,274,234,165,90,19,3,1460,7367,2707,856,736,498,302,98,5,12575,3858,5412,2653,1953,1465,1014,232,27,16615,2075,4952,4090,2389,2160,1351,317,21,17353,1404,4797,4769,2956,2772,1912,410,53,19063,1149,5623,6931,4636,4572,2916,713,70,26607,743,5311,8522,5402,5263,3385,729,57,29400,362,3818,8759,5966,5828,3777,756,49,29310,110,1870,7061,5029,4790,3043,591,29,22520,46,798,3733,2989,2644,1553,286,27,12078,20,330,2654,2534,2149,1248,214,14,9163,8,102,1541,1961,1604,762,116,9,6101,7,92,1125,2285,2010,813,102,7,6443,19,100,296,342,465,230,44,5,1498,288,529,685,448,461,328,84,17,2843,17866,36700,53949,39846,36848,22722,4713,397,213041,118,153,333,355,317,265,123,20,1684,1466,1086,493,670,503,436,181,30,4866,1132,2184,1333,1585,1336,1085,Greater Sydney
2RVIC,1034,640,54,9,3532,16,42,236,345,459,258,41,6,1405,106,196,282,254,305,246,49,12,1449,4285,10054,18227,14719,14978,11162,2170,285,75869,145,50,55,55,63,52,15,0,420,2573,580,264,273,198,189,37,7,4124,990,1199,700,606,639,496,102,14,4748,510,1159,841,863,892,742,178,18,5201,429,1241,1081,1080,1403,1109,226,33,6607,332,1582,1958,1869,2426,1910,418,21,10511,215,1536,2164,1865,2446,1837,318,26,10403,90,995,1875,1659,2158,1647,272,13,8712,29,435,1404,1325,1765,1319,185,21,6476,6,181,957,868,1000,675,102,3,3805,4,96,568,670,774,472,43,8,2618,7,15,214,460,698,309,29,3,1740,0,15,148,377,604,329,21,4,1494,7,24,39,71,91,63,12,4,321,122,136,152,168,211,198,55,13,1045,5456,9256,12406,12205,15360,11360,2021,174,68231,30,17,59,112,109,110,29,4,474,344,110,137,213,167,183,54,11,1225,127,248,380,509,463,493,Rest of Vic.
2GMEL,3750,1896,265,24,13605,9,50,574,1071,1093,599,101,12,3507,183,554,1079,866,945,577,167,30,4389,7286,26187,67984,52074,46235,28831,5908,639,235149,378,304,279,239,162,95,21,6,1496,8008,3647,1129,831,641,380,86,9,14734,3275,6387,3111,2210,1744,1175,227,20,18155,1361,4975,4022,2641,2444,1560,413,30,17448,756,4406,4676,3176,3356,2177,515,51,19124,698,4949,7179,5046,5413,3487,788,72,27638,453,4570,8767,5670,5815,3526,725,44,29583,190,3065,8953,5917,5768,3649,673,42,28271,80,1473,6439,4701,4557,2986,532,27,20793,35,556,3597,2905,2526,1549,301,16,11485,17,229,2155,2002,1873,1015,131,7,7428,3,80,926,1465,1558,748,80,10,4861,15,98,560,1266,1665,778,73,4,4459,20,133,270,276,295,172,47,5,1220,309,551,701,547,652,404,106,11,3277,15591,35430,52781,38898,38486,23707,4708,361,209956,109,166,360,424,384,251,97,12,1786,1265,1134,578,659,552,379,158,21,4747,825,2185,1486,1697,1426,1145,Greater Melbourne
3GBRI,2169,1107,131,8,8138,7,19,354,661,698,371,52,4,2168,126,224,388,380,355,207,61,9,1742,5536,15380,33499,27097,23261,14812,2771,246,122606,209,94,109,71,80,53,8,0,634,4329,1187,402,435,282,178,33,3,6839,2491,2431,1268,995,762,491,103,8,8557,1212,2235,1751,1233,1059,697,151,21,8359,856,2306,2152,1686,1669,1057,230,15,9966,791,3234,3715,3109,3138,2037,362,32,16427,498,3184,4658,3326,3522,2294,377,24,17868,206,2129,4260,3127,3125,2001,334,15,15194,101,1186,3429,2596,2649,1751,286,14,12012,36,524,1983,1693,1466,958,152,6,6811,12,177,1260,1455,1176,617,71,0,4768,6,47,505,1037,912,349,33,0,2896,3,49,291,895,1031,371,20,3,2658,14,37,91,121,133,72,10,3,483,151,231,271,258,266,174,40,4,1392,10913,19049,26144,22038,21264,13095,2211,144,114864,60,59,147,198,204,167,45,3,881,844,412,226,297,221,220,95,10,2322,668,860,574,661,569,533,Greater Brisbane
3RQLD,3280,1528,150,11,13283,15,87,1108,1522,1328,660,85,13,4815,175,276,488,483,540,333,98,9,2403,7769,17292,37149,32370,28607,18821,3626,340,145977,227,68,98,105,108,74,8,7,683,4299,609,415,463,294,184,43,5,6308,1970,1370,1236,1194,888,602,101,14,7378,1205,1586,1573,1532,1262,877,213,27,8277,1028,1906,2058,2102,2097,1472,315,30,11006,995,3116,3921,3651,4062,2723,516,40,19020,642,3256,4638,3961,4390,2939,437,20,20282,284,1985,3917,3255,3769,2589,425,18,16241,128,1134,2870,2570,2868,1979,296,16,11866,40,580,1699,1464,1500,927,130,7,6351,8,210,1066,1233,1193,620,58,7,4394,3,83,488,911,910,362,37,4,2796,5,46,296,789,919,323,25,0,2397,9,49,94,114,131,68,17,4,484,184,237,313,287,343,258,69,9,1695,11020,16240,24694,23634,24730,15982,2689,205,119190,66,50,180,226,293,237,93,4,1157,711,169,270,357,287,303,80,23,2205,414,357,656,859,752,770,Rest of Qld
4RSAU,398,199,11,6,1561,0,4,86,155,141,75,7,0,472,19,37,84,51,59,70,14,5,332,1064,2419,4508,3851,4119,3102,584,98,19739,31,3,13,23,15,11,0,0,93,534,63,68,44,44,44,7,0,803,186,158,187,158,125,129,24,0,967,104,165,205,190,253,208,31,3,1164,90,222,252,327,368,292,79,6,1632,75,347,454,515,714,533,99,7,2745,43,333,498,491,700,468,89,5,2626,20,190,429,410,600,493,67,3,2210,9,73,262,308,503,385,52,10,1598,5,40,182,181,241,166,24,0,841,0,17,118,129,131,105,12,0,511,0,4,59,107,103,70,3,0,355,0,6,83,154,197,125,5,0,562,3,5,10,13,19,16,0,0,68,36,29,29,42,53,53,8,0,248,1135,1655,2846,3089,4065,3093,509,36,16421,12,6,41,27,29,25,5,3,145,73,9,50,48,44,59,19,3,299,34,29,111,114,136,143,Rest of SA
4GADE,855,508,66,3,2914,3,15,108,163,207,125,26,3,648,46,99,204,147,197,142,37,6,880,2098,7760,17774,14152,14142,9441,1926,196,67496,99,74,77,67,48,25,7,0,388,2321,934,297,199,150,120,29,5,4055,1087,1795,848,608,446,313,67,15,5174,486,1454,1130,704,655,471,126,12,5042,356,1333,1435,1040,1039,743,179,13,6143,248,1680,2425,1855,2014,1462,296,34,10009,131,1464,2691,2109,2223,1439,254,13,10316,61,1019,2539,1961,2113,1511,222,12,9441,39,520,1908,1577,1744,1369,171,9,7351,9,215,981,859,854,587,88,0,3585,4,81,640,640,627,366,44,0,2417,0,20,358,519,518,287,27,0,1728,3,33,266,718,818,403,33,0,2277,4,21,72,73,98,57,10,3,337,74,110,165,145,159,123,28,3,800,4930,10752,15828,13082,13497,9270,1574,127,69061,15,32,68,74,105,76,20,3,398,279,192,113,127,117,133,41,3,1010,189,384,359,370,346,336,Greater Adelaide
5GPER,2760,1466,203,4,10865,6,62,778,1246,1115,581,79,3,3877,108,218,404,347,347,242,64,9,1738,4618,13725,33420,25843,22216,14136,3128,267,117361,181,74,126,89,89,45,3,0,602,3669,1149,501,439,286,151,41,13,6250,1757,2277,1233,929,695,430,88,12,7426,799,2035,1640,1083,848,607,143,15,7168,518,1968,1915,1308,1200,870,224,22,8021,455,2304,2956,2185,2119,1586,376,38,12015,303,2136,3403,2436,2611,1635,363,26,12920,143,1514,3584,2711,2888,2001,313,16,13166,67,878,2904,2033,2194,1653,272,11,10006,28,375,1506,1246,1166,812,154,8,5291,10,200,1250,1127,1059,691,107,3,4441,0,61,746,959,900,475,44,4,3190,3,44,529,990,1136,462,43,0,3219,5,35,125,141,146,72,10,0,546,111,194,229,183,181,163,36,3,1093,8050,15225,22639,17859,17517,11654,2227,182,95355,47,33,155,198,163,163,43,4,812,456,313,256,301,213,174,65,9,1787,361,594,589,692,567,525,Greater Perth
5RWAU,2823,1310,121,5,12307,4,234,2790,2807,2323,1050,80,7,9297,34,86,171,189,170,105,27,4,784,1905,4625,14530,12634,11227,6448,1007,101,52466,43,13,22,31,27,15,0,0,151,586,52,135,145,104,52,9,0,1080,215,149,239,274,204,153,24,7,1267,162,199,323,273,243,205,56,9,1479,153,223,299,393,362,288,69,3,1792,185,391,533,629,629,502,115,3,2997,109,406,688,659,739,534,98,4,3233,57,300,645,630,820,587,88,7,3133,20,170,536,486,603,467,73,4,2355,11,78,315,306,327,270,38,3,1354,3,58,261,297,348,260,30,3,1258,3,22,203,233,249,159,14,0,889,3,28,239,444,372,200,19,3,1299,5,3,32,66,90,42,4,0,241,39,45,66,69,77,62,15,4,375,1577,2134,4523,4930,5201,3809,668,63,22905,15,15,53,53,52,59,14,0,263,82,19,79,102,63,81,18,0,437,50,45,171,213,157,137,Rest of WA
