gcc_code16,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot,gcc_name16
1GSYD,27806,369667,397474,418231,87499,505736,265336,32353,297695,273889,20339,294226,128901,8860,137763,81497,5288,86786,1195662,524016,1719678,Greater Sydney
1RNSW,18911,282679,301591,312856,62918,375777,134949,15216,150173,123995,9237,133231,58169,4105,62270,29980,2158,32139,678869,376315,1055183,Rest of NSW
2GMEL,27041,382000,409043,423492,89416,512913,250603,32236,282844,258477,19166,277647,110668,8013,118683,59269,4153,63421,1129553,534987,1664540,Greater Melbourne
2RVIC,10063,163927,173992,173306,31424,204738,71038,8003,79038,66334,5110,71438,31142,2266,33406,13853,1266,15122,365732,212001,577735,Rest of Vic.
3GBRI,14781,179805,194582,222356,47253,269611,125237,16449,141685,122899,9306,132208,55579,3984,59567,33587,2164,35748,574438,258964,833399,Greater Brisbane
3RQLD,19398,231538,250943,271659,76498,348159,126245,17682,143923,115131,10602,125732,52258,4367,56622,30735,2236,32967,615423,342919,958343,Rest of Qld
4GADE,9604,137900,147501,145619,24675,170291,73336,7544,80881,70003,4056,74057,26759,1591,28349,12861,800,13659,338181,176560,514742,Greater Adelaide
4RSAU,3049,46993,50046,50259,9408,59666,17922,1796,19716,16195,1199,17389,7626,529,8154,3590,244,3837,98639,60167,158804,Rest of SA
5GPER,17327,168345,185671,200216,36438,236658,110001,12196,122201,107895,7305,115195,45121,3012,48136,23074,1404,24483,503642,228707,732349,Greater Perth
5RWAU,4928,51926,56859,55740,19282,75020,24614,3766,28377,23310,2719,26034,11130,1164,12296,6515,650,7159,126238,79500,205742,Rest of WA
6GHOB,1904,25793,27692,26011,4513,30524,12200,1356,13563,10915,725,11638,4351,276,4623,2028,142,2170,57405,32806,90210,Greater Hobart
6RTAS,2309,35149,37459,37508,6269,43779,14847,1462,16308,12622,838,13465,5231,366,5602,2637,151,2792,75163,44238,119401,Rest of Tas.
7GDAR,1167,10414,11582,11252,4638,15884,7075,1552,8626,6623,982,7605,3189,426,3621,2214,242,2451,31515,18253,49770,Greater Darwin
7RNTE,483,6978,7470,4726,4529,9254,2783,871,3652,2738,623,3365,1688,320,2008,3455,268,3726,15881,13597,29476,Rest of NT
8ACTE,3202,37213,40416,40289,8037,48328,22084,2815,24902,22041,1500,23547,8658,548,9205,4028,265,4299,100308,50388,150693,Australian Capital Territory
9OTER,30,440,473,433,85,520,190,25,224,163,10,171,92,6,95,68,5,75,980,579,1556,Other Territories
