gcc_code16,p_15_19_mgrs,p_15_19_profnls,p_15_19_techs_trades_workers,p_15_19_comm_psnl_serv_wrkrs,p_15_19_cler_admin_wrkrs,p_15_19_sales_wrkrs,p_15_19_mach_oper_dvrs,p_15_19_labrs,p_15_19_inad_desc_ns,p_15_19_tot,p_20_24_mgrs,p_20_24_profnls,p_20_24_techs_trades_wrkrs,p_20_24_comm_psnl_serv_wrkrs,p_20_24_cler_admin_wrkrs,p_20_24_sales_wrkrs,p_20_24_mach_oper_dvrs,p_20_24_labrs,p_20_24_inad_desc_ns,p_20_24_tot,p_25_34_mgrs,p_25_34_profnls,p_25_34_techs_trades_wrkrs,p_25_34_comm_psnl_serv_wrkrs,p_25_34_cler_admin_wrkrs,p_25_34_sales_wrkrs,p_25_34_mach_oper_dvrs,p_25_34_labrs,p_25_34_inad_desc_ns,p_25_34_tot,p_35_44_mgrs,p_35_44_profnls,p_35_44_techs_trades_wrkrs,p_35_44_comm_psnl_serv_wrkrs,p_35_44_cler_admin_wrkrs,p_35_44_sales_wrkrs,p_35_44_mach_oper_dvrs,p_35_44_labrs,p_35_44_inad_desc_ns,p_35_44_tot,p_45_54_mgrs,p_45_54_profnls,p_45_54_techs_trades_wrkrs,p_45_54_comm_psnl_serv_wrkrs,p_45_54_cler_admin_wrkrs,p_45_54_sales_wrkrs,p_45_54_mach_oper_dvrs,p_45_54_labrs,p_45_54_inad_desc_ns,p_45_54_tot,p_55_64_mgrs,p_55_64_profnls,p_55_64_techs_trades_wrkrs,p_55_64_comm_psnl_serv_wrkrs,p_55_64_cler_admin_wrkrs,p_55_64_sales_wrkrs,p_55_64_mach_oper_dvrs,p_55_64_labrs,p_55_64_inad_desc_ns,p_55_64_tot,p_65_74_mgrs,p_65_74_profnls,p_65_74_techs_trades_wrkrs,p_65_74_comm_psnl_serv_wrkrs,p_65_74_cler_admin_wrkrs,p_65_74_sales_wrkrs,p_65_74_mach_oper_dvrs,p_65_74_labrs,p_65_74_inad_desc_ns,p_65_74_tot,p_75_84_mgrs,p_75_84_profnls,p_75_84_techs_trades_wrkrs,p_75_84_comm_psnl_serv_wrkrs,p_75_84_cler_admin_wrkrs,p_75_84_sales_wrkrs,p_75_84_mach_oper_dvrs,p_75_84_labrs,p_75_84_inad_desc_ns,p_75_84_tot,p_85_over_mgrs,p_85_over_profnls,p_85_over_techs_trades_wrkrs,p_85_over_com_psnl_serv_wrkrs,p_85_over_cler_admin_wrkrs,p_85_over_sales_wrkrs,p_85_over_mach_oper_dvrs,p_85_over_labrs,p_85_over_inad_desc_ns,p_85_over_tot,p_tot_mgrs,p_tot_profnls,p_tot_techs_trades_wrkrs,p_tot_comm_psnl_serv_wrkrs,p_tot_cler_admin_wrkrs,p_tot_sales_wrkrs,p_tot_mach_oper_dvrs,p_tot_labrs,p_tot_inad_desc_ns,p_tot_tot,gcc_name16
1RNSW,1143,1244,9529,11143,2602,23312,1679,14590,1079,66317,4600,9555,21046,18762,8703,14866,4474,14034,1437,97480,20026,45607,39379,25892,23230,16798,13515,21977,3062,209489,31818,49624,33521,24859,29995,15614,16365,21008,3526,226332,38092,46996,32498,28430,37608,18086,20723,26613,3850,252893,31429,39060,23233,20119,27856,14049,17248,22281,3035,198314,13041,8766,4342,3271,6293,3499,4210,5038,1329,49792,3480,969,449,217,615,361,376,699,690,7854,566,113,66,42,66,72,38,84,228,1263,144203,201937,164059,132742,136959,106657,78624,126327,18241,1109740,Rest of NSW
1GSYD,1521,4131,12117,18358,6345,32819,2599,16293,1801,95995,10850,36314,30558,37332,28499,36226,9172,20854,4575,214376,67420,183282,70679,54405,75436,44933,25732,35920,11890,569704,93052,158248,58417,40407,76523,32849,27852,29352,9826,526528,81058,114616,51679,38032,75427,30646,31980,34455,8462,466364,44808,74806,33154,23748,53146,20589,24704,27493,5165,307612,10898,20984,7184,5027,13830,5795,5526,6233,1726,77211,1409,2596,629,379,1264,653,361,642,559,8497,210,304,77,45,143,84,32,58,192,1140,311230,595282,264494,217745,330608,204593,127973,171292,44210,2267423,Greater Sydney
2RVIC,766,472,4896,5525,1263,13587,671,8556,663,36402,3054,5159,11820,9647,4229,8559,2375,8482,834,54166,12023,25297,21995,13119,11491,8846,6240,12972,1613,113590,19118,26534,18057,13028,15038,8622,7656,12338,1947,122330,23163,24830,18118,16454,19120,10142,10844,16009,2147,140838,19982,20782,13280,12288,14750,7909,9590,13976,1766,114312,8661,4620,2562,2220,3285,1943,2208,3296,747,29544,2340,453,241,154,309,181,169,484,341,4672,373,75,65,46,63,39,39,87,128,908,89476,108215,91038,72484,69541,59828,39788,76197,10188,616759,Rest of Vic.
2GMEL,1227,2378,8762,16231,4231,35691,1790,16567,1464,88329,9251,27655,30352,36356,23850,40383,8600,22019,3645,202107,58440,164422,76699,53910,69672,42840,25469,35791,9412,536656,81135,141290,58408,39799,66473,30557,25800,29383,8073,480921,75197,102441,51977,39706,69614,30153,29924,33391,7223,439625,41899,66377,32286,24663,46456,19410,22196,25633,4331,283251,10113,17813,6514,4981,10961,5289,4574,6429,1566,68240,1365,1911,582,341,893,530,291,844,523,7277,222,261,103,47,117,75,41,89,225,1190,278853,524547,265680,216040,292264,204932,118683,170137,36457,2107592,Greater Melbourne
3GBRI,927,1629,6349,11114,4048,21263,1924,11720,940,59913,5321,15317,17264,19242,14268,17903,5805,13638,1733,110491,25013,67325,37631,26212,34890,18388,14245,21918,4265,249880,35177,66689,30213,22102,35992,14284,14212,17490,4010,240169,34420,52345,25911,21430,37646,14398,15685,18687,3355,223884,19313,31234,16292,13386,24794,10027,11636,13937,1920,142533,4666,7225,3029,2329,5255,2762,2710,3181,684,31836,619,713,243,124,373,278,147,322,281,3102,63,75,27,21,33,31,7,26,93,378,125511,242554,136951,115966,157300,99328,66374,100911,17288,1062191,Greater Brisbane
3RQLD,1014,1146,8618,11260,3388,23599,1741,13853,1033,65654,4763,10237,19216,16816,9625,14509,4923,14315,1390,95795,21511,43325,42201,26009,24787,16724,15074,23303,3134,216067,31142,46341,37367,25060,30475,16336,17346,21470,3688,229222,35872,43228,33318,26591,35310,18689,21014,25227,3706,242955,26956,30400,22278,17415,25413,14280,16611,20667,2627,176647,10410,7456,4260,2998,5831,4320,3899,5027,1222,45420,2463,738,346,216,534,421,284,587,529,6116,320,77,46,16,61,47,25,53,139,790,134445,182944,167648,126389,135417,108931,80917,124497,17472,1078655,Rest of Qld
4RSAU,177,100,1137,1166,310,2739,234,2471,136,8482,678,1072,2726,1724,851,1723,755,2748,154,12437,3226,4642,5159,2994,2621,2158,2346,4394,388,27924,5243,4617,4487,3335,3549,2181,2683,4148,436,30673,7123,4663,4883,4397,4541,2808,3630,5438,587,38070,6543,4406,3750,3430,3645,2151,2958,4557,480,31920,2978,1025,687,560,861,468,708,1105,232,8620,710,84,83,29,93,55,88,152,136,1432,103,13,21,9,16,6,14,27,44,258,26787,20627,22935,17646,16491,14291,13410,25047,2588,159815,Rest of SA
4GADE,368,530,2451,5048,1186,11170,656,6646,370,28422,2395,6306,8831,11044,5578,10486,2141,7617,741,55137,11982,33613,20078,16325,16246,10230,6479,11438,1947,128337,17120,33397,16070,13464,17974,8070,6719,10044,1962,124817,18948,28218,16006,14064,21514,9150,8186,11307,1898,129296,12097,21605,10654,9698,16305,6282,6180,8237,1228,92303,3119,5369,2156,1691,3491,1582,1264,1905,458,21037,456,545,205,115,255,202,70,168,185,2195,67,64,10,19,29,18,14,14,73,308,66551,129648,76464,71477,82575,57185,31715,57380,8866,581856,Greater Adelaide
5GPER,592,1030,5391,8250,2146,17548,1268,9300,654,46173,3811,10457,15936,15723,9653,15648,4213,10556,1323,87329,20281,56944,39410,23452,27556,14989,13009,17485,3439,216570,27373,52923,30427,18535,26722,11407,12128,14055,3313,196879,28932,43263,26447,18276,30326,12471,13593,14377,3187,190871,17734,28247,16400,12245,21942,8915,10029,10949,1832,128297,4339,7273,3480,2398,5227,2580,2297,2986,681,31261,571,747,252,174,441,295,156,403,201,3241,72,72,30,18,40,24,16,33,57,354,103702,200961,137781,99080,124039,83862,56704,80145,14699,900974,Greater Perth
5RWAU,207,164,2016,1605,612,4065,284,2715,198,11874,879,1645,4820,2216,1677,1974,1386,3253,288,18133,4941,8964,13656,4615,5103,2835,6166,7246,793,54319,7723,9083,11956,5056,5839,2811,7025,6150,942,56586,9438,8550,10667,5456,6759,3372,8262,6657,1050,60203,8120,6504,6492,4072,5163,2565,6002,5126,767,44805,3496,1464,1109,729,1173,678,1260,1345,324,11571,828,157,92,53,126,63,85,198,112,1720,102,19,20,5,12,3,14,30,27,230,35741,36551,50825,23801,26461,18364,30478,32726,4500,259437,Rest of WA
