gcc_code16,oidns_500_649_a_35_44,oidns_500_649_a_45_54,oidns_500_649_a_55_64,oidns_500_649_a_65_74,oidns_500_649_a_75ov,oidns_500_649_t,oidns_650_799_a_15_19,oidns_650_799_a_20_24,oidns_650_799_a_25_34,oidns_650_799_a_35_44,oidns_650_799_a_45_54,oidns_650_799_a_55_64,oidns_650_799_a_65_74,oidns_650_799_a_75ov,oidns_650_799_t,oidns_800_999_a_15_19,oidns_800_999_a_20_24,oidns_800_999_a_25_34,oidns_800_999_a_35_44,oidns_800_999_a_45_54,oidns_800_999_a_55_64,oidns_800_999_a_65_74,oidns_800_999_a_75ov,oidns_800_999_t,oidns_1000_1249_a_15_19,oidns_1000_1249_a_20_24,oidns_1000_1249_a_25_34,oidns_1000_1249_a_35_44,oidns_1000_1249_a_45_54,oidns_1000_1249_a_55_64,oidns_1000_1249_a_65_74,oidns_1000_1249_a_75ov,oidns_1000_1249_t,oidns_1250_1499_a_15_19,oidns_1250_1499_a_20_24,oidns_1250_1499_a_25_34,oidns_1250_1499_a_35_44,oidns_1250_1499_a_45_54,oidns_1250_1499_a_55_64,oidns_1250_1499_a_65_74,oidns_1250_1499_a_75ov,oidns_1250_1499_t,oidns_1500_1749_a_15_19,oidns_1500_1749_a_20_24,oidns_1500_1749_a_25_34,oidns_1500_1749_a_35_44,oidns_1500_1749_a_45_54,oidns_1500_1749_a_55_64,oidns_1500_1749_a_65_74,oidns_1500_1749_a_75ov,oidns_1500_1749_t,oidns_1750_1999_a_15_19,oidns_1750_1999_a_20_24,oidns_1750_1999_a_25_34,oidns_1750_1999_a_35_44,oidns_1750_1999_a_45_54,oidns_1750_1999_a_55_64,oidns_1750_1999_a_65_74,oidns_1750_1999_a_75ov,oidns_1750_1999_t,oidns_2000_2999_a_15_19,oidns_2000_2999_a_20_24,oidns_2000_2999_a_25_34,oidns_2000_2999_a_35_44,oidns_2000_2999_a_45_54,oidns_2000_2999_a_55_64,oidns_2000_2999_a_65_74,oidns_2000_2999_a_75ov,oidns_2000_2999_t,oidns_3000mo_a_15_19,oidns_3000mo_a_20_24,oidns_3000mo_a_25_34,oidns_3000mo_a_35_44,oidns_3000mo_a_45_54,oidns_3000mo_a_55_64,oidns_3000mo_a_65_74,oidns_3000mo_a_75ov,oidns_3000mo_t,oidns_pins_a_15_19,oidns_pins_a_20_24,oidns_pins_a_25_34,oidns_pins_a_35_44,oidns_pins_a_45_54,oidns_pins_a_55_64,oidns_pins_a_65_74,oidns_pins_a_75ov,oidns_pins_t,oidns_tot_a_15_19,oidns_tot_a_20_24,oidns_tot_a_25_34,oidns_tot_a_35_44,oidns_tot_a_45_54,oidns_tot_a_55_64,oidns_tot_a_65_74,oidns_tot_a_75ov,oidns_tot_tot,tot_nni_a_15_19,tot_nni_a_20_24,tot_nni_a_25_34,tot_nni_a_35_44,tot_nni_a_45_54,tot_nni_a_55_64,tot_nni_a_65_74,tot_nni_a_75ov,tot_nni_tot,tot_1_149_a_15_19,tot_1_149_a_20_24,tot_1_149_a_25_34,tot_1_149_a_35_44,tot_1_149_a_45_54,tot_1_149_a_55_64,tot_1_149_a_65_74,tot_1_149_a_75ov,tot_1_149_tot,tot_150_299_a_15_19,tot_150_299_a_20_24,tot_150_299_a_25_34,tot_150_299_a_35_44,tot_150_299_a_45_54,tot_150_299_a_55_64,tot_150_299_a_65_74,tot_150_299_a_75ov,tot_150_299_tot,tot_300_399_a_15_19,tot_300_399_a_20_24,tot_300_399_a_25_34,tot_300_399_a_35_44,tot_300_399_a_45_54,tot_300_399_a_55_64,tot_300_399_a_65_74,tot_300_399_a_75ov,tot_300_399_tot,tot_400_499_a_15_19,tot_400_499_a_20_24,tot_400_499_a_25_34,tot_400_499_a_35_44,tot_400_499_a_45_54,tot_400_499_a_55_64,tot_400_499_a_65_74,tot_400_499_a_75ov,tot_400_499_tot,tot_500_649_a_15_19,tot_500_649_a_20_24,tot_500_649_a_25_34,tot_500_649_a_35_44,tot_500_649_a_45_54,tot_500_649_a_55_64,tot_500_649_a_65_74,tot_500_649_a_75ov,tot_500_649_tot,tot_650_799_a_15_19,tot_650_799_a_20_24,tot_650_799_a_25_34,tot_650_799_a_35_44,tot_650_799_a_45_54,tot_650_799_a_55_64,tot_650_799_a_65_74,tot_650_799_a_75ov,tot_650_799_tot,tot_800_999_a_15_19,tot_800_999_a_20_24,tot_800_999_a_25_34,tot_800_999_a_35_44,tot_800_999_a_45_54,tot_800_999_a_55_64,tot_800_999_a_65_74,tot_800_999_a_75ov,tot_800_999_tot,tot_1000_1249_a_15_19,tot_1000_1249_a_20_24,tot_1000_1249_a_25_34,tot_1000_1249_a_35_44,tot_1000_1249_a_45_54,tot_1000_1249_a_55_64,tot_1000_1249_a_65_74,tot_1000_1249_a_75ov,tot_1000_1249_tot,tot_1250_1499_a_15_19,tot_1250_1499_a_20_24,tot_1250_1499_a_25_34,tot_1250_1499_a_35_44,tot_1250_1499_a_45_54,tot_1250_1499_a_55_64,tot_1250_1499_a_65_74,tot_1250_1499_a_75ov,tot_1250_1499_tot,tot_1500_1749_a_15_19,tot_1500_1749_a_20_24,tot_1500_1749_a_25_34,tot_1500_1749_a_35_44,tot_1500_1749_a_45_54,tot_1500_1749_a_55_64,tot_1500_1749_a_65_74,tot_1500_1749_a_75ov,tot_1500_1749_tot,tot_1750_1999_a_15_19,tot_1750_1999_a_20_24,tot_1750_1999_a_25_34,tot_1750_1999_a_35_44,tot_1750_1999_a_45_54,gcc_name16
1RNSW,228,225,234,144,82,1369,24,208,306,310,309,265,98,48,1573,26,137,366,353,425,311,88,39,1744,7,89,352,361,411,291,98,34,1640,0,36,227,256,257,194,48,16,1032,0,9,163,226,280,163,42,20,894,3,10,94,172,149,106,22,7,561,0,8,82,198,231,121,37,26,703,8,16,46,76,113,84,50,33,426,164,209,403,401,426,320,155,157,2254,976,1287,2705,3112,3376,2689,1202,847,16195,1546,432,947,1428,1811,1850,826,186,9021,26934,2854,1985,2327,2394,2398,833,211,39945,9819,6888,5482,5552,6083,6284,2357,578,43037,5934,7379,7231,7720,8618,8805,3734,994,50417,6207,9041,9613,9849,11830,11143,4467,980,63138,5491,14494,17583,17355,20676,18086,6303,1209,101197,3076,17558,25597,22912,26910,21394,5575,889,123909,1325,13747,30348,27003,31639,24928,5240,792,135024,464,8430,30109,27917,30967,23963,4936,708,127490,153,3531,20374,19569,20772,15470,2830,402,83100,58,1448,14751,17512,18955,13453,2318,319,68812,30,632,8646,13748,14816,Rest of NSW
1GSYD,521,531,370,129,57,2942,70,544,1124,705,658,443,150,47,3741,46,574,1491,965,856,555,137,42,4667,29,398,1677,1124,968,564,154,33,4951,11,150,1123,876,692,367,108,21,3339,4,76,809,743,666,349,78,20,2753,0,24,439,571,420,231,66,18,1771,3,22,581,822,614,322,77,34,2472,13,20,290,716,618,349,176,81,2275,289,660,1485,1141,992,618,182,92,5452,1749,4397,11436,9496,8115,4976,1690,725,42593,2279,1427,2762,2839,2456,1551,572,143,14042,37366,10073,4147,4015,3272,2385,883,143,62272,18019,20544,11073,9399,8414,7003,2373,458,77271,9465,20094,17110,12911,12345,9979,3596,637,86142,8294,20657,22277,16082,15937,12728,4583,833,101384,7244,26348,35233,28019,28187,21724,7273,1083,155116,4285,30565,53123,39381,38656,28230,7916,895,203062,2213,31448,76203,52637,50511,35908,8638,850,258418,842,24663,93129,63355,56693,39930,9152,803,288573,285,10851,71305,51975,43571,28315,6341,585,213227,133,4262,58283,51259,41806,26473,5450,525,188182,62,1532,36658,42008,33530,Greater Sydney
2RVIC,112,142,128,81,29,725,15,106,178,165,171,150,42,33,855,5,89,197,186,194,182,42,24,928,3,49,148,203,216,177,66,23,884,4,20,116,155,156,118,15,13,592,0,7,62,117,149,94,27,4,456,0,0,46,79,86,55,11,7,284,0,3,46,74,91,48,10,5,291,3,5,20,36,58,44,31,28,222,99,135,218,242,268,195,84,89,1326,621,727,1406,1704,1866,1600,677,442,9043,1027,284,577,994,1290,1350,527,134,6189,17110,1929,1324,1559,1581,1674,602,150,25931,5374,4247,3252,3571,3909,4154,1608,341,26454,2917,4381,4225,4841,5440,5721,2349,582,30443,2994,5151,5311,6025,7380,7125,2901,656,37539,2497,7908,9596,10139,12384,11205,3950,752,58433,1341,9614,14517,12854,15287,12853,3378,605,70443,630,8026,17701,15355,17946,14495,3163,481,77787,239,4745,17571,15570,17893,13996,2775,417,73201,61,1670,11759,11199,11957,8786,1713,238,47373,23,640,7424,9380,10310,7494,1167,209,36644,16,219,3861,6396,7185,Rest of Vic.
2GMEL,476,477,303,135,69,2501,43,410,976,633,553,335,119,50,3125,20,400,1206,801,718,442,122,39,3751,8,250,1279,846,793,453,131,42,3804,3,102,810,698,537,360,79,20,2614,4,41,600,657,505,272,64,16,2166,3,12,325,440,355,203,45,21,1411,5,13,372,553,545,286,78,20,1866,14,30,184,391,418,239,133,77,1489,234,585,1241,1086,977,588,211,117,5028,1409,3481,9056,7744,6959,4217,1558,742,35158,2210,1580,2749,2979,2656,1737,569,118,14604,42220,12852,5059,4543,3789,2697,956,179,72287,16669,24010,13076,10815,9317,7360,2426,430,84097,6945,21336,18053,13524,12902,9957,3664,678,87062,5476,20351,21852,16558,17076,13257,4724,799,100100,4367,25083,36274,28721,29622,21761,7114,1030,153966,2705,27815,55346,40309,39915,27647,7413,778,201926,1362,27141,79058,53102,51285,34254,7736,750,254687,544,18493,91736,61590,56496,37884,7880,669,275285,141,6693,67081,49846,42389,26719,5329,468,198666,101,2534,48678,46988,39491,24216,4529,412,166942,37,960,27494,35660,29644,Greater Melbourne
3GBRI,193,189,128,58,37,1108,44,257,413,317,252,177,57,21,1523,19,229,610,436,342,204,64,18,1922,10,134,620,472,435,224,56,22,1964,6,59,370,384,308,153,38,11,1327,0,20,293,346,275,142,30,10,1120,3,11,162,241,198,103,25,9,748,0,12,169,310,254,137,32,9,933,10,13,68,171,187,79,42,21,601,164,275,536,505,447,241,71,56,2295,890,1670,4066,3852,3320,1882,670,363,16720,1114,600,1110,1245,1249,923,293,57,6596,23045,4342,1960,1956,1639,1322,477,73,34807,12082,9048,5094,4288,3775,3138,1067,168,38660,6046,9348,7667,5686,5344,4525,1679,290,40590,4982,10218,9743,7493,7281,5941,2283,347,48282,4607,14605,17039,13977,13994,10700,3583,489,78997,2772,18481,27219,20326,19948,14040,3582,329,106702,1473,17347,37755,27654,26442,17868,3767,276,132571,536,12295,42436,33431,30951,20363,3808,281,144107,170,5289,31241,26344,23422,14300,2539,168,103485,82,2000,23830,26259,23187,13790,2179,168,91488,27,731,13551,18306,16329,Greater Brisbane
3RQLD,216,222,174,86,60,1184,40,172,362,327,270,218,77,24,1489,16,152,407,372,362,245,78,16,1655,12,99,355,375,374,276,80,26,1601,3,40,248,290,271,170,48,12,1087,0,23,157,240,223,121,46,10,814,3,13,100,142,143,82,25,9,509,0,7,127,223,222,126,38,19,756,9,16,72,146,136,92,52,30,550,160,244,414,461,512,311,136,93,2338,952,1262,2892,3339,3276,2316,1027,578,15647,1343,465,1160,1660,2139,1953,794,158,9679,25394,2335,1985,2437,2192,1993,706,154,37196,10821,5535,5267,5610,5255,5123,1821,380,39804,6421,6299,7160,7174,7485,7057,2971,672,45241,6137,7922,9359,9379,10329,9192,3689,790,56804,6014,13830,17190,17012,19056,15530,5431,817,94886,3316,18296,26381,23275,25034,18622,4928,596,120450,1655,15219,31838,27828,30345,21748,4637,498,133770,670,10096,32063,29471,31212,21876,4390,438,130211,215,4728,21822,21457,21717,14358,2648,299,87246,97,2161,16203,19803,20677,13222,2117,242,74518,58,1025,9550,13287,13610,Rest of Qld
4RSAU,31,34,34,22,11,201,3,17,36,61,62,37,13,9,237,0,24,39,39,54,54,9,3,227,0,12,48,39,65,49,16,17,236,4,8,27,32,44,38,11,8,178,0,3,24,25,59,22,4,4,137,0,0,14,20,21,18,3,5,76,0,0,17,28,30,15,7,3,101,0,0,8,10,12,13,8,5,48,17,13,45,42,57,35,24,25,255,126,137,367,418,524,442,203,152,2372,232,69,178,284,406,361,159,39,1727,3609,266,348,363,442,476,167,36,5690,1278,714,878,976,1202,1245,482,112,6885,747,820,1108,1136,1575,1608,681,148,7824,825,1099,1368,1672,2046,2005,889,223,10118,655,1933,2485,2757,3511,3060,1120,213,15737,393,2439,3553,3475,4194,3320,1005,188,18579,185,1920,4343,3961,4855,3991,890,161,20302,83,1235,3950,3992,4872,4053,770,143,19095,27,582,2717,2567,3219,2378,511,74,12067,15,242,1964,2246,2676,2071,364,60,9637,7,129,1147,1612,1918,Rest of SA
4GADE,119,103,77,51,26,634,8,104,198,164,149,123,35,11,796,3,77,284,210,233,123,36,8,978,0,52,249,254,257,156,45,15,1032,3,17,171,197,170,123,22,8,727,0,3,106,169,159,92,17,9,561,0,0,53,98,94,63,4,3,323,0,0,49,109,130,71,13,5,384,4,6,37,53,58,43,36,20,257,66,89,222,213,193,102,48,39,983,360,721,1839,1843,1815,1179,456,246,8460,541,317,599,641,657,471,162,32,3409,13001,3128,1263,1110,1009,884,280,52,20727,5973,6394,3377,2694,2619,2253,744,120,24170,2557,5592,4566,3667,3691,3151,1186,183,24602,2047,5664,6068,4935,5461,4487,1677,269,30610,1598,7553,10436,8940,9546,7713,2462,304,48547,784,8297,15493,12325,12705,9336,2262,275,61480,384,7529,20601,16339,16872,11983,2448,227,76387,138,4675,21514,17974,18695,13522,2431,217,79155,45,1803,14564,13102,12859,8617,1574,117,52673,15,640,10654,12109,11650,8123,1292,116,44594,9,196,5727,8600,8679,Greater Adelaide
5GPER,159,132,88,52,18,781,30,144,266,192,166,99,38,23,959,19,144,353,292,254,146,44,15,1259,6,111,448,343,340,197,58,10,1509,6,53,349,282,317,190,43,5,1248,0,36,219,279,292,158,31,9,1026,0,18,176,235,196,110,27,5,777,0,15,211,346,306,149,41,11,1078,9,11,82,217,213,121,62,26,733,81,206,399,346,352,203,75,27,1688,598,1219,3164,3059,2931,1723,645,240,13568,951,477,1072,1199,1134,819,252,44,5942,19840,4262,2252,2083,1493,1149,402,76,31556,8905,8633,5162,4359,3622,2905,1035,133,34746,4132,7952,6923,5347,4838,3940,1534,269,34941,3392,7847,8482,6711,6295,5250,1992,357,40333,3139,10185,13169,10994,11020,8740,3139,486,60881,1771,11870,18152,13820,13828,10018,3128,359,72947,905,11946,26359,18758,18798,13236,3218,281,93499,394,9442,33780,23572,23423,16920,3614,287,111435,105,4820,25884,19588,18515,12370,2597,194,84076,56,2065,21554,18806,17880,11466,2180,179,74171,25,849,13886,15066,13986,Greater Perth
5RWAU,36,45,45,18,17,262,19,42,66,62,64,47,29,11,329,9,37,65,67,73,58,26,9,345,7,33,79,82,112,77,12,7,400,0,18,69,68,81,63,17,4,312,4,13,60,76,81,58,18,0,314,0,8,45,70,83,43,6,3,273,0,10,111,158,166,69,16,4,537,3,7,68,138,128,51,22,3,420,37,48,114,119,143,76,36,27,601,214,312,851,1009,1106,707,287,137,4628,319,84,344,430,541,504,211,35,2470,4317,247,621,701,618,510,218,43,7273,1414,649,1261,1460,1289,1237,451,116,7882,1047,817,1487,1571,1643,1643,763,181,9148,1187,1017,1688,1915,2207,2016,893,226,11154,1277,2053,2910,3178,3642,3146,1237,228,17674,790,2902,4186,3814,4301,3542,1101,187,20821,470,2716,5332,4759,5623,4341,1070,158,24471,271,2254,6431,5931,6651,5074,1127,158,27897,85,1452,5155,4863,5124,3650,805,109,21240,43,1025,5229,4985,5375,3808,671,74,21205,27,738,4544,4659,4912,Rest of WA
