gcc_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,gcc_name16
1RNSW,12973,12003,11419,7268,2074,428,56913,509,4699,6490,7002,8901,4510,1075,204,33385,11921,51560,51155,39406,37796,23358,8248,2322,225762,8152,26123,33384,37959,36442,23317,9127,2622,177117,40819,79192,75195,82356,73099,46731,21171,6115,424675,6745,5714,5181,5358,4727,2683,721,185,31316,3525,5169,6999,10217,11779,9599,3928,1265,52481,51087,90074,87374,97927,89606,59010,25819,7565,508463,904,1681,1817,2401,3435,3566,1828,728,16367,30295,26651,26637,32355,37052,39534,32223,19102,243849,103346,211064,219830,229051,224646,160561,80387,32976,1261856,Rest of NSW
1GSYD,82263,52043,34086,17344,5087,1228,286809,1523,14067,17364,15069,13243,6566,1715,383,69923,65031,234116,180071,121247,83553,44157,16300,5156,749630,27249,78827,81487,74994,53749,30765,12800,4642,364516,45625,97610,92791,92675,70041,43778,21592,7498,471625,6012,6486,6987,6735,5187,2818,847,312,35396,5197,9675,13648,17140,16517,12374,5050,2180,81783,56837,113774,113432,116553,91746,58970,27486,9992,588802,2817,7116,7071,7331,7279,5793,2977,1307,41693,46602,63857,50613,46492,41483,36972,29670,21732,337416,205401,601171,532296,433734,325141,200564,96041,44441,2438784,Greater Sydney
2RVIC,6038,5391,5050,3152,787,142,26044,398,3860,5304,5590,5650,2812,596,100,24317,7106,28523,28001,20345,19409,11568,3882,1135,119974,5112,15465,18246,20218,19299,12989,4836,1566,97735,22917,43351,39313,43391,36774,21693,9100,2744,219276,3181,2899,2502,2294,2055,1045,216,81,14276,1656,2812,3431,3875,4133,3079,1111,446,20546,27757,49061,45254,49553,42965,25816,10431,3266,254100,396,870,898,1050,1251,1389,820,362,7038,16901,14342,14730,17940,20189,20939,16671,9630,131344,58216,117060,118472,120088,113810,78664,38027,16211,660545,Rest of Vic.
2GMEL,65398,39877,25872,13335,3747,903,232363,2053,20007,23448,21233,17059,7606,1844,391,93638,61946,216325,164167,105667,70029,36685,13368,4398,672587,29169,81225,75165,66362,47815,28702,11794,4184,344413,49014,102422,89780,93603,67472,38639,19355,6437,466725,6230,5984,5728,5163,3652,1956,546,164,29420,4654,8912,10748,12242,10475,7206,3104,1430,58776,59905,117323,106255,111009,81601,47800,23003,8031,554929,2396,5789,5217,4696,4380,3847,2118,987,29421,43437,55362,43754,41682,38077,35173,28454,18665,304605,204078,574097,483400,390527,284832,173147,84320,37564,2231960,Greater Melbourne
3GBRI,24930,18349,12125,6160,1688,400,88666,1020,7823,9698,9170,6707,3032,825,136,38409,25460,84784,71545,48186,31280,17484,5824,1588,286153,15029,33427,35908,34973,25205,14462,5303,1496,165803,37737,65161,57240,54656,42434,25647,10762,3030,296660,7268,4289,3246,2650,1948,1131,262,88,20879,3346,5039,6111,6143,5745,4096,1566,589,32639,48352,74494,66595,63441,50124,30871,12596,3703,350171,1174,2322,2184,2261,2101,1928,1072,416,13461,22850,25778,21359,20429,18594,17913,14069,9802,150796,115136,252366,232220,196817,146148,91848,41377,17537,1093450,Greater Brisbane
3RQLD,11415,10187,8509,5211,1517,237,47028,739,4844,6326,6880,6358,3301,892,112,29447,13974,52874,49742,37101,30055,19433,6840,1665,211682,9636,27314,34492,37226,31477,20370,7393,1860,169760,41844,78480,74987,75300,64316,42040,16760,3915,397633,8417,5280,4121,3544,2939,1736,434,88,26570,3498,5351,6833,7664,7664,6265,2544,653,40466,53760,89108,85944,86508,74920,50043,19734,4654,464665,880,1749,1974,2288,2548,2796,1599,494,14327,31414,33329,31783,34909,36029,36527,25083,12749,241831,111049,218515,221675,215096,189897,137684,63053,21771,1178747,Rest of Qld
4RSAU,751,701,767,538,128,16,3646,59,444,605,778,1030,514,112,13,3565,1205,5290,5007,3772,3918,2584,821,218,22820,685,2607,3605,4762,5001,3343,996,298,21285,5590,11332,10630,11787,10532,6665,2716,736,59983,1168,1290,1016,770,610,340,77,22,5297,507,860,1191,1325,1326,992,352,98,6637,7267,13475,12839,13877,12463,7995,3145,855,71915,101,233,273,298,401,391,206,105,2005,4329,4116,4214,5221,5637,5665,4167,2460,35811,13700,26862,27294,29421,29206,21030,9578,3968,161055,Rest of SA
4GADE,12603,8793,6674,3894,1255,302,47049,401,3588,4843,4789,4621,2383,551,113,21298,12120,44350,37115,25161,19946,11993,4089,1555,156317,4632,16054,18440,20347,17246,10544,3830,1452,92539,17801,35281,30255,32541,26041,16276,8215,2806,169224,3705,3445,2544,1995,1473,748,229,70,14209,1525,2632,3552,3962,3802,2937,1285,545,20243,23033,41357,36351,38499,31310,19968,9732,3418,203673,613,1356,1339,1434,1399,1389,824,408,8761,10186,10641,9591,10406,10300,10342,9273,6640,77386,51647,130215,120285,109429,91499,60507,29549,13891,607027,Greater Adelaide
5GPER,19912,14082,9228,4849,1456,328,69611,791,6955,8124,7740,5761,2384,610,138,32500,20461,77034,62017,42677,28413,15625,5765,1597,253591,10108,29629,30327,29425,23212,14055,5743,1651,144153,28272,56299,46688,46807,36072,21633,10175,2719,248675,5764,3822,2920,2408,1769,980,291,113,18060,2273,4434,5807,6292,5469,4003,1808,616,30701,36312,64556,55419,55505,43306,26619,12282,3444,297439,978,2511,2359,2333,2148,1954,1038,410,13732,18531,24606,19880,18608,16948,16017,14082,9487,138171,88121,224090,198038,170375,129021,81511,40981,17058,949197,Greater Perth
5RWAU,1860,1507,1380,865,183,27,7427,125,1146,1502,1384,1407,621,119,10,6325,1812,10927,10400,7556,6272,3765,1158,245,42133,1270,5533,6756,7530,7110,4397,1352,313,34264,8829,22027,19944,19305,15007,7997,2591,546,96248,2251,1674,1235,988,785,390,96,11,7429,722,1359,1817,1853,1920,1350,396,103,9525,11800,25059,22997,22146,17711,9739,3082,663,113203,170,445,477,494,530,518,259,67,2959,8105,12962,11569,11989,10835,8408,4773,2100,70744,23340,57617,55557,52612,45250,28314,10927,3435,277053,Rest of WA
6GHOB,2007,1778,1450,858,270,84,8593,87,757,908,1078,878,469,110,28,4311,1581,6148,5690,4380,4051,2374,819,341,25391,524,1969,2636,3083,2761,1948,876,312,14117,3036,6412,5379,5576,4776,2564,1291,410,29444,723,654,410,316,276,150,41,22,2592,263,450,551,628,722,463,242,117,3440,4028,7517,6337,6521,5774,3171,1573,551,35479,73,155,152,209,234,273,183,64,1346,2058,2079,1939,2162,2284,2244,1889,1033,15688,8449,20676,19670,19209,17442,11334,5728,2409,104923,Greater Hobart
6RTAS,917,1018,1064,739,183,29,4727,47,425,554,748,784,412,90,23,3078,995,4259,4400,3984,3958,2371,757,223,20943,536,1933,2900,3760,3722,2497,997,248,16603,4337,8151,7723,8618,7772,4432,1881,475,43389,1137,920,655,579,414,207,59,26,3991,421,602,818,996,1024,717,318,87,4992,5896,9670,9202,10194,9208,5351,2259,586,52371,72,165,180,213,269,285,201,67,1451,3176,2390,2461,3416,3860,4252,3164,1452,24167,10771,19562,20607,23334,22865,15913,7654,2639,123341,Rest of Tas.
