yr,chld_enrld_prescl_prog_4_yr_olds_enrld_prescl_prescl_prog_num,chld_enrld_prescl_prog_5_yr_olds_enrld_prescl_prescl_prog_num,chld_enrld_prescl_prog_enrld_prescl_num,chld_enrld_prescl_prog_enrld_prescl_prog_longday_care_num,chld_enrld_prescl_prog_chld_enrld_more_thn_1_provr_type_num,chld_enrld_prescl_prog_tot_enrld_prescl_prog_num,chld_attnd_prescl_prog_less_15_hrs_num,chld_attnd_prescl_prog_15_hrs_pls_num,hier_edu_loan_prog_help_repay_taxpayers_help_repayment_num,p_post_scl_qualf_p_post_scl_qualification_pr100,p_post_scl_qualf_postgrad_degree_pr100,p_post_scl_qualf_grad_dip_grad_certificate_pr100,p_post_scl_qualf_bachelor_degree_pr100,p_post_scl_qualf_adv_dip_dip_pr100,p_post_scl_qualf_certificate_pr100,p_post_scl_qualf_inadequately_described_ns_pr100,field_study_natural_phys_sciences_pr100,field_study_info_technology_pr100,field_study_engineering_rel_technologies_pr100,field_study_architecture_bld_pr100,field_study_agri_environmental_rel_studies_pr100,field_study_hlth_pr100,field_study_edu_pr100,field_study_mgmt_commerce_pr100,field_study_society_culture_pr100,field_study_creative_arts_pr100,field_study_food_hospity_p_pr100,field_study_mixed_field_progmes_pr100,field_study_field_study_inadequately_described_ns_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_12_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_11_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_10_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_9_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_8_belo_pr100,hi_yr_scl_completed_p15_yrs_ov_no_scl_pr100,hi_yr_scl_completed_p15_yrs_ov_ns_pr100,occ_empy_p_managers_pr100,occ_empy_p_pros_pr100,occ_empy_p_tech_trades_wrkers_pr100,occ_empy_p_cmty_p_wrkers_pr100,occ_empy_p_clrc_admt_wrkers_pr100,occ_empy_p_sales_wrkers_pr100,occ_empy_p_mach_ops_drivers_pr100,occ_empy_p_labourers_pr100,occ_empy_p_inadequately_described_ns_pr100,yth_engagement_wrk_study_wrking_ft_studying_pt_pr100,yth_engagement_wrk_study_wrking_pt_studying_pt_pr100,yth_engagement_wrk_study_wrking_pt_studying_ft_pr100,yth_engagement_wrk_study_wrking_ft_no_studying_pr100,yth_engagement_wrk_study_studying_ft_no_wrking_pr100,yth_engagement_wrk_study_wrking_ft_studying_ft_pr100,yth_engagement_wrk_study_engaged_pr100,yth_engagement_wrk_study_tot_15_19_yrs_num,jobs_aus_num_jobs_f_num,jobs_aus_num_jobs_m_num,jobs_aus_num_jobs_p_num,jobs_aus_num_emply_jobs_agri_frsty_fish_num,jobs_aus_num_emply_jobs_mining_num,jobs_aus_num_emply_jobs_manu_num,jobs_aus_num_emply_jobs_utility_num,jobs_aus_num_emply_jobs_cons_num,jobs_aus_num_emply_jobs_whsl_trade_num,jobs_aus_num_emply_jobs_rtl_trade_num,jobs_aus_num_emply_jobs_accom_food_num,jobs_aus_num_emply_jobs_trns_pstl_whse_num,jobs_aus_num_emply_jobs_info_med_coms_num,jobs_aus_num_emply_jobs_fin_insur_num,jobs_aus_num_emply_jobs_rent_hiring_rlst_num,jobs_aus_num_emply_jobs_pro_sci_tech_num,jobs_aus_num_emply_jobs_admt_supp_num,jobs_aus_num_emply_jobs_pub_admt_safety_num,jobs_aus_num_emply_jobs_edu_training_num,jobs_aus_num_emply_jobs_hlth_care_soc_asst_num,jobs_aus_num_emply_jobs_arts_rec_num,jobs_aus_num_emply_jobs_oth_num,jobs_aus_num_emply_jobs_tot_num,lbr_frc_statistics_lbr_frc_num,lbr_frc_statistics_unemp_num,lbr_frc_statistics_unemp_rt_pr100,lbr_frc_statistics_ptic_rt_pr100,gcc_code16,gcc_name16,ogc_fid
2011,,,,,,,,,77515.0,59.5,5.6,1.6,16.9,9.0,15.2,11.3,3.1,4.0,13.4,4.8,1.2,7.8,6.6,22.8,10.8,4.3,4.2,0.2,17.0,55.0,5.3,19.6,5.5,4.8,1.3,8.5,13.3,25.5,12.2,8.8,16.2,9.0,5.7,7.3,2.0,2.5,1.3,17.1,5.0,55.3,0.4,83.5,275789.0,,,,,,,,,,,,,,,,,,,,,,,,2188855.0,125586.0,5.7,61.7,1GSYD,Greater Sydney,1
2012,,,,,,,,,81044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721095.0,1904818.0,3625908.0,24924.0,4659.0,196716.0,20856.0,160864.0,175591.0,293012.0,244783.0,131138.0,93810.0,200241.0,58628.0,290316.0,306955.0,163969.0,246043.0,321154.0,51269.0,96226.0,3247572.0,,,,,1GSYD,Greater Sydney,2
2013,,,,,,,,,88090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780323.0,1937209.0,3717531.0,23127.0,4592.0,196400.0,20605.0,172873.0,178281.0,299458.0,248094.0,131128.0,93076.0,194321.0,59323.0,291084.0,308614.0,184790.0,266027.0,355243.0,53977.0,96527.0,3343329.0,,,,,1GSYD,Greater Sydney,3
2014,,,,,,,,,92817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790364.0,1954579.0,3744947.0,21697.0,5053.0,191370.0,21103.0,186090.0,179813.0,300721.0,261429.0,133388.0,94510.0,194430.0,61588.0,306006.0,310090.0,184978.0,278642.0,338939.0,55112.0,99057.0,3373421.0,,,,,1GSYD,Greater Sydney,4
2015,,,,,,,,,101848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806444.0,1979640.0,3786077.0,20767.0,3363.0,191431.0,21835.0,195315.0,184512.0,308307.0,274025.0,131465.0,91011.0,198377.0,68678.0,322882.0,333082.0,180389.0,264824.0,336440.0,55765.0,101332.0,3422269.0,,,,,1GSYD,Greater Sydney,5
2016,51622.0,11591.0,15500.0,45379.0,2330.0,63227.0,9861.0,51045.0,116753.0,62.3,7.3,1.8,19.2,9.3,15.1,9.6,3.2,4.4,12.7,4.9,1.1,8.2,6.5,24.1,11.7,4.5,4.0,0.3,14.4,60.0,5.0,17.1,4.8,4.1,1.4,7.7,13.7,26.3,11.7,9.6,14.6,9.0,5.6,7.5,1.9,2.0,1.4,19.6,4.2,56.0,0.4,85.3,288362.0,1855022.0,2034030.0,3889050.0,24680.0,3611.0,189091.0,19982.0,201823.0,183881.0,313823.0,279309.0,120132.0,95450.0,207645.0,73178.0,335679.0,352208.0,172580.0,266565.0,352029.0,56049.0,101374.0,3509696.0,2418905.0,146187.0,6.0,61.6,1GSYD,Greater Sydney,6
2017,52968.0,12196.0,15611.0,46955.0,2551.0,65188.0,8186.0,54319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,7
2011,,,,,,,,,29012.0,53.2,2.0,1.3,9.1,7.1,22.1,11.7,1.9,1.5,17.4,6.4,3.4,9.9,8.3,15.3,9.0,2.4,5.3,0.1,19.1,34.5,7.1,32.0,10.4,7.0,0.4,8.6,13.4,17.4,15.2,10.7,13.0,9.7,7.6,11.3,1.6,3.9,1.4,19.4,8.2,42.3,0.6,77.9,166873.0,,,,,,,,,,,,,,,,,,,,,,,,1141247.0,69874.0,6.1,56.4,1RNSW,Rest of NSW,8
2012,,,,,,,,,30612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910059.0,1007973.0,1918036.0,69941.0,33086.0,106910.0,18513.0,99870.0,50313.0,171011.0,144767.0,62810.0,15980.0,52320.0,28048.0,82597.0,108372.0,120341.0,148743.0,190293.0,19579.0,52366.0,1651868.0,,,,,1RNSW,Rest of NSW,9
2013,,,,,,,,,32340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941951.0,1008394.0,1950340.0,69416.0,33451.0,104564.0,18655.0,104114.0,50314.0,172226.0,146692.0,62113.0,14953.0,51312.0,27407.0,74310.0,105426.0,133265.0,164610.0,210824.0,20633.0,52281.0,1688940.0,,,,,1RNSW,Rest of NSW,10
