gcc_name16,gcc_code16,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Other Territories,9OTER,0,0,9,8,19,13,4,0,0,58,3,11,10,22,32,19,15,0,0,111,70,114,333,442,504,443,201,29,4,2151
Australian Capital Territory,8ACTE,333,792,1505,1306,1163,739,239,21,5,6102,305,621,1394,1199,974,565,212,47,25,5346,10736,20908,52577,48137,41795,24780,5821,594,78,205419
Rest of NT,7RNTE,65,187,465,406,381,235,57,0,0,1799,97,166,358,305,284,199,54,17,0,1488,1306,2545,7640,6536,6668,4817,1125,115,9,30752
Greater Darwin,7GDAR,158,273,626,499,477,271,68,8,0,2378,187,330,802,694,661,381,108,17,6,3191,3203,6740,19584,16319,14271,9000,2053,172,21,71357
Rest of Tas.,6RTAS,222,530,909,854,991,721,188,17,0,4441,283,355,734,826,985,812,296,87,26,4397,6741,9945,20280,22976,28587,22736,5260,758,120,117405
Greater Hobart,6GHOB,140,373,808,765,773,600,181,28,0,3670,168,285,618,586,626,436,174,54,19,2958,5175,8821,20471,21039,22407,16873,3635,407,58,98883
Rest of WA,5RWAU,629,1037,2048,1953,1814,1237,322,44,0,9080,594,867,1838,1961,2190,1677,582,185,28,9929,11858,16897,47675,50979,54551,40812,10779,1666,221,235431
Greater Perth,5GPER,1644,4312,9656,7462,7255,4927,1300,155,14,36729,1879,4248,10358,9434,9158,5652,1819,413,77,43030,46211,88498,222260,201490,195311,131038,31760,3270,364,920196
Rest of SA,4RSAU,316,619,1131,1093,1249,985,281,40,9,5729,344,414,845,903,1180,985,416,168,47,5303,8564,12189,27321,30310,37742,31778,8684,1467,263,158308
Greater Adelaide,4GADE,774,2482,5349,4784,5063,3718,1052,133,9,23353,798,1808,4241,3976,4115,2882,967,271,86,19133,28487,55620,129432,125726,130434,93473,21363,2206,308,587060
Rest of Qld,3RQLD,2481,4850,9749,9024,8600,5978,1714,151,7,42551,2678,4105,8629,9371,9767,7097,2540,720,164,45065,65656,94742,212136,225875,239632,171672,43304,5754,744,1059525
Greater Brisbane,3GBRI,2006,4755,10282,8680,8162,5397,1373,154,11,40813,2275,4988,10842,10407,9480,5878,1794,410,114,46178,60083,111449,252724,242798,226688,144487,32052,3110,389,1073778
Rest of Vic.,2RVIC,1121,2646,4654,4237,4760,3777,1085,141,20,22437,1601,2286,4009,4488,5444,4549,1755,604,159,24896,36413,53437,112772,122157,141612,116189,30307,4785,919,618583
Greater Melbourne,2GMEL,2357,7843,19386,16399,16136,10439,2812,329,38,75730,3493,10223,25832,22634,22461,14069,4386,905,280,104281,88109,202474,538588,483008,440905,284768,69019,7429,1203,2115493
Rest of NSW,1RNSW,2452,5099,9307,8848,9037,6547,1895,254,37,43467,2694,4065,7380,8008,9166,7202,2705,973,270,42468,66071,96123,207157,225112,252505,198277,49771,7880,1272,1104163
Greater Sydney,1GSYD,3309,8330,19722,18034,16845,11226,3051,345,34,80900,4439,11792,29759,25730,23976,15062,4445,931,238,116381,95877,214769,571197,527605,466922,308826,77795,8569,1152,2272718
