gcc_code16,mng_mng_nfd_m,mng_mng_nfd_f,mng_mng_nfd_p,mng_chiefex_gmng_legs__m,mng_chiefex_gmng_legs__f,mng_chiefex_gmng_legs__p,mng_farmers_fmng_m,mng_farmers_fmng_f,mng_farmers_fmng_p,mng_spec_mng_m,mng_spec_mng_f,mng_spec_mng_p,mng_hosp_ret_svce_mng_m,mng_hosp_ret_svce_mng_f,mng_hosp_ret_svce_mng_p,mng_tot_m,mng_tot_f,mng_tot_p,pro_pro_nfd_m,pro_pro_nfd_f,pro_pro_nfd_p,pro_arts_media_pro_m,pro_arts_media_pro_f,pro_arts_media_pro_p,pro_busin_hr_mkting_pro_m,pro_busin_hr_mkting_pro_f,pro_busin_hr_mkting_pro_p,pro_deseng_sci_tspt_pro_m,pro_deseng_sci_tspt_pro_f,pro_deseng_sci_tspt_pro_p,pro_educ_pro_m,pro_educ_pro_f,pro_educ_pro_p,pro_health_pro_m,pro_health_pro_f,pro_health_pro_p,pro_inf_com_tec_ict_pro_m,pro_inf_com_tec_ict_pro_f,pro_inf_com_tec_ict_pro_p,pro_leg_soc_welf_pro_m,pro_leg_soc_welf_pro_f,pro_leg_soc_welf_pro_p,pro_tot_m,pro_tot_f,pro_tot_p,tectw_tectw_nfd_m,tectw_tectw_nfd_f,tectw_tectw_nfd_p,tectw_eng_ict_stecs_m,tectw_eng_ict_stecs_f,tectw_eng_ict_stecs_p,tectw_auto_eng_tds_wks_m,tectw_auto_eng_tds_wks_f,tectw_auto_eng_tds_wks_p,tectw_const_tds_wks_m,tectw_const_tds_wks_f,tectw_const_tds_wks_p,tectw_eletec_telco_tds_wks_m,tectw_eletec_telco_tds_wks_f,tectw_eletec_telco_tds_wks_p,tectw_food_tds_wks_m,tectw_food_tds_wks_f,tectw_food_tds_wks_p,tectw_sk_ani_hort_wks_m,tectw_sk_ani_hort_wks_f,tectw_sk_ani_hort_wks_p,tectw_oth_tectw_m,tectw_oth_tectw_f,tectw_oth_tectw_p,tectw_tot_m,tectw_tot_f,tectw_tot_p,copsw_copsw_nfd_m,copsw_copsw_nfd_f,copsw_copsw_nfd_p,copsw_hlthwlfsptws_m,copsw_hlthwlfsptws_f,copsw_hlthwlfsptws_p,copsw_carers_aides_m,copsw_carers_aides_f,copsw_carers_aides_p,copsw_hosp_wks_m,copsw_hosp_wks_f,copsw_hosp_wks_p,copsw_protecsvcwks_m,copsw_protecsvcwks_f,copsw_protecsvcwks_p,copsw_sptspsnlsvcews_m,copsw_sptspsnlsvcews_f,copsw_sptspsnlsvcews_p,copsw_tot_m,copsw_tot_f,copsw_tot_p,claw_claw_nfd_m,claw_claw_nfd_f,claw_claw_nfd_p,claw_ofmngs_progadm_m,claw_ofmngs_progadm_f,claw_ofmngs_progadm_p,claw_psnlas_secretaries_m,claw_psnlas_secretaries_f,claw_psnlas_secretaries_p,claw_gnrlclerws_m,claw_gnrlclerws_f,claw_gnrlclerws_p,claw_inqclks_recepts_m,claw_inqclks_recepts_f,claw_inqclks_recepts_p,claw_num_clerks_m,claw_num_clerks_f,claw_num_clerks_p,claw_clerl_ofsuptws_m,claw_clerl_ofsuptws_f,claw_clerl_ofsuptws_p,claw_oth_claw_m,claw_oth_claw_f,claw_oth_claw_p,claw_tot_m,claw_tot_f,claw_tot_p,sws_sws_nfd_m,sws_sws_nfd_f,sws_sws_nfd_p,sws_sales_reps_agnts_m,sws_sales_reps_agnts_f,sws_sales_reps_agnts_p,sws_salesas_salespsns_m,sws_salesas_salespsns_f,sws_salesas_salespsns_p,sws_salessptwks_m,sws_salessptwks_f,sws_salessptwks_p,sws_tot_m,sws_tot_f,sws_tot_p,maopd_maopd_nfd_m,maopd_maopd_nfd_f,maopd_maopd_nfd_p,maopd_ma_statplntops_m,maopd_ma_statplntops_f,maopd_ma_statplntops_p,maopd_mobplntops_m,maopd_mobplntops_f,maopd_mobplntops_p,maopd_roadrail_dvrs_m,maopd_roadrail_dvrs_f,maopd_roadrail_dvrs_p,maopd_storpsns_m,maopd_storpsns_f,maopd_storpsns_p,maopd_tot_m,maopd_tot_f,maopd_tot_p,lab_lab_nfd_m,lab_lab_nfd_f,lab_lab_nfd_p,lab_clnrs_lndryws_m,lab_clnrs_lndryws_f,lab_clnrs_lndryws_p,lab_const_and_min_lab_m,lab_const_and_min_lab_f,lab_const_and_min_lab_p,lab_factory_procws_m,lab_factory_procws_f,lab_factory_procws_p,lab_farmfrstygrdnws_m,lab_farmfrstygrdnws_f,lab_farmfrstygrdnws_p,lab_food_prep_asts_m,lab_food_prep_asts_f,lab_food_prep_asts_p,lab_oth_lab_m,lab_oth_lab_f,lab_oth_lab_p,lab_tot_m,lab_tot_f,lab_tot_p,inad_des_m,inad_des_f,inad_des_p,ns_m,ns_f,ns_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,1488,642,2127,5026,1798,6819,27118,10335,37451,29021,15084,44105,21349,21021,42374,84003,48877,132882,841,1001,1839,2511,2504,5017,13611,14906,28520,15864,6271,22139,14300,37464,51766,12855,40495,53344,4490,984,5467,5205,9979,15185,69679,113598,183276,1409,102,1508,12585,5003,17584,37341,582,37918,21782,317,22100,16560,311,16868,11105,6458,17569,7967,3543,11508,6340,7742,14085,115092,24051,139146,21,55,76,4035,11809,15843,7587,45259,52850,6946,20794,27741,10550,2692,13247,4324,8754,13074,33466,89360,122830,73,155,226,3861,16596,20458,152,8627,8779,2784,24650,27438,2109,20510,22618,3281,22106,25389,3641,3214,6853,6297,8696,14994,22207,104551,126761,83,95,181,7083,6264,13355,25139,49938,75077,3192,9723,12915,35501,66022,101526,1748,84,1827,18416,2095,20512,10165,359,10526,29328,2397,31721,5090,796,5887,64747,5725,70469,2456,391,2843,9673,18419,28089,12151,256,12405,12526,4976,17500,12321,3927,16246,7804,8942,16746,14421,4100,18522,71342,41004,112346,5475,3140,8616,4198,3387,7580,505708,499719,1005433,Rest of NSW
1GSYD,5260,2586,7850,22091,7352,29447,2141,1097,3233,114367,66975,181336,48831,39629,88458,192686,117637,310321,5272,5224,10496,12790,11799,24585,91260,86775,178034,45329,24264,69590,28956,74160,103122,26820,70046,96861,54287,12975,67259,18925,26853,45777,283639,312086,595723,3495,235,3738,30616,10568,41180,38202,574,38767,43048,651,43699,29593,701,30294,25131,8846,33977,9142,4782,13920,17588,13598,31183,196808,39948,236757,24,73,97,5369,13597,18960,11129,68149,79280,19736,32946,52679,21204,5156,26354,13155,22499,35657,70612,142426,213041,208,364,575,16425,38284,54706,675,25872,26543,10022,46914,56933,8508,43038,51543,19917,54555,74470,9897,6098,16000,23528,26488,50020,89182,241611,330792,266,285,553,26542,18636,45178,49808,77668,127475,8419,21216,29635,85037,117800,202837,2016,237,2253,15618,3859,19481,17374,753,18123,50855,2319,53180,21689,7020,28712,107554,14187,121740,2980,349,3335,19375,19393,38763,19384,348,19733,18406,13169,31573,4502,1781,6279,14784,11397,26179,23010,6616,29621,102426,53055,155481,15109,10177,25285,9717,7595,17311,1152769,1056525,2209294,Greater Sydney
2RVIC,1187,534,1721,2806,1085,3896,21285,8683,29966,16992,8059,25058,12401,11377,23782,54677,29747,84419,368,452,818,1273,1344,2624,7867,7822,15687,7840,3655,11499,8278,19948,28222,6566,24548,31112,2437,556,2997,2572,5745,8319,37205,64064,101273,686,44,731,6248,2936,9187,18835,273,19112,12883,211,13094,7903,150,8046,5949,3888,9834,4565,2226,6795,4580,4492,9071,61643,14220,75869,18,41,54,2487,8097,10591,3551,25895,29450,2991,9766,12763,6013,1622,7640,2615,5121,7741,17678,50556,68231,39,92,139,1989,8274,10265,118,3478,3598,1385,11379,12763,1131,11419,12549,1896,12365,14257,1997,1774,3775,3345,4371,7715,11907,53156,65060,41,63,102,3605,2644,6251,14318,28539,42860,1985,6307,8295,19948,37561,57511,576,43,620,6863,1259,8114,6553,230,6782,15008,857,15860,2665,612,3277,31658,3003,34661,1057,238,1292,4879,9593,14470,6056,132,6189,10837,4821,15655,7840,3206,11041,4521,5902,10424,7314,2531,9842,42499,26412,68914,2906,1669,4578,2476,1989,4463,282606,282377,564981,Rest of Vic.
2GMEL,6978,3265,10240,19849,6729,26576,2808,1114,3921,100163,54751,154915,45168,36334,81506,174965,102192,277160,4599,5066,9665,9182,8066,17245,72113,67956,140076,43482,23603,67084,29365,68740,98104,24058,69902,93960,45434,10623,56053,14857,24867,39724,243093,278824,521915,2792,230,3020,27662,10819,38489,41301,636,41938,45211,593,45801,25320,657,25977,22921,9375,32295,9368,5226,14594,18871,14170,33038,193447,41702,235149,38,110,154,5578,16095,21671,10259,71757,82020,17790,30317,48107,18775,4938,23710,12750,21545,34292,65191,144764,209956,269,480,748,13707,34698,48404,578,17928,18508,8540,38324,46859,9207,41775,50985,17326,50804,68135,8936,5633,14568,21838,23352,45189,80399,213000,293397,350,278,629,22780,15504,38287,50041,83312,133354,9036,21485,30518,82206,120585,202783,1171,163,1336,18035,4899,22936,17462,590,18054,43395,2133,45531,20656,6455,27109,100726,14242,114969,2572,345,2917,17261,16983,34245,17019,329,17350,24263,14553,38814,3960,2086,6048,15430,12970,28396,21497,6418,27914,102004,53675,155687,12147,8007,20152,8408,6595,15005,1062579,983586,2046169,Greater Melbourne
3GBRI,2650,1351,4000,8507,2767,11266,2245,1015,3257,44495,24379,68868,20736,19311,40046,78632,48817,127449,2228,2439,4666,3084,3158,6237,28585,30761,59343,24429,10740,35175,13412,33502,46919,13742,38582,52328,16984,3694,20686,7514,12034,19552,109990,134919,244906,1480,100,1573,16363,5656,22022,25810,432,26246,20387,356,20742,15760,401,16167,9629,4112,13744,4678,2625,7301,7811,7008,14819,101913,20689,122606,16,39,51,3221,8314,11535,6293,41396,47690,7153,16593,23745,12649,3162,15812,5548,10483,16028,34878,79987,114864,128,253,386,7633,20969,28600,281,9549,9829,4900,24886,29793,3899,22252,26150,6767,25263,32030,4198,3385,7582,11518,13281,24800,39323,119847,159172,124,146,266,11459,8786,20242,23554,40064,63618,4347,10761,15112,39484,59760,99241,789,62,851,8936,1729,10663,9513,481,9998,25332,1716,27048,10904,2564,13469,55477,6563,62035,2347,284,2630,9310,12013,21321,10238,227,10469,11886,7376,19261,3626,1547,5173,8147,7179,15325,12437,4292,16730,58000,32912,90915,6153,3958,10108,3709,2900,6608,527553,510348,1037906,Greater Brisbane
3RQLD,1999,906,2905,5751,2098,7847,17462,7476,24933,28512,15225,43742,21568,22541,44106,75290,48236,123531,684,841,1522,2510,2636,5148,13487,16221,29708,15828,6148,21981,12076,33649,45729,12450,35126,47579,4128,835,4961,4452,8112,12567,65612,103576,169190,1505,86,1586,14702,4664,19358,38824,664,39480,21464,373,21842,18872,545,19417,11722,6102,17826,6817,3294,10113,8537,7813,16350,122439,23538,145977,22,43,67,3586,10399,13982,6030,43863,49898,6681,19497,26172,11310,2588,13894,5386,9789,15176,33014,86178,119190,52,189,240,4069,18646,22716,167,7240,7412,2409,24152,26564,2240,20790,23024,3147,22688,25838,2962,3130,6092,6951,9442,16387,21995,106275,128268,88,106,199,9117,8392,17505,23667,47575,71240,3606,11363,14969,36477,67435,103913,1564,93,1657,21499,2692,24189,10961,553,11515,28076,2663,30745,6032,1359,7393,68122,7371,75491,3134,464,3598,9729,19879,29602,12826,375,13206,9915,5030,14942,12009,4380,16390,7708,8236,15949,13810,5222,19039,69134,43585,112717,5642,2935,8578,3885,3180,7069,501616,492314,993929,Rest of Qld
4RSAU,184,97,282,635,240,869,10026,3230,13259,3415,1809,5230,3081,3233,6313,17338,8611,25947,33,44,75,190,276,467,1341,1439,2786,1952,679,2635,1611,4804,6412,1142,4166,5307,214,46,266,481,1046,1530,6968,12497,19467,223,15,242,1574,547,2126,5994,76,6069,2301,45,2346,2296,43,2343,1406,1191,2592,1371,512,1881,1097,1043,2142,16265,3473,19739,3,8,8,512,2226,2736,766,6862,7623,586,2438,3017,1353,363,1708,407,913,1323,3618,12805,16421,8,17,22,383,1997,2378,14,984,991,265,3121,3392,142,2095,2237,300,3172,3473,429,486,917,811,1016,1829,2349,12887,15237,9,7,15,740,622,1361,3159,6855,10017,455,1702,2163,4362,9193,13557,249,4,255,3799,323,4121,2506,85,2594,4051,309,4359,689,158,842,11290,879,12171,380,75,459,1120,3432,4551,1471,55,1524,3648,1731,5379,4507,1388,5901,930,1473,2399,2452,564,3010,14510,8719,23227,922,407,1327,567,478,1038,78189,69948,148135,Rest of SA
4GADE,1056,477,1531,4722,1561,6282,1901,777,2674,21200,11695,32897,12002,10175,22179,40886,24678,65560,918,985,1903,1858,1547,3404,13609,14053,27664,11212,4876,16087,8355,18374,26728,8600,23918,32515,7667,1585,9249,3778,6495,10273,55994,71830,127823,792,56,848,8094,3057,11149,14054,207,14259,9316,138,9459,8153,188,8341,5859,2883,8746,3374,1662,5033,5210,4447,9660,54858,12634,67496,8,35,49,2499,7895,10397,4697,23468,28166,4297,9505,13807,6684,1689,8369,2851,5418,8269,21050,48011,69061,73,125,197,3606,10563,14170,156,4827,4977,2463,12885,15345,2209,12444,14658,3757,13820,17583,2685,1737,4426,5439,6047,11492,20394,62447,82840,72,69,146,5276,3371,8647,14365,24393,38760,2432,6551,8980,22149,34383,56532,432,31,464,4672,1043,5713,4556,144,4701,12838,494,13338,5672,684,6351,28176,2396,30573,748,99,845,4934,7275,12202,4536,103,4637,8485,4001,12490,2043,605,2645,4926,4854,9783,7538,1830,9367,33207,18764,51970,3245,2093,5344,1690,1432,3116,281645,278672,560314,Greater Adelaide
5GPER,1831,757,2593,8161,2128,10291,1202,530,1733,36198,17772,53973,17102,15754,32851,64492,36949,101440,1393,1591,2986,2379,2368,4745,23632,23803,47434,23318,9059,32375,11256,28608,39866,10364,31827,42188,10665,2225,12889,5220,9201,14423,88225,108686,196907,1656,128,1783,15391,5661,21050,25601,368,25969,18699,318,19022,14427,354,14787,8724,4105,12830,4501,2752,7253,7602,7072,14678,96602,20756,117361,12,48,58,2288,7251,9535,4431,34274,38697,6336,14149,20491,9958,2465,12424,4533,9613,14148,27551,67804,95355,61,171,230,5817,14913,20727,210,7729,7946,3016,18774,21787,2282,18163,20440,4518,22453,26967,3593,3087,6685,8473,9600,18071,27976,94876,122850,88,109,194,8215,6619,14837,18951,34926,53878,3399,10157,13551,30649,51806,82462,850,41,890,9530,1738,11261,6475,397,6880,19468,1486,20956,7622,1651,9274,43946,5310,49257,1223,181,1399,7450,11351,18798,8230,215,8449,5981,3519,9499,2605,1195,3808,6956,6470,13425,11646,3933,15573,44093,26861,70952,5483,3224,8707,2701,2166,4862,431724,418438,850156,Greater Perth
5RWAU,339,181,515,1234,436,1667,9611,3753,13367,7164,3273,10439,4486,4956,9440,22826,12596,35425,98,113,210,368,421,794,2384,2690,5067,6982,1746,8734,2511,7221,9732,2440,6151,8595,451,91,537,807,1749,2553,16045,20177,36219,600,30,631,7117,1490,8605,19521,271,19789,4791,76,4865,7879,185,8058,2401,1545,3948,2016,909,2924,2040,1594,3636,46364,6107,52466,3,19,24,631,2296,2927,990,9095,10086,713,3300,4012,2636,718,3358,686,1809,2492,5658,17238,22905,14,39,48,997,3440,4435,23,1359,1378,399,5130,5527,249,3912,4159,399,4884,5284,529,825,1359,1786,1651,3439,4391,21234,25627,8,16,27,1075,1248,2327,3844,8798,12640,585,2131,2718,5506,12199,17712,588,48,631,14756,1514,16274,3846,239,4088,8917,1643,10557,1471,302,1773,29570,3744,33319,514,112,624,1901,5828,7732,5716,172,5890,2283,1030,3311,3809,1352,5161,1234,1893,3121,4600,1377,5974,20060,11759,31816,2120,713,2839,1032,758,1791,153587,106527,260110,Rest of WA
