gcc_name16,gcc_code16,m_tot_15_19,m_tot_20_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85ov,m_tot_tot,f_ag_for_fshg_15_19,f_ag_for_fshg_20_24,f_ag_for_fshg_25_34,f_ag_for_fshg_35_44,f_ag_for_fshg_45_54,f_ag_for_fshg_55_64,f_ag_for_fshg_65_74,f_ag_for_fshg_75_84,f_ag_for_fshg_85ov,f_ag_for_fshg_tot,f_mining_15_19,f_mining_20_24,f_mining_25_34,f_mining_35_44,f_mining_45_54,f_mining_55_64,f_mining_65_74,f_mining_75_84,f_mining_85ov,f_mining_tot,f_manufact_15_19,f_manufact_20_24,f_manufact_25_34,f_manufact_35_44,f_manufact_45_54,f_manufact_55_64,f_manufact_65_74,f_manufact_75_84,f_manufact_85ov,f_manufact_tot,f_el_gas_wt_waste_15_19,f_el_gas_wt_waste_20_24,f_el_gas_wt_waste_25_34,f_el_gas_wt_waste_35_44,f_el_gas_wt_waste_45_54,f_el_gas_wt_waste_55_64,f_el_gas_wt_waste_65_74,f_el_gas_wt_waste_75_84,f_el_gas_wt_waste_85ov,f_el_gas_wt_waste_tot,f_constru_15_19,f_constru_20_24,f_constru_25_34,f_constru_35_44,f_constru_45_54,f_constru_55_64,f_constru_65_74,f_constru_75_84,f_constru_85ov,f_constru_tot,f_whlesaletde_15_19,f_whlesaletde_20_24,f_whlesaletde_25_34,f_whlesaletde_35_44,f_whlesaletde_45_54,f_whlesaletde_55_64,f_whlesaletde_65_74,f_whlesaletde_75_84,f_whlesaletde_85ov,f_whlesaletde_tot,f_rettde_15_19,f_rettde_20_24,f_rettde_25_34,f_rettde_35_44,f_rettde_45_54,f_rettde_55_64,f_rettde_65_74,f_rettde_75_84,f_rettde_85ov,f_rettde_tot,f_accom_food_15_19,f_accom_food_20_24,f_accom_food_25_34,f_accom_food_35_44,f_accom_food_45_54,f_accom_food_55_64,f_accom_food_65_74,f_accom_food_75_84,f_accom_food_85ov,f_accom_food_tot,f_trans_post_wrehsg_15_19,f_trans_post_wrehsg_20_24,f_trans_post_wrehsg_25_34,f_trans_post_wrehsg_35_44,f_trans_post_wrehsg_45_54,f_trans_post_wrehsg_55_64,f_trans_post_wrehsg_65_74,f_trans_post_wrehsg_75_84,f_trans_post_wrehsg_85ov,f_trans_post_wrehsg_tot,f_info_media_teleco_15_19,f_info_media_teleco_20_24,f_info_media_teleco_25_34,f_info_media_teleco_35_44,f_info_media_teleco_45_54,f_info_media_teleco_55_64,f_info_media_teleco_65_74,f_info_media_teleco_75_84,f_info_media_teleco_85ov,f_info_media_teleco_tot,f_fin_insur_15_19,f_fin_insur_20_24,f_fin_insur_25_34,f_fin_insur_35_44,f_fin_insur_45_54,f_fin_insur_55_64,f_fin_insur_65_74,f_fin_insur_75_84,f_fin_insur_85ov,f_fin_insur_tot,f_rtnhir_rest_15_19,f_rtnhir_rest_20_24,f_rtnhir_rest_25_34,f_rtnhir_rest_35_44,f_rtnhir_rest_45_54,f_rtnhir_rest_55_64,f_rtnhir_rest_65_74,f_rtnhir_rest_75_84,f_rtnhir_rest_85ov,f_rtnhir_rest_tot,f_pro_scien_tec_15_19,f_pro_scien_tec_20_24,f_pro_scien_tec_25_34,f_pro_scien_tec_35_44,f_pro_scien_tec_45_54,f_pro_scien_tec_55_64,f_pro_scien_tec_65_74,f_pro_scien_tec_75_84,f_pro_scien_tec_85ov,f_pro_scien_tec_tot,f_admin_supp_15_19,f_admin_supp_20_24,f_admin_supp_25_34,f_admin_supp_35_44,f_admin_supp_45_54,f_admin_supp_55_64,f_admin_supp_65_74,f_admin_supp_75_84,f_admin_supp_85ov,f_admin_supp_tot,f_public_admin_sfty_15_19,f_public_admin_sfty_20_24,f_public_admin_sfty_25_34,f_public_admin_sfty_35_44,f_public_admin_sfty_45_54,f_public_admin_sfty_55_64,f_public_admin_sfty_65_74,f_public_admin_sfty_75_84,f_public_admin_sfty_85ov,f_public_admin_sfty_tot,f_educ_trng_15_19,f_educ_trng_20_24,f_educ_trng_25_34,f_educ_trng_35_44,f_educ_trng_45_54,f_educ_trng_55_64,f_educ_trng_65_74,f_educ_trng_75_84,f_educ_trng_85ov,f_educ_trng_tot,f_hlthcare_socas_15_19,f_hlthcare_socas_20_24,f_hlthcare_socas_25_34,f_hlthcare_socas_35_44,f_hlthcare_socas_45_54,f_hlthcare_socas_55_64,f_hlthcare_socas_65_74,f_hlthcare_socas_75_84,f_hlthcare_socas_85ov,f_hlthcare_socas_tot,f_art_recn_15_19,f_art_recn_20_24,f_art_recn_25_34,f_art_recn_35_44,f_art_recn_45_54,f_art_recn_55_64,f_art_recn_65_74,f_art_recn_75_84,f_art_recn_85ov,f_art_recn_tot,f_oth_scs_15_19,f_oth_scs_20_24,f_oth_scs_25_34,f_oth_scs_35_44,f_oth_scs_45_54,f_oth_scs_55_64,f_oth_scs_65_74,f_oth_scs_75_84,f_oth_scs_85ov,f_oth_scs_tot
Rest of NSW,1RNSW,31996,50069,109349,115070,126013,103588,29774,5330,829,572026,451,884,2050,2571,3750,3937,3004,912,132,17704,29,228,983,769,628,216,39,4,4,2906,1193,1332,3011,3422,3931,2520,485,52,11,15950,26,111,417,692,767,384,48,0,0,2441,207,607,2036,2731,2873,1917,390,50,3,10824,239,511,1236,1411,1611,1058,250,34,3,6341,10620,8915,11665,11410,13575,9771,1903,162,31,68052,13096,8606,8474,6904,7691,5636,1190,79,12,51679,179,516,1318,1944,2670,2052,566,60,3,9302,319,525,884,887,848,574,132,11,0,4175,202,1071,3680,3533,3551,1944,247,26,6,14255,288,910,1731,1833,1938,1338,383,43,3,8479,518,1920,5572,6416,5824,3927,1047,102,12,25337,384,1208,3399,4406,5617,4088,932,100,12,20149,287,1492,6918,9677,9940,5652,729,45,11,34749,1073,3858,13003,17322,19450,14998,2325,164,19,72211,2107,8999,23680,25674,33116,28481,4334,207,36,126632,677,834,1133,1252,1289,889,275,20,3,6373,1095,2245,4195,4106,4043,2601,652,67,13,19017
Greater Sydney,1GSYD,45892,109120,301533,284869,244549,166319,46144,5751,758,1204929,98,274,610,757,1004,723,308,64,8,3849,7,42,268,305,225,97,22,5,0,960,1165,2377,8713,10619,11238,6929,1131,94,19,42284,26,166,982,1282,1061,492,65,0,0,4086,396,1766,6581,7134,6036,3202,714,83,9,25919,410,1962,8155,8699,7385,4075,796,63,15,31554,13925,20480,26030,19959,19423,12547,2812,244,24,115446,17647,14945,17757,9693,8931,5352,965,97,22,75406,386,1828,6321,6964,7121,4296,655,31,4,27617,764,2414,8335,6967,4368,1984,411,38,3,25278,469,4347,21526,20709,13747,6176,1022,84,35,68124,585,2239,5917,4934,4160,2377,794,136,15,21148,1195,9175,31687,25358,18243,9912,2808,232,25,98641,575,3554,11272,9680,9237,5808,1397,126,3,41644,495,2685,12963,15292,14182,8883,1509,78,13,56098,3215,9575,28227,28623,30215,23008,4898,378,34,128168,3433,16438,48409,43466,45885,34858,8122,529,35,201185,1643,2662,4497,3625,2888,1628,504,81,12,17531,1776,4122,9795,8534,7673,4591,1087,101,5,37679
Rest of Vic.,2RVIC,17688,28046,59550,62778,70488,61117,18334,3308,602,321909,351,650,1668,2235,2932,3217,2180,618,72,13922,7,32,106,127,124,78,12,0,0,487,1084,1157,2197,2499,3073,2210,368,26,4,12616,25,113,443,509,483,241,19,4,0,1834,100,298,1077,1410,1544,963,180,26,3,5601,156,343,683,782,976,627,123,9,0,3707,6083,5021,6408,6309,7938,5675,1010,77,18,38536,6860,4404,3947,3529,3934,2865,662,41,27,26265,87,297,695,974,1472,1141,277,29,9,4980,193,315,592,582,547,379,95,6,4,2703,67,530,1763,1836,1786,921,135,15,3,7045,111,386,818,818,822,560,160,18,5,3688,246,941,2809,3233,3057,2030,560,46,10,12926,165,558,1569,2066,2654,2044,473,51,13,9596,155,838,3398,4636,5226,3572,629,36,16,18508,570,1941,7040,8927,10612,8016,1215,60,23,38407,884,4997,13711,14407,19017,16792,2580,118,36,72544,479,571,784,895,867,614,208,16,3,4444,460,1265,2220,1971,2073,1448,385,29,11,9863
Greater Melbourne,2GMEL,41591,102768,284146,259809,228358,152859,41533,5108,766,1116953,118,385,933,1043,1228,850,376,95,17,5043,4,27,283,394,253,119,19,3,0,1110,2114,2977,9774,11898,12706,7455,1323,107,7,48359,31,364,2268,1980,1280,554,70,3,0,6565,253,1444,5467,5740,5376,2765,617,53,7,21721,469,2044,6837,7288,6883,3554,674,50,9,27799,14673,23034,26410,19360,20111,12316,2523,194,16,118649,17098,15759,15858,8431,7596,4234,744,80,10,69810,275,1758,6196,6378,6485,3633,569,37,5,25339,655,1655,5504,4580,3180,1482,258,12,5,17330,217,2782,14778,13269,9350,4271,781,57,24,45526,368,1940,5447,4058,3476,1939,601,72,19,17920,628,6579,27260,22096,16150,8418,2274,180,27,83612,436,3228,10354,8558,8540,5377,1259,122,18,37883,288,2217,12155,14102,13633,8373,1552,121,15,52464,2402,7947,29524,29339,31350,22122,3948,253,50,126931,1815,14401,50962,44519,45767,33394,6809,404,56,198110,2017,3326,5158,3954,3217,1757,536,56,17,20035,1161,3993,9611,7614,7345,4151,997,78,11,34955
Greater Brisbane,3GBRI,27885,56631,132753,127344,115741,76389,18907,2116,253,558022,133,386,805,734,816,630,284,77,3,3868,15,124,1081,989,553,230,26,0,3,3010,891,1423,3977,4590,5068,2836,514,35,0,19340,32,127,770,989,728,353,35,4,0,3044,298,942,2974,3206,2976,1666,330,21,0,12411,282,836,2407,2577,2636,1363,258,24,0,10394,9205,10881,11653,8953,9289,6030,1229,68,3,57300,12084,8190,7876,4092,3571,2059,401,27,9,38312,231,1068,3476,3718,3797,2206,425,27,3,14956,400,821,1591,1294,1061,602,108,9,0,5885,186,1316,5755,5413,3972,1944,269,29,8,18886,359,1265,2772,2304,2336,1484,454,65,12,11045,767,4165,11026,9834,7206,3751,898,70,6,37721,434,1891,5115,4634,4346,2843,627,45,10,19945,284,1758,8310,10300,9278,5002,633,22,3,35601,1491,4345,13634,17716,19043,12014,2014,117,11,70388,2256,9890,26038,24437,25605,17953,3176,135,6,109488,874,1191,1828,1581,1301,788,266,31,3,7856,1079,2448,5098,4153,3880,2224,538,38,5,19460
Rest of Qld,3RQLD,31274,48863,111876,116529,120785,90768,25772,3839,480,550177,527,1189,2645,2701,3324,3160,1938,515,57,16052,72,415,1581,1238,1027,416,48,3,0,4796,1027,1095,2623,3142,3632,2368,496,44,9,14433,31,129,617,665,582,320,33,3,0,2379,273,759,2764,3372,3467,2136,457,31,3,13278,304,607,1581,1874,1980,1129,260,17,3,7755,10828,8851,11261,11192,12997,8817,1944,125,19,66036,12207,7899,9760,7488,7273,4734,989,81,10,50440,232,693,2199,2488,3185,2064,539,71,8,11466,354,645,979,896,901,520,122,11,4,4423,224,985,3057,2918,2796,1527,253,29,4,11787,406,1050,2181,2348,2652,2016,637,81,11,11372,676,2215,5820,6398,5424,3360,944,62,6,24899,492,1470,4082,4653,5399,3759,842,80,9,20779,335,1548,5792,7180,7201,4182,561,43,3,26844,1108,3665,12482,18161,19532,12472,1930,138,9,69510,2117,8006,21398,22841,27879,21724,3623,171,17,107777,891,1138,1763,1734,1632,1001,266,34,3,8473,1181,2215,4640,4411,4076,2539,634,46,4,19746
Rest of SA,4RSAU,4219,6626,14877,15815,19339,17111,5250,982,179,84403,132,283,719,1007,1336,1390,846,234,23,5968,3,38,160,110,125,70,7,3,0,516,274,298,667,855,970,650,123,16,8,3863,6,9,40,47,66,46,9,0,0,228,34,59,240,315,382,280,63,11,0,1392,51,98,244,263,305,195,34,4,0,1199,1473,1070,1592,1769,2282,1564,288,23,5,10061,1504,909,1083,1028,1293,920,196,18,6,6947,21,84,159,264,450,348,113,16,0,1451,32,69,107,88,82,77,17,3,0,474,30,101,337,345,341,205,29,4,0,1395,26,69,161,210,248,171,42,6,0,941,47,178,514,518,545,407,111,11,0,2339,55,156,491,551,863,642,149,12,0,2917,44,160,675,996,1076,652,105,9,3,3711,96,485,1748,2173,2363,1973,373,17,8,9224,235,1062,2619,2954,4539,4241,602,16,8,16278,56,84,115,132,144,109,41,7,0,684,108,224,456,524,540,351,98,15,3,2311
Greater Adelaide,4GADE,12855,28054,67781,66088,65845,48014,12338,1472,192,302646,60,148,320,450,544,398,210,42,10,2182,3,33,278,240,198,82,22,0,0,859,646,850,2206,2608,3070,1927,373,25,9,11713,5,98,595,534,450,212,23,3,0,1918,119,461,1254,1330,1472,949,262,22,4,5881,99,332,1033,1178,1333,781,176,10,0,4952,5492,6490,6689,5110,6209,3989,826,60,5,34867,5847,4898,4199,2444,2212,1299,281,20,4,21201,66,353,1044,1103,1303,810,156,17,0,4841,191,363,967,706,548,373,110,8,0,3265,74,590,2708,2829,2664,1451,217,15,5,10553,94,390,971,862,965,685,221,29,3,4219,202,1275,4376,4351,3607,2264,590,47,0,16710,159,786,2471,2439,2928,2024,477,32,7,11323,85,817,4638,5746,5620,3691,453,18,4,21059,566,2104,7101,8248,9267,7323,1351,89,8,36065,732,5063,15770,15036,17574,14029,2337,104,14,70657,459,672,896,809,756,502,153,23,0,4273,414,1239,2619,2212,2365,1604,402,33,0,10883
Greater Perth,5GPER,21735,45064,119509,109226,101374,69139,18888,2221,234,487403,74,209,521,517,626,464,234,47,3,2690,42,516,3474,2702,1901,732,86,4,3,9455,839,1056,2984,3142,3214,1978,345,32,3,13596,5,138,896,809,683,344,41,3,4,2924,221,1006,3847,3475,3002,1703,346,25,0,13630,169,683,1950,1792,1954,1169,236,20,0,7978,8017,9450,10205,8193,9272,5965,1245,89,4,52442,8565,6610,7390,3870,3260,1899,334,36,3,31962,202,877,2427,2231,2400,1598,311,23,0,10064,304,510,1028,769,644,413,126,17,0,3799,104,929,3946,3382,3048,1648,264,29,4,13358,187,863,2199,1875,1994,1386,447,55,3,9019,339,2303,8660,7184,5832,3152,847,70,9,28398,279,1349,4087,3695,3524,2349,553,46,3,15880,213,1403,6424,6767,7212,4813,778,30,6,27651,1061,3275,10723,14064,16557,11283,2059,130,17,59167,1328,7435,21565,19437,20706,16188,3284,166,18,90131,825,1226,1878,1533,1315,840,243,26,3,7885,912,2144,4878,3526,3482,2028,464,47,8,17486
Rest of WA,5RWAU,5893,9255,27139,28264,29539,22642,6731,1143,153,130758,137,294,859,1071,1359,1331,853,209,23,6134,32,269,1340,977,838,331,37,3,0,3822,231,215,709,665,631,431,88,9,0,2979,4,30,132,120,141,74,4,0,0,506,45,181,678,694,708,453,89,9,0,2861,56,133,300,285,335,167,37,9,0,1330,2182,1246,2219,2375,2917,1960,329,29,3,13251,1608,1102,2007,1602,1704,1160,261,25,4,9471,49,189,491,577,744,596,158,9,5,2827,65,82,135,123,125,78,22,0,0,631,56,154,530,417,423,212,26,4,0,1821,68,233,374,405,440,286,84,12,0,1894,90,239,824,956,873,604,157,17,0,3760,93,280,789,915,1084,749,171,21,3,4106,119,346,1355,1652,1682,1125,173,12,0,6459,159,648,2596,4032,4386,2961,449,37,5,15281,383,1145,3389,3975,4697,4286,742,42,8,18659,111,117,292,310,287,234,52,7,0,1398,254,444,873,854,812,519,115,12,0,3887
