gcc_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,25216,22991,48208,77966,73469,151429,22609,22205,44817,10196,9668,19862,110768,105338,216110,52610,50937,103545,18496,19142,37640,10734,10915,21648,81832,80997,162834,2930,3732,6662,1999,4269,6268,9540,6296,15832,7632,14259,21895,286,270,551,22383,28828,51211,15199,20324,35523,6512,8944,15457,2430,3911,6346,8209,16530,24742,134,188,313,32485,49900,82383,1652,2003,3656,2945,6546,9490,122,181,301,4720,8726,13445,110521,107165,217691,6193,7537,13728,394117,411489,805603,Rest of NSW
1GSYD,43780,39929,83711,137332,128510,265838,38867,38419,77287,24633,23188,47824,200831,190119,390950,83713,81947,165657,40850,39220,80074,29634,28559,58196,154199,149729,303927,7714,7995,15707,7418,12342,19759,14403,6897,21293,13545,21680,35227,444,445,886,43520,49365,92885,76297,86060,162358,27147,29425,56565,9088,10018,19104,22196,32300,54493,576,708,1284,135303,158510,293812,9100,11472,20573,10567,18437,29007,262,396,654,19934,30304,50237,159549,156762,316309,36364,45483,81846,793476,820204,1613681,Greater Sydney
2RVIC,11472,10493,21963,39890,37021,76909,14136,13809,27938,5176,5097,10271,59199,55924,115123,26180,24928,51103,12208,12730,24941,7030,7004,14031,45420,44659,90081,2153,2424,4579,955,2059,3010,3979,2435,6419,3131,5275,8402,118,115,234,10333,12305,22636,6868,10440,17301,2502,4256,6766,946,1675,2622,3273,7491,10765,51,118,171,13645,23977,37624,1466,1601,3074,2061,4201,6267,97,114,204,3625,5918,9542,59658,58450,118108,3501,4212,7717,206853,215938,422795,Rest of Vic.
2GMEL,37765,34968,72728,122603,113709,236309,37634,37019,74647,20515,21252,41764,180744,171973,352722,77355,72651,150006,31460,32686,64144,29531,30514,60042,138345,135844,274188,10870,10001,20863,7293,10447,17736,10787,4980,15768,11234,14688,25922,391,308,694,40574,40422,80993,78521,89543,168061,26744,30071,56815,6351,7999,14351,18230,28783,47009,478,640,1117,130314,157040,287354,8594,10300,18895,10582,19763,30342,279,407,683,19447,30470,49919,140390,145623,286007,27943,37432,65378,715520,753772,1469286,Greater Melbourne
3GBRI,14950,13722,28672,69722,65377,135096,18234,17824,36057,11528,11585,23110,99484,94787,194268,41930,39655,81588,16653,15711,32358,15480,15386,30871,74064,70755,144818,3967,4548,8510,3175,5943,9120,4043,3352,7395,5354,9584,14933,131,165,294,16670,23586,40255,32216,39150,71368,11845,14254,26097,3317,4507,7825,10460,16570,27027,164,228,392,58001,74705,132710,3319,4313,7631,4176,8043,12222,123,142,264,7623,12498,20123,71034,71254,142291,12921,17236,30161,354750,378543,733291,Greater Brisbane
3RQLD,14680,13634,28316,73672,68335,142004,18849,19104,37952,13692,13397,27092,106213,100836,207048,48470,46070,94544,15651,15026,30675,14135,14031,28166,78259,75129,153386,2370,2934,5309,1994,4453,6446,4376,4095,8472,5231,10947,16181,177,186,361,14159,22610,36771,13756,20178,33940,6268,10122,16391,2252,4031,6280,7585,15839,23421,133,210,344,30002,50379,80381,2251,3019,5270,3794,8061,11856,148,162,312,6194,11244,17436,117633,109631,227266,23979,29416,53393,391113,412879,803992,Rest of Qld
4RSAU,2259,2072,4334,12576,11515,24097,2205,2057,4265,2264,2200,4461,17049,15774,32820,7753,7508,15265,1128,1156,2288,1290,1434,2720,10180,10096,20271,289,394,679,218,611,823,778,715,1489,870,1664,2536,31,32,61,2182,3412,5595,523,1156,1681,287,685,977,115,240,356,579,1419,2002,7,25,35,1513,3529,5045,228,272,499,355,839,1196,17,13,29,594,1132,1724,17353,14726,32078,1252,1189,2443,52384,51921,104308,Rest of SA
4GADE,8124,7793,15919,36337,33892,70229,11025,10849,21877,9041,9016,18057,56402,53761,110164,19265,18122,37390,8451,8706,17158,9266,9046,18314,36987,35877,72864,2365,2361,4723,2219,3554,5773,2574,1983,4560,3979,6458,10429,95,92,190,11227,14446,25671,18302,21769,40069,7286,8423,15709,1769,2237,4006,5108,8411,13520,96,165,266,32563,41008,73571,1565,1961,3527,2188,3854,6038,68,84,155,3826,5901,9727,34241,35836,70083,5054,6840,11901,188430,201461,389898,Greater Adelaide
5GPER,12190,11560,23756,57940,53563,111508,14681,14472,29152,11688,11660,23347,84301,79691,164000,34337,32332,66668,14205,14290,28500,15204,15257,30455,63744,61879,125626,4774,4219,8986,3449,5141,8584,4699,2706,7396,4817,7831,12653,170,142,314,17908,20036,37940,24198,27696,51895,9029,10932,19964,2913,3851,6767,7651,12455,20110,160,243,407,43956,55177,99132,2629,3013,5645,3446,6576,10020,101,116,220,6174,9707,15879,65295,64117,129412,10026,13844,23867,303602,316007,619605,Greater Perth
5RWAU,3461,3057,6515,17207,16381,33593,3868,3876,7751,2346,2332,4683,23431,22596,46023,11133,10373,21507,2699,2833,5534,2141,2161,4301,15974,15364,31335,633,671,1304,311,671,974,1268,971,2244,1491,2796,4284,52,54,108,3744,5164,8910,479,990,1469,490,1023,1516,164,380,548,1351,2604,3954,22,24,45,2498,5025,7526,364,418,780,627,1189,1812,33,27,56,1019,1629,2650,41127,28212,69339,3464,3449,6917,94727,84495,179225,Rest of WA
