gccsa_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,gcc_name16
1GSYD,2457303,40,145411045394,43210,59175,5.16,1.9,0.37,0.17,0.505,12.0,25.9,36.8,23.4,23.9,24.7,28.0,Greater Sydney
1RNSW,1310695,45,60074017699,36984,45834,5.77,1.92,0.33,0.13,0.48100000000000004,7.5,20.2,31.5,28.0,26.9,23.7,21.4,Rest of NSW
2GMEL,2244406,40,122811440989,42124,54719,4.96,1.85,0.37,0.17,0.48200000000000004,10.2,23.5,34.3,23.7,24.7,25.9,25.7,Greater Melbourne
2RVIC,731742,44,32078487733,36339,43839,5.52,1.84,0.33,0.13,0.47100000000000003,7.3,19.8,30.9,28.5,27.4,25.1,19.1,Rest of Vic.
3GBRI,1166181,40,61516358316,42332,52750,4.88,1.81,0.37,0.16,0.467,8.9,21.8,32.4,23.6,24.5,26.7,25.1,Greater Brisbane
3RQLD,1230242,42,57583584464,37690,46807,5.37,1.9,0.35,0.14,0.479,7.6,20.3,31.7,26.8,27.1,24.4,21.7,Rest of Qld
4GADE,681965,42,33955989863,40899,49791,4.61,1.77,0.38,0.17,0.45399999999999996,8.5,21.0,31.4,23.7,26.1,27.8,22.4,Greater Adelaide
4RSAU,192953,45,8503609865,36507,44071,5.42,1.84,0.34,0.13,0.47200000000000003,6.9,19.8,31.0,27.9,27.7,25.1,19.3,Rest of SA
5GPER,1022426,40,61239336327,45410,59896,5.2,1.89,0.36,0.17,0.488,9.6,23.1,34.3,22.6,22.7,24.1,30.6,Greater Perth
5RWAU,267867,42,14332877399,41751,53507,5.86,2.04,0.35,0.14,0.488,6.5,19.2,31.1,25.0,24.0,21.8,29.2,Rest of WA
6GHOB,117056,43,5607014092,39971,47900,4.61,1.77,0.38,0.17,0.446,8.0,20.0,30.3,24.1,26.9,27.5,21.5,Greater Hobart
6RTAS,147788,44,6264148863,36297,42386,5.1,1.77,0.35,0.14,0.45399999999999996,7.0,19.0,29.7,27.8,28.6,26.1,17.5,Rest of Tas.
7GDAR,73804,38,4211436988,50436,57062,3.65,1.63,0.45,0.23,0.39799999999999996,5.9,17.1,27.2,16.8,21.8,30.6,30.8,Greater Darwin
7RNTE,30697,39,1591861175,45732,51857,4.4,1.73,0.39,0.19,0.42,5.5,16.6,27.0,21.0,23.2,27.8,27.9,Rest of NT
8ACTE,222823,40,14027709927,54513,62954,4.14,1.68,0.4,0.19,0.42100000000000004,6.6,18.4,28.7,17.6,19.5,26.0,36.8,Australian Capital Territory
9OTER,929,46,56964133,60222,61318,3.81,1.52,0.4,0.16,0.384,5.0,14.9,24.4,17.4,16.6,24.7,41.3,Other Territories
