gcc_code16,m_vietnam_om_uie,m_vietnam_cfw,m_vietnam_es_ns,m_vietnam_tot,m_zimbabwe_e,m_zimbabwe_om_ie,m_zimbabwe_om_uie,m_zimbabwe_cfw,m_zimbabwe_es_ns,m_zimbabwe_tot,m_elsewhere_e,m_elsewhere_om_ie,m_elsewhere_om_uie,m_elsewhere_cfw,m_elsewhere_es_ns,m_elsewhere_tot,m_cob_ns_e,m_cob_ns_om_ie,m_cob_ns_om_uie,m_cob_ns_cfw,m_cob_ns_es_ns,m_cob_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_australia_e,f_australia_om_ie,f_australia_om_uie,f_australia_cfw,f_australia_es_ns,f_australia_tot,f_canada_e,f_canada_om_ie,f_canada_om_uie,f_canada_cfw,f_canada_es_ns,f_canada_tot,f_china_e,f_china_om_ie,f_china_om_uie,f_china_cfw,f_china_es_ns,f_china_tot,f_croatia_e,f_croatia_om_ie,f_croatia_om_uie,f_croatia_cfw,f_croatia_es_ns,f_croatia_tot,f_egypt_e,f_egypt_om_ie,f_egypt_om_uie,f_egypt_cfw,f_egypt_es_ns,f_egypt_tot,f_fiji_e,f_fiji_om_ie,f_fiji_om_uie,f_fiji_cfw,f_fiji_es_ns,f_fiji_tot,f_fyrom_e,f_fyrom_om_ie,f_fyrom_om_uie,f_fyrom_cfw,f_fyrom_es_ns,f_fyrom_tot,f_germany_e,f_germany_om_ie,f_germany_om_uie,f_germany_cfw,f_germany_es_ns,f_germany_tot,f_greece_e,f_greece_om_ie,f_greece_om_uie,f_greece_cfw,f_greece_es_ns,f_greece_tot,f_hongkong_e,f_hongkong_om_ie,f_hongkong_om_uie,f_hongkong_cfw,f_hongkong_es_ns,f_hongkong_tot,f_india_e,f_india_om_ie,f_india_om_uie,f_india_cfw,f_india_es_ns,f_india_tot,f_indonesia_e,f_indonesia_om_ie,f_indonesia_om_uie,f_indonesia_cfw,f_indonesia_es_ns,f_indonesia_tot,f_iran_e,f_iran_om_ie,f_iran_om_uie,f_iran_cfw,f_iran_es_ns,f_iran_tot,f_iraq_e,f_iraq_om_ie,f_iraq_om_uie,f_iraq_cfw,f_iraq_es_ns,f_iraq_tot,f_ireland_e,f_ireland_om_ie,f_ireland_om_uie,f_ireland_cfw,f_ireland_es_ns,f_ireland_tot,f_italy_e,f_italy_om_ie,f_italy_om_uie,f_italy_cfw,f_italy_es_ns,f_italy_tot,f_japan_e,f_japan_om_ie,f_japan_om_uie,f_japan_cfw,f_japan_es_ns,f_japan_tot,f_koreasouth_e,f_koreasouth_om_ie,f_koreasouth_om_uie,f_koreasouth_cfw,f_koreasouth_es_ns,f_koreasouth_tot,f_lebanon_e,f_lebanon_om_ie,f_lebanon_om_uie,f_lebanon_cfw,f_lebanon_es_ns,f_lebanon_tot,f_malaysia_e,f_malaysia_om_ie,f_malaysia_om_uie,f_malaysia_cfw,f_malaysia_es_ns,f_malaysia_tot,f_malta_e,f_malta_om_ie,f_malta_om_uie,f_malta_cfw,f_malta_es_ns,f_malta_tot,f_netherlands_e,f_netherlands_om_ie,f_netherlands_om_uie,f_netherlands_cfw,f_netherlands_es_ns,f_netherlands_tot,f_nz_e,f_nz_om_ie,f_nz_om_uie,f_nz_cfw,f_nz_es_ns,f_nz_tot,f_pakistan_e,f_pakistan_om_ie,f_pakistan_om_uie,f_pakistan_cfw,f_pakistan_es_ns,f_pakistan_tot,f_philippines_e,f_philippines_om_ie,f_philippines_om_uie,f_philippines_cfw,f_philippines_es_ns,f_philippines_tot,f_poland_e,f_poland_om_ie,f_poland_om_uie,f_poland_cfw,f_poland_es_ns,f_poland_tot,f_singapore_e,f_singapore_om_ie,f_singapore_om_uie,f_singapore_cfw,f_singapore_es_ns,f_singapore_tot,f_sthafrica_e,f_sthafrica_om_ie,f_sthafrica_om_uie,f_sthafrica_cfw,f_sthafrica_es_ns,f_sthafrica_tot,f_srilanka_e,f_srilanka_om_ie,f_srilanka_om_uie,f_srilanka_cfw,gcc_name16
1RNSW,160,27,7,772,467,38,42,7,4,549,7713,773,997,213,130,9820,6399,700,1283,414,558,9356,389597,40585,55172,13325,7036,505708,369898,15716,30209,10589,4562,430976,933,57,94,24,12,1118,1515,174,299,109,18,2118,217,17,26,0,0,260,121,30,10,0,3,164,521,21,22,18,10,594,618,29,39,15,10,709,1215,91,181,63,18,1570,131,13,21,12,0,186,339,45,82,8,3,483,2683,185,145,92,33,3134,355,16,40,6,3,422,204,15,11,3,0,235,65,18,9,0,3,98,748,36,77,16,14,883,556,55,84,41,8,752,353,23,66,12,0,451,531,37,38,14,11,630,113,9,26,5,3,159,708,51,89,17,9,872,127,14,23,12,0,179,612,46,129,43,16,844,6226,338,658,177,73,7462,124,28,16,6,3,169,3441,71,148,61,60,3783,281,22,43,11,8,356,263,19,32,10,4,319,1600,123,201,60,11,1995,433,39,25,7,Rest of NSW
1GSYD,1894,363,256,21098,1540,149,75,14,6,1791,84028,7899,7132,887,1095,101046,8408,1114,998,160,791,11474,939117,112606,79658,10686,10705,1152769,548462,24274,28952,5708,4108,611500,2976,168,196,34,12,3391,43748,4111,3172,1224,305,52561,1912,108,108,26,30,2181,2387,257,207,38,33,2925,9371,196,171,78,109,9932,2223,85,75,16,28,2432,3672,257,346,70,22,4354,1867,153,220,52,38,2324,10177,472,519,109,50,11325,30033,1082,823,242,177,32359,8592,234,292,79,75,9277,3781,202,238,55,32,4316,3063,216,361,43,63,3751,5535,226,209,33,36,6036,4069,323,306,126,65,4884,3838,161,334,61,37,4430,9347,990,1208,348,107,11993,5126,553,700,187,107,6677,7693,379,396,75,44,8591,1005,75,116,41,29,1262,1446,103,131,29,7,1721,23022,1059,1160,229,224,25697,1986,144,213,41,37,2428,27185,363,480,135,186,28352,2779,147,235,38,19,3217,2749,120,151,26,26,3070,9679,709,872,109,62,11434,6055,247,297,55,Greater Sydney
2RVIC,65,18,11,461,190,17,17,3,3,223,4192,366,390,121,91,5161,3952,567,811,298,338,5975,212244,25867,31399,8844,4250,282606,209284,9914,16449,6770,2818,245231,360,14,26,19,3,420,923,156,111,74,13,1282,181,9,22,10,8,234,69,5,0,0,0,75,193,3,4,0,0,208,97,11,7,7,0,121,589,47,98,42,12,782,80,17,30,8,7,145,189,9,19,4,3,227,2030,118,72,40,30,2298,192,13,10,9,4,236,111,5,10,0,0,126,48,5,3,0,3,67,421,11,28,10,5,474,383,45,60,44,15,551,158,9,28,0,0,198,155,10,8,7,0,174,32,3,9,0,0,48,555,37,30,12,6,645,93,6,8,3,5,122,529,62,90,43,13,743,2990,173,276,101,40,3579,73,17,6,0,4,101,1908,27,52,32,32,2054,143,9,14,3,0,173,159,15,16,8,0,194,683,31,63,23,3,799,369,20,32,6,Rest of Vic.
2GMEL,1540,376,231,20439,1299,94,59,13,6,1476,59162,6118,5418,848,956,72500,9045,1266,1009,177,858,12355,866482,102668,71697,11120,10619,1062579,566691,24134,29423,6675,4264,631189,2429,107,155,26,18,2736,25852,3539,1945,1605,170,33106,1899,124,103,29,24,2182,1593,152,108,41,24,1923,2969,88,59,37,27,3175,2639,135,93,42,44,2955,3214,223,294,54,52,3841,3232,261,281,89,63,3929,5119,252,267,66,23,5728,35630,1119,1059,375,268,38450,4305,145,209,63,34,4748,2144,124,140,42,28,2469,1251,104,188,36,22,1597,3561,112,128,30,31,3865,5036,411,389,162,124,6116,2420,106,184,29,21,2759,3000,178,228,77,38,3518,1377,185,300,75,38,1974,11938,597,577,144,69,13329,1405,87,82,45,28,1649,1514,115,161,40,23,1849,21299,758,1069,189,195,23506,1459,108,235,31,16,1842,15830,191,267,75,125,16494,2652,185,269,52,25,3180,3519,155,188,25,15,3904,6706,320,460,92,29,7604,12189,409,757,156,Greater Melbourne
3GBRI,618,114,51,4022,1500,179,81,15,8,1786,23719,2266,1989,347,281,28604,3780,356,365,78,279,4855,441403,42830,33883,5396,4037,527553,319340,12761,15913,3949,2020,353986,1504,76,105,15,6,1708,6684,720,515,284,41,8244,324,25,24,11,0,387,140,18,10,9,0,178,2627,108,101,44,27,2917,162,6,3,4,0,173,1734,109,160,31,17,2045,156,13,12,10,0,194,1811,109,110,25,5,2065,7452,330,233,104,68,8184,1036,44,57,25,7,1167,753,43,42,18,5,859,113,7,17,0,3,137,1665,62,65,20,9,1825,664,51,46,31,17,808,1549,59,110,23,14,1756,2471,180,249,70,33,2999,109,18,12,3,0,142,2652,154,130,27,11,2977,104,12,14,8,4,135,876,57,89,18,12,1045,27782,911,1254,280,287,30519,257,37,21,8,0,325,7442,122,194,51,51,7861,712,41,56,9,3,825,1050,56,74,17,8,1201,6249,320,376,71,27,7045,1453,73,126,12,Greater Brisbane
3RQLD,84,33,16,812,1135,163,103,12,11,1423,11981,1246,1288,262,202,14987,5232,584,751,302,363,7239,394667,44522,45306,11446,5678,501616,326065,17002,24107,9619,3351,380139,1476,98,133,33,16,1749,2026,316,235,141,25,2741,199,22,23,3,7,257,92,19,9,0,3,129,778,46,26,15,10,879,55,0,6,4,0,66,1706,147,254,73,20,2208,78,10,18,9,4,123,563,58,49,21,5,701,2927,192,108,62,42,3322,581,32,32,23,15,676,214,19,27,10,0,273,52,3,3,0,0,61,923,54,64,25,11,1075,555,44,87,49,15,751,2261,149,209,66,26,2708,1271,109,124,44,13,1557,48,4,7,4,0,62,1027,81,75,16,12,1217,101,9,19,16,3,149,824,91,126,39,14,1085,22401,1304,1775,488,238,26206,109,24,3,3,0,143,6324,133,248,71,78,6861,370,28,59,7,13,479,447,30,37,17,4,529,4213,327,373,112,33,5062,460,30,42,4,Rest of Qld
4RSAU,18,8,3,153,78,7,5,0,0,90,1123,68,102,25,50,1359,1100,122,220,96,96,1633,57108,5926,10441,3456,1260,78189,49827,2419,5041,2352,780,60426,68,7,6,6,0,88,228,12,3,10,3,259,22,3,3,3,0,28,3,3,0,0,0,9,38,0,0,0,0,41,3,0,0,0,0,3,172,20,24,14,0,237,30,5,18,8,0,62,34,0,4,0,0,36,276,31,16,23,3,343,42,0,3,0,3,46,7,3,0,0,0,11,3,0,0,0,0,5,69,0,7,0,0,74,62,9,16,6,4,99,27,0,3,0,0,31,58,3,3,3,0,61,5,0,3,0,0,5,96,11,4,3,0,114,4,0,0,0,0,11,116,13,40,17,3,192,572,27,54,20,14,689,18,0,3,0,0,23,663,7,19,11,15,718,27,0,0,0,0,33,21,4,0,0,0,25,222,3,18,6,4,252,54,0,0,0,Rest of SA
4GADE,582,144,42,3260,322,12,22,0,3,365,10312,807,1084,187,184,12576,2325,236,317,40,187,3101,232221,20735,22988,3034,2669,281645,185884,5802,9622,2038,1446,204788,518,29,45,8,5,601,3854,345,251,225,28,4694,325,21,30,3,8,391,123,9,15,0,0,150,297,12,7,3,3,323,50,4,3,3,0,56,1064,51,109,27,9,1257,508,41,58,26,13,650,658,32,27,6,9,725,5782,129,166,49,58,6185,400,10,32,0,7,448,574,29,36,8,3,651,113,10,20,4,5,140,549,17,34,3,10,608,1269,108,149,63,11,1600,425,14,30,3,4,466,712,47,70,46,12,890,171,22,31,8,0,237,1832,73,104,34,7,2059,109,0,8,6,3,130,567,27,60,18,12,686,2466,81,160,29,25,2749,197,15,25,3,0,237,3426,32,77,20,25,3583,960,38,62,17,12,1090,527,25,34,16,0,603,1533,43,102,12,7,1693,704,18,40,3,Greater Adelaide
5GPER,685,148,58,4090,2566,287,188,32,15,3094,23220,1847,2069,312,297,27743,3172,307,394,54,235,4164,354339,35841,33606,4484,3460,431724,214231,8731,12139,3012,1399,239509,1335,52,97,16,3,1505,5156,454,402,220,43,6279,653,31,71,16,16,786,207,24,23,5,3,265,241,4,10,0,3,264,610,27,33,8,3,682,1785,96,179,44,11,2116,164,16,15,7,3,203,1397,61,94,16,12,1590,9601,317,362,102,62,10443,2618,131,125,47,11,2931,980,42,73,14,5,1114,215,10,19,6,5,248,4331,131,160,42,25,4682,1668,155,150,57,27,2048,1184,48,110,18,7,1366,1262,122,96,45,13,1545,108,15,13,3,3,140,6882,312,396,116,39,7752,107,6,7,3,0,121,885,50,104,29,12,1080,14741,436,724,165,125,16193,401,11,23,5,4,445,6765,74,136,43,50,7071,1156,62,141,22,10,1391,3464,177,162,52,16,3871,9069,409,615,145,53,10293,1418,45,88,20,Greater Perth
5RWAU,61,24,8,282,1037,39,29,9,0,1115,3852,168,193,47,51,4316,1802,191,314,118,132,2557,126918,8936,12183,3778,1768,153587,65960,3332,5718,2740,815,78563,281,12,28,12,3,332,277,20,30,13,3,342,44,3,6,5,3,62,13,0,0,0,0,16,88,3,3,0,0,94,16,0,3,3,0,19,496,22,66,22,11,615,17,3,3,0,0,23,98,5,3,6,3,114,601,22,22,9,4,659,228,6,21,15,8,271,30,4,3,0,0,41,13,0,0,0,0,13,527,14,22,12,3,586,158,14,21,25,7,227,111,3,8,0,3,131,163,0,8,0,3,170,6,3,0,0,0,10,273,12,18,10,0,314,18,0,0,0,0,20,242,11,43,10,5,312,4876,139,249,93,61,5420,34,0,3,0,0,34,1853,14,42,25,37,1964,80,10,8,3,0,94,158,7,5,4,0,178,1494,61,108,31,9,1706,94,8,3,0,Rest of WA
