gcc_code16,ss_ns_none_mng,ss_ns_none_pro,ss_ns_none_tectw,ss_ns_none_copsw,ss_ns_none_claw,ss_ns_none_swks,ss_ns_none_maopdv,ss_ns_none_lab,ss_ns_none_idns,ss_ns_none_tot,ss_ns_1_15_mng,ss_ns_1_15_pro,ss_ns_1_15_tectw,ss_ns_1_15_copsw,ss_ns_1_15_claw,ss_ns_1_15_swks,ss_ns_1_15_maopdv,ss_ns_1_15_lab,ss_ns_1_15_idns,ss_ns_1_15_tot,ss_ns_16_24_mng,ss_ns_16_24_pro,ss_ns_16_24_tectw,ss_ns_16_24_copsw,ss_ns_16_24_claw,ss_ns_16_24_swks,ss_ns_16_24_maopdv,ss_ns_16_24_lab,ss_ns_16_24_idns,ss_ns_16_24_tot,ss_ns_25_34_mng,ss_ns_25_34_pro,ss_ns_25_34_tectw,ss_ns_25_34_copsw,ss_ns_25_34_claw,ss_ns_25_34_swks,ss_ns_25_34_maopdv,ss_ns_25_34_lab,ss_ns_25_34_idns,ss_ns_25_34_tot,ss_ns_35_39_mng,ss_ns_35_39_pro,ss_ns_35_39_tectw,ss_ns_35_39_copsw,ss_ns_35_39_claw,ss_ns_35_39_swks,ss_ns_35_39_maopdv,ss_ns_35_39_lab,ss_ns_35_39_idns,ss_ns_35_39_tot,ss_ns_40_mng,ss_ns_40_pro,ss_ns_40_tectw,ss_ns_40_copsw,ss_ns_40_claw,ss_ns_40_swks,ss_ns_40_maopdv,ss_ns_40_lab,ss_ns_40_idns,ss_ns_40_tot,ss_ns_41_48_mng,ss_ns_41_48_pro,ss_ns_41_48_tectw,ss_ns_41_48_copsw,ss_ns_41_48_claw,ss_ns_41_48_swks,ss_ns_41_48_maopdv,ss_ns_41_48_lab,ss_ns_41_48_idns,ss_ns_41_48_tot,ss_ns_49mo_mng,ss_ns_49mo_pro,ss_ns_49mo_tectw,ss_ns_49mo_copsw,ss_ns_49mo_claw,ss_ns_49mo_swks,ss_ns_49mo_maopdv,ss_ns_49mo_lab,ss_ns_49mo_idns,ss_ns_49mo_tot,ss_ns_ns_mng,ss_ns_ns_pro,ss_ns_ns_tectw,ss_ns_ns_copsw,ss_ns_ns_claw,ss_ns_ns_swks,ss_ns_ns_maopdv,ss_ns_ns_lab,ss_ns_ns_idns,ss_ns_ns_tot,ss_ns_tot_mng,ss_ns_tot_pro,ss_ns_tot_tectw,ss_ns_tot_copsw,ss_ns_tot_claw,ss_ns_tot_swks,ss_ns_tot_maopdv,ss_ns_tot_lab,ss_ns_tot_inad_des_tot,ss_ns_tot_tot,tot_none_mng,tot_none_pro,tot_none_tectw,tot_none_copsw,tot_none_claw,tot_none_swks,tot_none_maopdv,tot_none_lab,tot_none_idns,tot_none_tot,tot_1_15_mng,tot_1_15_pro,tot_1_15_tectw,tot_1_15_copsw,tot_1_15_claw,tot_1_15_swks,tot_1_15_maopdv,tot_1_15_lab,tot_1_15_idns,tot_1_15_tot,tot_16_24_mng,tot_16_24_pro,tot_16_24_tectw,tot_16_24_copsw,tot_16_24_claw,tot_16_24_swks,tot_16_24_maopdv,tot_16_24_lab,tot_16_24_idns,tot_16_24_tot,tot_25_34_mng,tot_25_34_pro,tot_25_34_tectw,tot_25_34_copsw,tot_25_34_claw,tot_25_34_swks,tot_25_34_maopdv,tot_25_34_lab,tot_25_34_idns,tot_25_34_tot,tot_35_39_mng,tot_35_39_pro,tot_35_39_tectw,tot_35_39_copsw,tot_35_39_claw,tot_35_39_swks,tot_35_39_maopdv,tot_35_39_lab,tot_35_39_idns,tot_35_39_tot,tot_40_mng,tot_40_pro,tot_40_tectw,tot_40_copsw,tot_40_claw,tot_40_swks,tot_40_maopdv,tot_40_lab,tot_40_idns,tot_40_tot,tot_41_48_mng,tot_41_48_pro,tot_41_48_tectw,tot_41_48_copsw,tot_41_48_claw,tot_41_48_swks,tot_41_48_maopdv,tot_41_48_lab,tot_41_48_idns,tot_41_48_tot,tot_49mo_mng,tot_49mo_pro,tot_49mo_tectw,tot_49mo_copsw,tot_49mo_claw,tot_49mo_swks,tot_49mo_maopdv,tot_49mo_lab,tot_49mo_idns,tot_49mo_tot,tot_ns_mng,tot_ns_pro,tot_ns_tectw,tot_ns_copsw,tot_ns_claw,tot_ns_swks,tot_ns_maopdv,tot_ns_lab,tot_ns_idns,tot_ns_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_inad_des_tot,tot_tot_tot,gcc_name16
1RNSW,4,0,6,7,4,3,0,4,3,38,3,4,14,49,3,64,0,61,7,211,3,3,4,21,12,24,0,19,3,87,0,12,14,17,5,29,0,16,3,103,16,7,86,28,16,26,3,28,6,220,11,17,87,21,11,7,11,28,8,199,3,3,29,6,4,3,3,6,0,68,9,4,12,7,3,4,7,19,3,76,3,4,18,6,5,13,3,20,61,137,51,61,266,169,63,190,32,207,93,1138,48,107,181,769,122,1262,58,681,41,3281,314,1165,752,7641,1286,16706,741,8248,256,37102,162,356,405,2430,497,3010,203,1403,50,8503,142,360,428,1429,335,1137,77,506,14,4437,181,575,2743,877,664,450,65,263,43,5864,165,383,2475,445,300,143,47,176,30,4161,86,149,1130,203,133,96,37,87,9,1932,115,136,599,253,58,86,37,104,8,1400,38,95,163,358,62,481,30,258,483,1965,1254,3321,8880,14396,3456,23369,1295,11725,942,68641,Rest of NSW
1GSYD,0,0,4,5,0,8,3,0,3,26,3,19,19,73,14,116,10,54,7,322,3,8,8,33,22,52,4,48,9,199,5,12,9,38,10,27,3,13,0,118,11,25,65,21,34,21,16,20,7,235,17,33,75,33,18,16,14,20,10,227,3,8,20,9,3,5,7,12,0,72,5,10,26,7,11,5,3,5,4,80,6,9,41,12,15,24,8,19,110,243,58,124,273,232,143,285,67,193,156,1527,91,356,277,1273,498,2226,128,915,110,5874,778,6361,1897,17479,5822,29892,1552,11652,688,76107,884,2386,2112,8356,4083,10913,1245,5674,426,36080,530,1111,1203,3175,1606,3120,301,1047,120,12209,492,1372,3186,1394,1536,883,169,363,116,9515,467,1342,3956,1005,1168,501,129,266,106,8931,214,580,1599,397,338,184,53,112,29,3514,269,584,1138,347,278,163,43,102,37,2956,59,279,403,719,278,875,92,388,1300,4394,3780,14368,15774,34139,15613,48748,3703,20517,2920,159575,Greater Sydney
2RVIC,0,0,0,3,4,6,3,4,0,23,4,0,3,36,3,65,0,41,3,161,0,3,11,27,6,19,3,10,3,75,3,6,6,11,5,12,0,5,0,57,11,9,61,18,10,20,8,14,3,141,10,15,61,8,9,10,5,19,4,133,0,0,16,4,6,6,0,3,0,37,5,7,14,0,0,0,3,6,0,35,0,5,21,3,0,12,0,11,37,84,35,39,192,109,43,144,23,119,53,748,33,43,98,430,79,749,48,385,29,1889,277,465,653,4677,739,10978,258,5763,166,23985,116,148,266,1083,258,1582,96,801,33,4383,75,153,218,602,142,447,41,240,20,1932,91,188,1315,340,248,166,21,139,28,2529,91,141,1310,169,141,61,26,91,15,2041,44,81,486,97,47,57,12,64,4,882,73,55,255,98,23,36,22,57,4,625,27,31,126,231,33,349,13,194,305,1303,828,1307,4718,7730,1702,14426,534,7737,605,39576,Rest of Vic.
2GMEL,0,0,3,11,0,6,0,5,3,30,3,6,13,70,17,164,5,53,4,351,7,12,24,40,5,52,11,34,3,192,8,13,21,25,8,33,4,24,3,142,5,23,79,26,32,25,19,22,9,229,10,12,86,17,19,16,6,20,7,195,0,9,31,3,8,8,3,10,0,71,9,9,16,6,8,3,6,7,0,58,8,9,20,12,10,28,0,14,92,201,53,86,296,205,113,338,54,194,127,1467,82,268,255,1097,370,1950,108,770,76,4960,1011,4647,1838,19706,5353,37723,1436,14424,668,86805,806,1529,1857,6602,2984,9867,1239,5494,278,30649,446,705,732,2281,1160,2722,212,900,77,9236,339,818,2777,907,942,676,143,283,75,6958,266,881,3310,517,597,277,67,200,64,6185,162,358,1143,244,221,161,25,71,16,2397,145,326,669,255,134,133,35,75,29,1802,77,167,285,644,230,997,61,452,1158,4076,3330,9698,12864,32253,11985,54505,3328,22663,2437,153069,Greater Melbourne
3GBRI,0,0,3,0,0,3,0,0,0,8,0,5,10,32,9,56,3,42,3,149,3,7,7,18,3,19,3,14,4,82,0,11,3,11,6,16,0,14,0,64,3,3,34,12,16,9,9,17,4,114,3,9,41,8,10,0,5,15,6,96,0,0,11,6,4,3,3,5,0,40,4,4,16,3,0,3,0,3,0,30,0,0,10,13,4,9,3,7,50,93,13,36,131,105,59,118,26,115,69,684,52,140,150,575,230,830,57,409,31,2469,359,2396,1236,9301,2786,17095,928,7428,325,41858,354,872,812,3539,1825,4673,508,2353,98,15038,249,506,367,1757,862,1713,141,665,44,6304,212,526,1129,772,854,430,81,173,50,4225,163,465,1091,308,510,154,40,110,35,2879,97,238,579,156,184,105,32,61,10,1459,115,230,426,143,117,82,30,46,17,1200,30,72,101,299,90,400,37,203,433,1661,1626,5441,5895,16848,7446,25485,1852,11456,1040,77095,Greater Brisbane
3RQLD,0,0,8,3,3,8,0,5,3,25,0,0,5,29,6,80,4,47,12,184,0,6,9,13,5,31,4,21,5,97,0,3,16,24,3,32,3,30,3,115,9,8,60,10,23,16,9,26,5,178,0,14,51,10,14,11,11,21,0,129,3,4,31,3,3,4,3,8,3,65,4,8,26,8,0,7,14,23,0,79,4,3,7,11,5,9,4,9,53,105,22,44,209,115,59,206,46,193,80,979,45,69,176,527,111,842,44,436,42,2298,269,946,1108,6750,1428,15922,599,7159,236,34415,196,335,508,2165,633,3093,220,1424,61,8637,159,247,377,1378,413,1250,82,517,22,4448,155,427,1480,731,664,402,69,245,25,4212,127,333,1197,311,311,125,48,119,23,2591,77,143,721,157,120,85,33,79,3,1431,76,144,546,177,87,57,49,106,14,1266,20,50,112,265,63,416,32,215,391,1560,1117,2702,6236,12455,3831,22197,1188,10308,814,60853,Rest of Qld
4RSAU,0,0,0,4,0,0,0,3,0,6,0,0,0,7,0,13,0,8,0,27,0,0,0,0,0,0,0,4,0,11,0,0,3,10,0,8,0,5,0,25,3,3,10,0,3,3,3,10,0,38,5,4,12,0,0,0,0,3,0,23,0,0,0,0,0,0,0,4,0,17,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,3,0,0,5,13,11,7,34,21,9,32,7,40,12,163,0,6,23,78,16,127,12,96,3,359,50,54,130,760,101,1867,68,1282,22,4338,20,18,56,194,37,236,16,163,4,749,18,20,39,136,35,103,3,74,4,439,12,54,255,68,67,44,8,49,0,568,18,19,196,23,24,15,7,48,3,360,8,15,103,15,12,14,0,15,3,188,6,7,49,11,7,11,7,11,0,114,7,3,17,29,4,48,5,51,49,204,141,200,871,1319,304,2464,136,1786,101,7319,Rest of SA
4GADE,0,0,0,0,0,4,0,0,0,7,0,0,6,24,0,62,3,35,3,134,0,0,5,11,4,18,0,8,4,55,0,0,3,14,0,10,3,10,0,50,0,9,13,9,13,9,4,11,3,71,0,3,11,9,5,3,3,8,0,38,0,3,3,3,0,3,0,0,0,17,3,4,4,0,0,0,0,0,0,12,0,0,9,8,0,11,3,7,22,48,9,22,56,76,18,117,20,68,34,421,12,63,76,425,87,512,34,288,18,1516,252,914,447,5711,1065,10590,439,5466,160,25040,137,281,279,1668,451,2152,195,1141,40,6342,113,169,182,850,291,813,50,300,20,2776,74,281,762,304,354,179,29,106,22,2112,67,153,565,149,126,53,13,47,9,1187,39,69,262,77,62,49,3,21,0,595,25,45,132,70,31,36,3,21,8,367,13,27,47,141,29,257,20,128,196,849,732,2005,2755,9392,2503,14631,783,7511,474,40789,Greater Adelaide
5GPER,0,4,0,4,0,9,0,3,0,18,0,0,7,21,11,72,5,32,0,146,3,3,4,23,0,24,0,16,3,73,3,3,11,17,3,13,0,3,0,54,8,5,33,14,17,11,5,17,3,105,0,9,30,3,9,3,0,10,0,75,0,3,16,3,0,0,3,3,0,31,0,5,5,3,3,0,0,3,0,24,0,0,6,8,0,12,3,9,24,67,17,31,108,90,46,150,21,97,40,593,22,99,140,508,123,799,58,354,25,2133,356,1547,793,8108,1676,15776,888,7211,246,36599,295,422,595,2762,905,3850,412,2061,84,11385,142,231,366,1169,392,1196,110,411,38,4051,137,263,1218,441,396,299,65,132,27,2972,111,242,1314,219,240,102,44,70,22,2350,61,114,483,100,91,68,24,39,8,987,45,97,295,113,64,41,11,41,17,731,25,49,96,258,56,351,32,160,320,1354,1188,3069,5301,13680,3940,22483,1642,10477,777,62557,Greater Perth
5RWAU,0,0,0,3,0,0,0,3,0,10,0,0,0,9,0,11,0,13,0,29,0,0,3,4,0,0,0,7,0,16,0,0,0,0,0,8,0,0,0,15,0,4,8,13,3,4,0,3,3,44,0,3,11,0,4,3,0,3,0,22,0,3,14,0,0,3,0,0,0,23,0,3,17,0,0,0,5,5,0,32,0,0,3,0,0,3,0,0,12,17,3,17,58,32,10,30,6,35,13,207,9,4,48,74,17,132,10,97,9,404,45,64,114,756,148,2505,64,1144,45,4881,14,23,55,178,60,270,16,143,5,769,9,17,53,145,34,91,3,60,3,418,22,38,317,111,104,50,4,39,10,688,15,51,365,43,61,25,10,27,0,602,15,23,213,29,24,12,10,19,4,353,24,33,237,32,18,11,28,43,5,435,5,5,32,30,4,70,3,39,77,267,156,267,1436,1385,475,3173,154,1617,162,8819,Rest of WA
