yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,gcc_code16,gcc_name16,ogc_fid
2011,2181939.0,37.0,121599057774.0,44075.0,55730.0,79.0,333065.0,45.0,9427208534.0,12234.0,28304.0,7.3,1683998.0,44.0,15659456737.0,444.0,9299.0,12.4,60984.0,59.0,1371582415.0,14000.0,22491.0,1.1,2457303.0,40.0,145411045394.0,43210.0,59175.0,5.16,1.9,0.37,0.17,0.505,12.0,25.9,36.8,23.4,23.9,24.7,28.0,146976.0,6303.8,3212.0,42890.0,,,,,,,,,,,,,,,,,,,,858.0,1GSYD,Greater Sydney,1
2012,2234474.0,38.0,129041252630.0,45927.0,57750.0,79.0,336095.0,45.0,9697157744.0,12697.0,28852.0,7.2,1751181.0,44.0,16669475477.0,436.0,9519.0,12.4,60308.0,59.0,1463005360.0,15616.0,24259.0,1.1,2495945.0,41.0,153520278521.0,45267.0,61508.0,5.0,1.88,0.38,0.18,0.499,11.4,25.3,36.2,23.6,24.0,24.9,27.5,132278.0,5110.8,2427.0,38637.0,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,2
2013,2311268.0,38.0,138088567023.0,47355.0,59746.0,79.0,342469.0,45.0,10095838889.0,13374.0,29480.0,7.3,1790109.0,44.0,17753766750.0,430.0,9918.0,12.4,61009.0,59.0,1490301542.0,14814.0,24428.0,1.0,2541152.0,41.0,162824242126.0,47149.0,64075.0,4.75,1.87,0.39,0.19,0.496,11.4,25.3,36.1,23.6,24.0,25.0,27.4,152750.0,5460.2,2151.0,35746.0,,,,,,,,,,296893.0,258690.0,,,,,,,,,,1GSYD,Greater Sydney,3
2014,2387527.0,38.0,147207755347.0,48653.0,61657.0,79.0,349463.0,45.0,10831494972.0,14246.0,30995.0,7.4,1842048.0,44.0,19579267188.0,445.0,10629.0,12.3,61484.0,59.0,1587913517.0,15732.0,25826.0,1.0,2606163.0,41.0,172926801782.0,48381.0,66353.0,4.75,1.88,0.39,0.19,0.499,12.1,25.8,36.7,23.5,24.0,25.0,27.5,178349.0,9263.9,3438.0,51943.0,,,,,,,,,,294294.0,257269.0,,,,,,,,,,1GSYD,Greater Sydney,4
2015,2532382.0,38.0,161450590499.0,50085.0,63754.0,78.0,363132.0,45.0,11620669378.0,14807.0,32001.0,7.5,1956204.0,43.0,19781984613.0,403.0,10112.0,12.6,61297.0,59.0,1673821924.0,17052.0,27307.0,1.0,2712735.0,41.0,183938528088.0,49571.0,67806.0,4.81,1.89,0.39,0.18,0.499,11.7,25.6,36.5,23.6,23.9,24.8,27.7,193313.0,12600.1,4353.0,65180.0,419331.0,58579.0,,128567.0,121825.0,39927.0,,50003.0,12156.0,286590.0,252556.0,,,,,,,,,,1GSYD,Greater Sydney,5
2016,2587128.0,37.0,171196490098.0,51814.0,66172.0,78.0,378744.0,45.0,12151772583.0,14900.0,32084.0,7.5,2021346.0,43.0,20279249755.0,331.0,10033.0,12.5,59456.0,59.0,1649037695.0,17419.0,27735.0,1.0,2788215.0,41.0,194328537211.0,50724.0,69696.0,4.95,1.91,0.38,0.18,0.503,11.9,25.7,36.6,23.5,23.7,24.6,28.1,191779.0,12663.5,3156.0,66032.0,422800.0,59000.0,,122467.0,109583.0,38514.0,,47359.0,10233.0,278550.0,230666.0,,24.8,21.5,23.6,6.1,4.5,10.8,0.5,1003.0,1GSYD,Greater Sydney,6
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410200.0,59182.0,121706.0,117880.0,105544.0,36946.0,18830.0,41592.0,10209.0,268482.0,210982.0,224690.0,,,,,,,,,1GSYD,Greater Sydney,7
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403494.0,61044.0,123214.0,117114.0,103369.0,34589.0,16383.0,37962.0,9012.0,254312.0,200284.0,216563.0,,,,,,,,,1GSYD,Greater Sydney,8
2011,1107415.0,40.0,49654917242.0,37863.0,44839.0,74.0,244787.0,50.0,4462332254.0,8218.0,18229.0,9.3,898938.0,49.0,5656627900.0,380.0,6293.0,14.2,48043.0,58.0,1130834860.0,17159.0,23538.0,1.9,1310695.0,45.0,60074017699.0,36984.0,45834.0,5.77,1.92,0.33,0.13,0.48100000000000004,7.5,20.2,31.5,28.0,26.9,23.7,21.4,82394.0,2111.7,2460.0,25630.0,,,,,,,,,,,,,,,,,,,,635.0,1RNSW,Rest of NSW,9
2012,1132531.0,40.0,53598158457.0,39746.0,47326.0,74.0,243749.0,51.0,4229341578.0,7800.0,17351.0,8.9,928209.0,49.0,6078001389.0,368.0,6548.0,14.2,48281.0,59.0,1195680922.0,18159.0,24765.0,1.9,1324764.0,45.0,63995638210.0,38824.0,48307.0,5.52,1.93,0.35,0.13,0.479,7.4,20.1,31.5,28.0,27.0,23.7,21.3,68052.0,1938.0,2120.0,28479.0,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,10
