gcc_name16,gcc_code16,m_natphyl_scn_15_24,m_natphyl_scn_25_34,m_natphyl_scn_35_44,m_natphyl_scn_45_54,m_natphyl_scn_55_64,m_natphyl_scn_65_74,m_natphyl_scn_75_84,m_natphyl_scn_85ov,m_natphyl_scn_tot,m_infotech_15_24,m_infotech_25_34,m_infotech_35_44,m_infotech_45_54,m_infotech_55_64,m_infotech_65_74,m_infotech_75_84,m_infotech_85ov,m_infotech_tot,m_eng_reltec_15_24,m_eng_reltec_25_34,m_eng_reltec_35_44,m_eng_reltec_45_54,m_eng_reltec_55_64,m_eng_reltec_65_74,m_eng_reltec_75_84,m_eng_reltec_85ov,m_eng_reltec_tot,m_archtbldng_15_24,m_archtbldng_25_34,m_archtbldng_35_44,m_archtbldng_45_54,m_archtbldng_55_64,m_archtbldng_65_74,m_archtbldng_75_84,m_archtbldng_85ov,m_archtbldng_tot,m_ag_envir_rltd_sts_15_24,m_ag_envir_rltd_sts_25_34,m_ag_envir_rltd_sts_35_44,m_ag_envir_rltd_sts_45_54,m_ag_envir_rltd_sts_55_64,m_ag_envir_rltd_sts_65_74,m_ag_envir_rltd_sts_75_84,m_ag_envir_rltd_sts_85ov,m_ag_envir_rltd_sts_tot,m_health_15_24,m_health_25_34,m_health_35_44,m_health_45_54,m_health_55_64,m_health_65_74,m_health_75_84,m_health_85ov,m_health_tot,m_educ_15_24,m_educ_25_34,m_educ_35_44,m_educ_45_54,m_educ_55_64,m_educ_65_74,m_educ_75_84,m_educ_85_years_and_over,m_educ_tot,m_mgnt_com_15_24,m_mgnt_com_25_34,m_mgnt_com_35_44,m_mgnt_com_45_54,m_mgnt_com_55_64,m_mgnt_com_65_74,m_mgnt_com_75_84,m_mgnt_com_85ov,m_mgnt_com_tot,m_society_cult_15_24,m_society_cult_25_34,m_society_cult_35_44,m_society_cult_45_54,m_society_cult_55_64,m_society_cult_65_74,m_society_cult_75_84,m_society_cult_85ov,m_society_cult_tot,m_creative_arts_15_24,m_creative_arts_25_34,m_creative_arts_35_44,m_creative_arts_45_54,m_creative_arts_55_64,m_creative_arts_65_74,m_creative_arts_75_84,m_creative_arts_85ov,m_creative_arts_tot,m_fd_hosp_psnl_svcs_15_24,m_fd_hosp_psnl_svcs_25_34,m_fd_hosp_psnl_svcs_35_44,m_fd_hosp_psnl_svcs_45_54,m_fd_hosp_psnl_svcs_55_64,m_fd_hosp_psnl_svcs_65_74,m_fd_hosp_psnl_svcs_75_84,m_fd_hosp_psnl_svcs_85ov,m_fd_hosp_psnl_svcs_tot,m_mixfld_prgm_15_24,m_mixfld_prgm_25_34,m_mixfld_prgm_35_44,m_mixfld_prgm_45_54,m_mixfld_prgm_55_64,m_mixfld_prgm_65_74,m_mixfld_prgm_75_84,m_mixfld_prgm_85ov,m_mixfld_prgm_tot,m_fldstd_inaddes_15_24,m_fldstd_inaddes_25_34,m_fldstd_inaddes_35_44,m_fldstd_inaddes_45_54,m_fldstd_inaddes_55_64,m_fldstd_inaddes_65_74,m_fldstd_inaddes_75_84,m_fldstd_inaddes_85ov,m_fldstd_inaddes_tot,m_fldstd_ns_15_24,m_fldstd_ns_25_34,m_fldstd_ns_35_44,m_fldstd_ns_45_54,m_fldstd_ns_55_64,m_fldstd_ns_65_74,m_fldstd_ns_75_84,m_fldstd_ns_85ov,m_fldstd_ns_tot,m_tot_15_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85_years_and_over,m_tot_tot,f_natphyl_scn_15_24,f_natphyl_scn_25_34,f_natphyl_scn_35_44,f_natphyl_scn_45_54,f_natphyl_scn_55_64,f_natphyl_scn_65_74,f_natphyl_scn_75_84,f_natphyl_scn_85ov,f_natphyl_scn_tot,f_infotech_15_24,f_infotech_25_34,f_infotech_35_44,f_infotech_45_54,f_infotech_55_64,f_infotech_65_74,f_infotech_75_84,f_infotech_85ov,f_infotech_tot,f_eng_reltec_15_24,f_eng_reltec_25_34,f_eng_reltec_35_44,f_eng_reltec_45_54,f_eng_reltec_55_64,f_eng_reltec_65_74,f_eng_reltec_75_84,f_eng_reltec_85ov,f_eng_reltec_tot,f_archtbldng_15_24,f_archtbldng_25_34,f_archtbldng_35_44,f_archtbldng_45_54,f_archtbldng_55_64,f_archtbldng_65_74,f_archtbldng_75_84,f_archtbldng_85ov,f_archtbldng_tot,f_ag_envir_rltd_sts_15_24,f_ag_envir_rltd_sts_25_34,f_ag_envir_rltd_sts_35_44,f_ag_envir_rltd_sts_45_54,f_ag_envir_rltd_sts_55_64,f_ag_envir_rltd_sts_65_74,f_ag_envir_rltd_sts_75_84,f_ag_envir_rltd_sts_85ov,f_ag_envir_rltd_sts_tot,f_health_15_24,f_health_25_34,f_health_35_44,f_health_45_54,f_health_55_64,f_health_65_74,f_health_75_84,f_health_85ov,f_health_tot,f_educ_15_24,f_educ_25_34,f_educ_35_44,f_educ_45_54,f_educ_55_64,f_educ_65_74,f_educ_75_84,f_educ_85ov,f_educ_tot,f_mgnt_com_15_24,f_mgnt_com_25_34
Rest of NSW,1RNSW,610,1935,2173,2187,2556,2321,797,227,12807,1531,3617,3120,2156,1561,712,96,14,12805,11016,29488,30163,36104,37031,30017,14473,4225,192532,5449,12680,12599,13648,13572,9670,4964,1305,73893,1933,4768,5977,6217,5457,3749,1622,404,30129,1061,4568,5058,5109,5415,2913,1247,446,25817,533,3265,4065,4484,7570,5205,1940,500,27557,3619,10191,12071,12373,11456,8597,3022,771,62096,2481,6093,6985,7211,6942,5014,1777,449,36959,1414,2585,2180,1789,1860,1299,454,138,11714,2506,5261,5069,4043,3290,2482,1039,271,23947,305,153,129,148,189,249,225,99,1496,446,963,1382,1618,1421,1029,533,200,7590,16447,15259,14950,17163,17667,16932,12425,5869,116713,49347,100827,105924,114237,115988,90186,44623,14919,636044,723,2261,2619,2212,1921,1114,323,82,11248,220,862,1053,1154,986,492,111,11,4881,536,1838,1873,1983,1631,1239,1002,587,10685,272,839,870,811,498,241,87,20,3641,1300,2265,2650,2274,1434,669,189,44,10820,5827,17714,17320,19727,22102,12111,5349,1778,101919,2842,12583,14331,14131,17569,10725,4101,1114,77399,9960,24577
Greater Sydney,1GSYD,2886,7796,7577,7638,6257,4492,1792,538,38980,5814,27098,27591,11930,5155,1381,181,40,79177,13557,49718,51407,55726,49497,34922,17514,5948,278288,8558,23333,22703,20461,14360,9628,5212,1513,105774,1389,4059,4475,3947,2883,1430,735,226,19138,3114,12609,10581,9104,7530,4530,2449,973,50887,1207,6125,6042,6265,7927,5167,2140,632,35509,17467,70100,60469,45467,31709,18645,6314,1909,252082,7525,24001,21645,18784,15293,9589,3472,1014,101325,5734,14377,10163,6133,4003,2131,838,240,43628,3556,11498,8643,6239,3650,2391,1086,287,37345,833,533,376,363,367,358,265,84,3185,1052,3148,3581,3279,2372,1455,662,308,15853,24163,33845,27017,23115,18897,15317,10910,6325,159599,96858,288236,262271,218447,169909,111443,53565,20045,1220774,3600,10314,9355,7680,5184,2629,925,262,39961,1228,9205,8986,5013,2332,701,107,14,27575,1771,7985,6249,5779,4208,2543,2024,939,31502,1371,4573,3445,2383,1319,487,188,45,13824,869,2162,2054,1562,1012,426,162,42,8289,9700,36996,29784,27009,23489,12992,6155,2290,148409,6177,25238,24293,22547,23331,14636,5774,1866,123863,26073,94235
Rest of Vic.,2RVIC,392,912,1191,1138,1312,1139,333,82,6495,744,2084,1735,1088,800,344,38,4,6833,5525,14001,14484,18207,18089,14544,6350,1910,93100,4047,8945,7003,6829,6836,4534,2275,628,41094,1289,3359,4219,4439,3452,2070,858,249,19928,680,2525,2518,2669,2959,1514,560,181,13604,438,2074,2500,2583,4102,3651,1288,276,16921,1917,5493,6566,6330,5859,3814,1194,333,31508,1774,2922,3207,3383,3448,2460,823,150,18162,981,1496,1364,917,987,733,212,54,6743,1316,2991,2665,2362,1839,1178,508,138,13007,128,87,54,91,87,143,116,51,765,217,643,967,954,900,631,270,115,4703,9025,8197,8312,9723,9954,9708,6803,3101,64818,28468,55725,56796,60709,60614,46461,21630,7280,337677,538,1287,1736,1096,910,381,108,55,6115,107,429,532,465,428,189,11,10,2174,320,896,1060,1027,769,602,461,226,5367,223,595,577,446,254,113,29,15,2259,745,1630,1807,1348,810,325,101,43,6802,3442,11185,10017,11441,12210,7360,3264,1113,60033,1662,7013,7691,7784,9571,6983,2498,752,43953,3818,11610
Greater Melbourne,2GMEL,3724,7892,7568,7116,6052,4213,1521,524,38616,5376,25745,24525,10809,4956,1386,172,25,73001,14542,51136,49987,53488,44949,31522,15857,5333,266813,10630,27801,20469,18298,12959,8134,4742,1345,104384,1465,4632,4441,3740,2394,1265,553,169,18656,2918,12319,10214,8628,6760,3829,1821,668,47142,1131,6569,6375,6383,7764,5608,2320,610,36763,16055,57680,49698,37315,25159,14104,4956,1586,206544,8015,20581,17734,15220,12493,7826,2667,735,85266,6445,15434,9613,5414,3444,1882,679,213,43122,4050,13278,8415,6125,3521,1984,973,273,38620,774,467,284,280,314,307,286,81,2793,1212,3780,3899,3378,2363,1397,647,296,16969,22253,29404,23557,20932,17180,14528,10962,5609,144414,98583,276711,236790,197121,150305,97982,48156,17471,1123109,5033,12042,10565,7125,4112,1823,626,225,41548,1248,9246,8133,4113,1982,557,71,18,25375,1970,8018,6514,4740,3091,2121,1896,808,29156,1548,5131,3388,2271,1066,415,123,48,13983,1162,2698,2534,1680,928,319,125,38,9496,10441,41527,31329,27221,21861,12239,6086,2174,152876,5112,24602,23645,23749,23214,14809,5574,1648,122347,21381,75621
Greater Brisbane,3GBRI,1436,3675,3455,3143,2437,1758,588,156,16646,3078,8065,8259,4511,1950,567,69,8,26496,9309,28717,28547,29503,25688,18297,8394,2278,150732,4544,13269,11338,10168,8504,5939,2856,784,57399,861,2082,2618,2273,1634,980,412,101,10962,1694,6220,5884,5186,3744,2141,962,318,26147,552,2717,3444,3555,3639,2765,1087,239,17999,8608,21637,21257,17882,12038,6578,1976,545,90522,5311,9883,9124,7490,5735,3619,1241,296,42696,3471,5162,3264,2058,1347,733,312,79,16433,2877,5141,4235,3067,1890,1307,444,115,19077,458,232,125,118,140,156,134,55,1425,525,1475,1732,1579,1176,740,303,124,7674,12594,15004,12767,11714,9307,7550,5040,2716,76699,55323,123282,116040,102241,79234,53143,23819,7818,560897,1646,4535,3904,2696,1636,815,234,76,15550,763,2247,2376,1429,704,225,29,4,7773,972,3318,2806,2125,1352,801,597,271,12242,666,1958,1399,919,421,172,38,11,5588,600,1335,1402,909,503,173,39,14,4984,6511,19667,16931,15947,12766,7089,3043,1047,83000,2500,10828,13772,13281,11613,6880,2444,631,61953,14042,35603
Rest of Qld,3RQLD,626,1674,1887,1771,1747,1501,551,129,9893,1731,3046,2921,1799,1194,517,84,6,11303,11950,31115,31728,34198,31600,24240,10963,2718,178503,4634,13517,13720,13439,13333,9041,4096,914,72691,1456,3342,4393,4233,3250,1832,803,202,19503,1423,5036,5323,5371,4392,2335,1029,303,25214,469,2736,3706,4172,4756,3345,1189,251,20621,4795,10883,12289,11983,9512,6425,2234,563,58673,3635,5779,6006,5602,4779,3453,1221,234,30716,1660,2422,1941,1456,1258,961,362,83,10137,3052,5480,5418,4621,3132,2163,760,166,24795,300,163,111,149,207,225,188,77,1424,526,1141,1442,1683,1231,818,437,134,7420,16525,17414,16478,17353,15704,13457,8536,3807,109265,52774,103736,107362,107835,96093,70320,32454,9588,580153,909,2351,2365,1871,1298,671,216,56,9738,384,764,1020,747,513,245,38,0,3722,845,2105,1943,1732,1278,918,627,264,9712,340,1063,914,782,411,222,77,20,3830,1028,1942,2033,1360,824,304,91,21,7606,5787,16623,15707,17276,16074,8800,3767,1133,85160,2691,11322,14609,14580,12820,7600,2851,763,67240,11509,26107
Rest of SA,4RSAU,31,234,254,246,293,278,68,17,1411,130,254,215,155,122,62,9,0,944,1795,4274,4320,5164,5332,4311,1996,515,27706,640,1304,1028,1251,1435,1194,580,148,7571,494,1133,1437,1259,936,585,205,88,6131,106,331,435,540,636,334,115,43,2543,85,444,434,456,806,719,174,43,3170,356,938,1201,1357,1370,1002,308,89,6628,255,658,629,692,791,567,182,40,3808,93,153,136,141,168,136,49,14,894,328,687,688,602,499,334,123,28,3301,18,26,19,27,35,36,32,24,216,63,130,143,219,170,163,72,25,990,2358,2412,2435,2799,2751,2587,1716,786,17846,6771,12972,13374,14904,15342,12321,5636,1850,83163,54,239,245,202,148,101,24,8,1024,31,58,90,68,62,34,11,0,360,107,244,270,254,169,164,113,65,1383,29,68,73,56,37,22,4,0,290,215,444,516,402,223,103,14,6,1920,648,1936,1877,2711,3339,1786,700,224,13220,423,1666,1713,1580,2012,1600,486,145,9622,1118,2872
Greater Adelaide,4GADE,617,2169,2196,1985,1818,1375,517,141,10823,1137,3999,3679,2035,1199,381,48,8,12485,4885,14935,14965,16902,14876,11895,6305,2159,86935,2793,5970,4469,4753,4292,3119,1872,615,27884,587,1593,1584,1491,1123,617,240,95,7332,905,3664,3526,3139,2798,1646,683,306,16673,376,1832,1902,1986,3087,2533,758,217,12692,2986,10571,11023,9418,7247,4675,1701,537,48166,2160,5415,5088,4639,4197,2906,936,293,25621,1228,2515,1816,1228,974,570,197,56,8581,1331,2976,2379,1948,1286,856,324,95,11196,142,73,79,70,82,90,108,42,694,263,816,899,821,671,453,229,97,4253,5475,6162,5605,5804,5184,4330,3396,1985,37937,24882,62690,59211,56227,48837,35449,17319,6641,311269,859,2524,2339,1621,1119,542,186,71,9261,166,1182,1077,687,386,118,20,3,3638,477,1565,1369,1149,780,637,520,298,6799,423,1022,699,526,292,138,41,13,3152,368,861,737,569,332,127,45,3,3041,3625,12433,10387,10434,9996,5013,2197,921,55015,1238,5852,6161,5937,7158,5194,1692,688,33914,5274,16729
Greater Perth,5GPER,1375,3870,3749,3555,2717,1896,587,173,17926,1934,5968,5711,3010,1378,408,45,8,18461,11045,33468,31733,30691,25433,17039,7698,1960,159060,4422,11940,8897,8539,6738,4793,2735,684,48736,621,1997,2085,1842,1349,908,416,110,9334,1268,5283,4968,4393,3222,1858,833,284,22102,464,2151,2604,2976,3509,2291,1020,278,15286,4881,16844,16115,14182,9761,6192,2178,576,70725,3096,7257,6343,5390,4601,2958,1026,271,30955,2159,3669,2466,1574,1199,669,262,76,12086,1546,4997,3782,3106,1976,1178,482,119,17189,306,157,142,134,126,138,128,44,1181,373,1217,1272,1301,880,526,289,112,5970,10264,15210,12220,10869,8511,6732,5141,2650,71614,43759,114013,102086,91570,71403,47595,22851,7357,500624,2012,5097,4232,2835,1657,705,202,79,16818,424,1954,1740,1109,573,181,38,0,6010,1058,3729,3066,1922,1169,671,621,277,12515,624,1801,1228,825,428,138,36,12,5095,544,1572,1476,924,456,182,62,16,5244,5741,18345,14701,13681,11294,6475,3068,971,74275,2627,10104,11877,12337,10752,5823,2321,657,56510,8791,28288
Rest of WA,5RWAU,117,522,597,438,391,297,86,23,2465,274,429,374,235,122,57,13,0,1508,3416,10110,9560,9208,7574,4526,1627,359,46392,1100,2777,2310,2311,2182,1337,594,130,12739,545,1128,1439,1365,1155,731,317,71,6761,124,711,872,936,815,380,127,38,4004,94,551,762,904,1098,631,208,31,4281,454,1485,1919,1832,1513,975,267,66,8508,380,864,913,875,786,520,146,42,4527,185,329,285,238,240,168,47,13,1497,323,948,1103,990,607,359,118,29,4474,53,31,35,31,37,56,35,12,294,67,256,322,351,268,121,68,15,1461,4309,6211,5715,5557,4640,3158,1838,719,32146,11444,26355,26209,25268,21433,13306,5491,1549,131058,131,621,706,420,261,89,18,3,2259,61,168,202,136,103,43,6,0,726,228,655,530,335,219,127,95,53,2243,69,209,176,151,72,33,4,0,716,323,746,799,559,313,96,32,4,2875,854,3046,3038,3117,3439,1987,846,210,16538,655,2712,3469,3405,3008,1481,517,120,15375,1993,4827
