gcc_code16,p_75ov_ewft,p_75ov_ewpt,p_75ov_eafw,p_75ov_ehw_ns,p_75ov_tot,p_tot_ewft,p_tot_ewpt,p_tot_eafw,p_tot_ehw_ns,p_tot_tot,gcc_name16
9OTER,8,17,0,3,35,1801,645,168,75,2692,Other Territories
8ACTE,168,395,46,54,665,148735,59238,9400,3274,220648,Australian Capital Territory
7RNTE,62,47,6,14,134,24420,6746,1624,1066,33860,Rest of NT
7GDAR,77,90,9,10,196,52917,14518,3120,1567,72120,Greater Darwin
6RTAS,250,465,49,70,828,59567,40565,4661,2013,106812,Rest of Tas.
6GHOB,87,289,24,51,453,56617,37246,4036,1459,99359,Greater Hobart
5RWAU,675,931,120,150,1873,171856,68305,14558,5392,260110,Rest of WA
5GPER,797,2261,178,187,3420,518078,289570,28950,13567,850156,Greater Perth
4RSAU,573,799,109,162,1643,85739,53128,6372,2889,148135,Rest of SA
4GADE,632,1446,136,192,2404,328932,203055,19955,8370,560314,Greater Adelaide
3RQLD,2328,2981,290,578,6175,608327,332386,34323,18887,993929,Rest of Qld
3GBRI,965,1963,146,312,3393,661012,326539,33245,17105,1037906,Greater Brisbane
2RVIC,1956,2584,361,511,5409,318846,210626,23975,11544,564981,Rest of Vic.
2GMEL,2242,4972,438,638,8290,1279472,666757,61696,38241,2046169,Greater Melbourne
1RNSW,3214,4211,471,894,8796,588547,359780,37214,19900,1005433,Rest of NSW
1GSYD,2582,5807,452,571,9410,1448345,654965,63108,42877,2209294,Greater Sydney
