gcc_name16,gcc_code16,ia_ds_separate_house,ia_ds_semd_ro_tr_h_th,ia_ds_flat_or_apart,ia_ds_other_dwelling,ia_ds_not_stated,ia_total,i_na_ds_separate_house,i_na_ds_semd_ro_tr_h_th,i_na_ds_flat_or_apart,i_na_ds_other_dwelling,i_na_ds_not_stated,i_na_total,ic_ns_ds_separate_house,ic_ns_ds_semd_ro_tr_h_th,ic_ns_ds_flat_or_apart,ic_ns_ds_other_dwelling,ic_ns_ds_not_stated,ic_not_stated_total,total_ds_separate_house,total_ds_semd_ro_tr_h_th,total_ds_flat_or_apart,total_ds_other_dwelling,total_ds_not_stated,total_total
Greater Sydney,1GSYD,804206,189713,384377,6771,4646,1389707,98865,30788,57848,1794,916,190219,21156,6740,14006,566,1484,43948,924225,227238,456233,9129,7045,1623872
Rest of NSW,1RNSW,644120,61595,40806,8250,4563,759333,140519,25100,19312,5126,1431,191491,20955,3511,3036,1078,1031,29617,805591,90207,63149,14459,7028,980442
Greater Melbourne,2GMEL,923124,222256,195093,4524,3452,1348449,119185,34803,29007,1505,563,185067,25329,7343,7193,366,723,40960,1067637,264409,231297,6392,4746,1574474
Rest of Vic.,2RVIC,383006,23410,8298,2812,2056,419596,83398,11447,5520,1569,506,102440,12902,1661,923,321,396,16196,479310,36513,14748,4703,2958,538228
Greater Brisbane,3GBRI,533148,62843,81633,2658,1906,682188,57447,13550,15116,1606,389,88107,12343,2834,2921,402,663,19164,602947,79224,99677,4661,2959,789464
Rest of Qld,3RQLD,558841,71216,64668,7130,3446,705313,91788,21102,18940,3943,966,136747,16076,3435,3492,1079,1226,25311,666707,95759,87105,12156,5646,867368
Greater Adelaide,4GADE,313359,61560,28341,944,1094,405301,47980,18799,8744,373,235,76139,6904,2642,1220,63,177,11006,368244,83001,38308,1383,1509,492448
Rest of SA,4RSAU,99853,6432,1864,1026,643,109816,25701,4560,1635,498,205,32590,3004,522,192,115,100,3934,128558,11510,3691,1637,946,146344
Greater Perth,5GPER,471092,87854,36193,1431,1163,597746,49535,19018,7772,660,178,77166,10209,3272,1456,145,298,15377,530833,110149,45419,2234,1636,690280
Rest of WA,5RWAU,126398,7852,2254,2536,875,139917,24696,3972,1191,1206,259,31325,3891,588,214,346,211,5249,154990,12408,3661,4089,1343,176495
Greater Hobart,6GHOB,60001,3526,5037,246,169,68978,11117,1376,2056,86,29,14659,1497,197,245,24,28,1992,72613,5099,7335,356,224,85630
Rest of Tas.,6RTAS,78322,3561,2317,538,346,85089,19615,2409,1432,258,101,23818,2441,314,182,54,58,3040,100385,6282,3927,848,504,111949
Greater Darwin,7GDAR,23909,3597,8235,591,179,36515,2516,874,1450,158,35,5034,811,176,372,102,37,1499,27239,4646,10062,850,256,43043
Rest of NT,7RNTE,10752,2292,836,801,200,14877,4370,761,384,350,66,5930,737,153,89,179,47,1206,15862,3206,1308,1323,315,22013
Australian Capital Territory,8ACTE,87467,21754,18738,99,215,128278,6388,2855,2098,66,34,11440,1660,670,562,24,24,2941,95520,25278,21404,187,271,142664
Other Territories,9OTER,900,63,86,7,10,1070,188,18,21,6,4,236,43,3,8,3,0,60,1130,87,115,12,16,1360
