gcc_name16,gcc_code16,num_psns_ur_1_nonfamhhold,num_psns_ur_1_total,num_psns_ur_2_famhhold,num_psns_ur_2_nonfamhhold,num_psns_ur_2_total,num_psns_ur_3_famhhold,num_psns_ur_3_nonfamhhold,num_psns_ur_3_total,num_psns_ur_4_famhhold,num_psns_ur_4_nonfamhhold,num_psns_ur_4_total,num_psns_ur_5_famhhold,num_psns_ur_5_nonfamhhold,num_psns_ur_5_total,num_psns_ur_6mo_famhhold,num_psns_ur_6mo_nonfamhhold,num_psns_ur_6mo_total,total_famhhold,total_nonfamhhold,total_total
Greater Sydney,1GSYD,351423,351423,437374,48976,486347,269775,15796,285569,286434,7073,293508,127878,2831,130712,74202,2112,76323,1195662,428213,1623872
Rest of NSW,1RNSW,269360,269360,330563,25395,355952,134861,4523,139382,127780,1517,129290,58383,491,58872,27282,286,27575,678869,301570,980442
Greater Melbourne,2GMEL,366005,366005,442770,50885,493655,254783,16837,271619,269991,7022,277011,109030,2577,111605,52984,1592,54576,1129553,444918,1574474
Rest of Vic.,2RVIC,155827,155827,182040,13004,195040,71096,2267,73363,68385,845,69223,31336,324,31662,12882,235,13113,365732,172499,538228
Greater Brisbane,3GBRI,173424,173424,235056,27892,262943,127021,8612,135628,127836,3282,131112,54630,1180,55813,29893,644,30540,574438,215030,789464
Rest of Qld,3RQLD,215655,215655,290734,28159,318892,126188,5613,131802,119390,1745,121135,51967,486,52451,27145,289,27433,615423,251949,867368
Greater Adelaide,4GADE,134833,134833,152402,13706,166107,74538,3671,78212,73210,1367,74579,26587,436,27023,11439,258,11704,338181,154273,492448
Rest of SA,4RSAU,44290,44290,53301,2924,56228,17742,318,18054,16674,99,16768,7676,37,7712,3248,40,3290,98639,47705,146344
Greater Perth,5GPER,159002,159002,211462,18768,230232,110763,5432,116190,114897,2186,117079,45643,815,46452,20879,450,21323,503642,186642,690280
Rest of WA,5RWAU,45207,45207,59722,3977,63692,24389,736,25124,24770,222,24988,11465,67,11531,5900,52,5954,126238,50254,176495
Greater Hobart,6GHOB,24851,24851,27409,2337,29749,12503,660,13164,11328,249,11574,4325,77,4402,1848,45,1894,57405,28216,85630
Rest of Tas.,6RTAS,33666,33666,39480,2584,42065,14750,358,15110,13154,116,13272,5286,38,5328,2493,18,2515,75163,36788,111949
Greater Darwin,7GDAR,8957,8957,12411,1764,14178,7209,537,7749,6960,179,7134,3122,60,3179,1817,38,1852,31515,11527,43043
Rest of NT,7RNTE,5269,5269,5218,605,5829,2849,161,3011,2860,69,2931,1702,10,1718,3249,9,3260,15881,6131,22013
Australian Capital Territory,8ACTE,35413,35413,42545,4366,46915,22490,1681,24175,23201,581,23786,8539,188,8727,3537,118,3653,100308,42355,142664
Other Territories,9OTER,369,369,463,12,479,201,0,200,160,0,160,93,0,90,66,0,66,980,383,1360
