gccsa_code16,gccsa_name16,num_owners_managers_unincorp_enteprise_000_males,num_owners_managers_unincorp_enteprise_000_females,num_owners_managers_unincorp_enteprise_000_person,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
1GSYD,Greater Sydney,219.875,143.876,363.751,37237,29142,33999
1RNSW,Rest of NSW,146.157,103.76700000000001,249.919,32827,24999,29416
2GMEL,Greater Melbourne,203.562,132.711,336.276,35645,26379,31882
2RVIC,Rest of Vic.,88.42,61.06399999999999,149.491,31918,24225,28586
3GBRI,Greater Brisbane,91.088,62.068999999999996,153.153,37903,26470,32876
3RQLD,Rest of Qld,129.577,91.016,220.59799999999998,33895,23185,28917
4GADE,Greater Adelaide,58.276,36.463,94.744,34774,26118,31336
4RSAU,Rest of SA,27.101,19.619,46.718999999999994,34235,28337,31526
5GPER,Greater Perth,92.209,57.272,149.482,46327,29864,39415
5RWAU,Rest of WA,33.211999999999996,23.818,57.03,44294,30990,38132
6GHOB,Greater Hobart,10.414000000000001,6.718999999999999,17.132,36426,29120,33617
6RTAS,Rest of Tas.,15.435,10.243,25.675,31517,24073,28320
7GDAR,Greater Darwin,5.981,3.673,9.656,52458,39493,47367
7RNTE,Rest of NT,1.8119999999999998,1.255,3.0589999999999997,44565,37740,41676
8ACTE,Australian Capital Territory,12.874,8.888,21.76,44593,35964,41048
