state_code,state_name,gccsa_code16,gccsa_name16,males_age_0_4,males_age_5_9,males_age_10_14,males_age_15_19,males_age_20_24,males_age_25_29,males_age_30_34,males_age_35_39,males_age_40_44,males_age_45_49,males_age_50_54,males_age_55_59,males_age_60_64,males_age_65_69,males_age_70_74,males_age_75_79,males_age_80_84,males_age_85_plus,males_total,females_age_0_4,females_age_5_9,females_age_10_14,females_age_15_19,females_age_20_24,females_age_25_29,females_age_30_34,females_age_35_39,females_age_40_44,females_age_45_49,females_age_50_54,females_age_55_59,females_age_60_64,females_age_65_69,females_age_70_74,females_age_75_79,females_age_80_84,females_age_85_plus,females_total,persons_age_0_4,persons_age_5_9,persons_age_10_14,persons_age_15_19,persons_age_20_24,persons_age_25_29,persons_age_30_34,persons_age_35_39,persons_age_40_44,persons_age_45_49,persons_age_50_54,persons_age_55_59,persons_age_60_64,persons_age_65_69,persons_age_70_74,persons_age_75_79,persons_age_80_84,persons_age_85_plus,persons_total
1,New South Wales,1GSYD,Greater Sydney,171063,168466,153019,155370,194892,216326,212291,192756,174757,165596,153087,144364,122408,106184,84779,57708,39135,36705,2548906,161941,159439,143542,146170,187403,216589,215135,189812,174588,173105,156934,150142,130932,112146,89538,65638,49105,61290,2583449,333004,327905,296561,301540,382295,432915,427426,382568,349345,338701,310021,294506,253340,218330,174317,123346,88240,97995,5132355
1,New South Wales,1RNSW,Rest of NSW,84077,90370,87179,85452,81564,79784,76962,73375,78963,85435,85596,93237,87802,83077,69601,48345,31523,26993,1349335,79542,86220,82573,81573,76998,79458,79109,76729,81808,90238,90096,97201,90008,83099,70363,52116,38373,44480,1379984,163619,176590,169752,167025,158562,159242,156071,150104,160771,175673,175692,190438,177810,166176,139964,100461,69896,71473,2729319
2,Victoria,2GMEL,Greater Melbourne,163381,154911,140288,144256,193890,206419,201533,178303,162111,158746,141896,132358,112284,97176,78085,55408,37783,34777,2393605,154522,146819,132702,139240,186373,207810,205253,177492,163595,168049,148505,138981,121216,105740,84845,63583,48268,57183,2450176,317903,301730,272990,283496,380263,414229,406786,355795,325706,326795,290401,271339,233500,202916,162930,118991,86051,91960,4843781
2,Victoria,2RVIC,Rest of Vic.,46035,48300,46595,46966,44748,43371,41516,39721,42671,46730,47032,50279,48187,46083,37349,25700,16620,14461,732364,43545,45389,44015,43663,41091,42746,43064,41673,44357,49361,49462,52626,49773,46343,37205,27612,19780,23798,745503,89580,93689,90610,90629,85839,86117,84580,81394,87028,96091,96494,102905,97960,92426,74554,53312,36400,38259,1477867
3,Queensland,3GBRI,Greater Brisbane,82263,84008,78115,78604,94989,95632,91860,83422,81306,80385,72136,67345,56760,51197,40285,26524,15974,14176,1194981,78289,79790,73655,75488,93547,96412,94145,84427,83154,83970,74910,70151,60264,53910,42086,28922,20423,24933,1218476,160552,163798,151770,154092,188536,192044,186005,167849,164460,164355,147046,137496,117024,105107,82371,55446,36397,39109,2413457
3,Queensland,3RQLD,Rest of Qld,80713,86618,84090,80477,78874,81173,78804,75066,79318,83829,80142,81074,72990,68869,56425,37513,23137,18771,1247883,76641,83050,79794,76014,76539,82109,82377,78631,82157,88506,84297,84385,75035,67926,55703,38992,26430,29226,1267812,157354,169668,163884,156491,155413,163282,161181,153697,161475,172335,164439,165459,148025,136795,112128,76505,49567,47997,2515695
4,South Australia,4GADE,Greater Adelaide,41173,41308,38406,41462,48929,47240,46940,42763,42020,44178,42064,41103,35834,32672,26241,18081,12893,12540,655847,38893,39439,36765,39393,47166,47254,47742,43366,41966,45528,43650,43361,39260,35648,29184,21600,16478,21627,678320,80066,80747,75171,80855,96095,94494,94682,86129,83986,89706,85714,84464,75094,68320,55425,39681,29371,34167,1334167
4,South Australia,4RSAU,Rest of SA,11097,12447,12252,11458,10209,10656,10742,10177,11015,12935,13326,14561,14068,13397,11220,7511,4749,3992,195812,10848,11649,11681,11102,9006,10158,10590,10075,10878,13006,13256,14435,13565,13021,11033,7766,5314,6309,193692,21945,24096,23933,22560,19215,20814,21332,20252,21893,25941,26582,28996,27633,26418,22253,15277,10063,10301,389504
5,Western Australia,5GPER,Greater Perth,70359,68070,62846,62898,73706,80824,83267,73489,68151,69301,62953,58295,50179,44697,34483,23867,15378,13151,1015914,66484,64714,59341,60139,69920,80050,82889,72268,68006,70229,64323,60440,53718,46365,35722,26660,19475,22384,1023127,136843,132784,122187,123037,143626,160874,166156,145757,136157,139530,127276,118735,103897,91062,70205,50527,34853,35535,2039041
5,Western Australia,5RWAU,Rest of WA,18817,19241,17784,16000,14134,18162,19862,18540,18742,19830,19141,18835,16347,14210,10364,6829,3974,3056,273868,18098,18771,17698,15127,12924,16756,18913,17511,17267,18707,17879,17918,15614,13277,9855,7018,4666,4544,262543,36915,38012,35482,31127,27058,34918,38775,36051,36009,38537,37020,36753,31961,27487,20219,13847,8640,7600,536411
