gcc_code16,p_15_19_num_chld_evr_brn_nne,p_15_19_num_chld_evr_brn_1,p_15_19_num_chld_evr_brn_2,p_15_19_num_chld_evr_brn_3,p_15_19_num_chld_evr_brn_4,p_15_19_num_chld_evr_brn_5,p_15_19_num_chd_evr_brn_6_mr,p_15_19_num_chld_evr_brn_ns,p_15_19_yrs_total,p_20_24_num_chld_evr_brn_nne,p_20_24_num_chld_evr_brn_1,p_20_24_num_chld_evr_brn_2,p_20_24_num_chld_evr_brn_3,p_20_24_num_chld_evr_brn_4,p_20_24_num_chld_evr_brn_5,p_20_24_num_chd_evr_brn_6_mr,p_20_24_num_chld_evr_brn_ns,p_20_24_yrs_total,p_25_29_num_chld_evr_brn_nne,p_25_29_num_chld_evr_brn_1,p_25_29_num_chld_evr_brn_2,p_25_29_num_chld_evr_brn_3,p_25_29_num_chld_evr_brn_4,p_25_29_num_chld_evr_brn_5,p_25_29_num_chd_evr_brn_6_mr,p_25_29_num_chld_evr_brn_ns,p_25_29_yrs_total,p_30_34_num_chld_evr_brn_nne,p_30_34_num_chld_evr_brn_1,p_30_34_num_chld_evr_brn_2,p_30_34_num_chld_evr_brn_3,p_30_34_num_chld_evr_brn_4,p_30_34_num_chld_evr_brn_5,p_30_34_num_chd_evr_brn_6_mr,p_30_34_num_chld_evr_brn_ns,p_30_34_yrs_total,p_35_39_num_chld_evr_brn_nne,p_35_39_num_chld_evr_brn_1,p_35_39_num_chld_evr_brn_2,p_35_39_num_chld_evr_brn_3,p_35_39_num_chld_evr_brn_4,p_35_39_num_chld_evr_brn_5,p_35_39_num_chd_evr_brn_6_mr,p_35_39_num_chld_evr_brn_ns,p_35_39_yrs_total,p_40_44_num_chld_evr_brn_nne,p_40_44_num_chld_evr_brn_1,p_40_44_num_chld_evr_brn_2,p_40_44_num_chld_evr_brn_3,p_40_44_num_chld_evr_brn_4,p_40_44_num_chld_evr_brn_5,p_40_44_num_chd_evr_brn_6_mr,p_40_44_num_chld_evr_brn_ns,p_40_44_yrs_total,p_45_49_num_chld_evr_brn_nne,p_45_49_num_chld_evr_brn_1,p_45_49_num_chld_evr_brn_2,p_45_49_num_chld_evr_brn_3,p_45_49_num_chld_evr_brn_4,p_45_49_num_chld_evr_brn_5,p_45_49_num_chd_evr_brn_6_mr,p_45_49_num_chld_evr_brn_ns,p_45_49_yrs_total,p_50_54_num_chld_evr_brn_nne,p_50_54_num_chld_evr_brn_1,p_50_54_num_chld_evr_brn_2,p_50_54_num_chld_evr_brn_3,p_50_54_num_chld_evr_brn_4,p_50_54_num_chld_evr_brn_5,p_50_54_num_chd_evr_brn_6_mr,p_50_54_num_chld_evr_brn_ns,p_50_54_yrs_total,p_55_59_num_chld_evr_brn_nne,p_55_59_num_chld_evr_brn_1,p_55_59_num_chld_evr_brn_2,p_55_59_num_chld_evr_brn_3,p_55_59_num_chld_evr_brn_4,p_55_59_num_chld_evr_brn_5,p_55_59_num_chd_evr_brn_6_mr,p_55_59_num_chld_evr_brn_ns,p_55_59_yrs_total,p_60_64_num_chld_evr_brn_nne,p_60_64_num_chld_evr_brn_1,p_60_64_num_chld_evr_brn_2,p_60_64_num_chld_evr_brn_3,p_60_64_num_chld_evr_brn_4,p_60_64_num_chld_evr_brn_5,p_60_64_num_chd_evr_brn_6_mr,p_60_64_num_chld_evr_brn_ns,p_60_64_yrs_total,p_65_69_num_chld_evr_brn_nne,p_65_69_num_chld_evr_brn_1,p_65_69_num_chld_evr_brn_2,p_65_69_num_chld_evr_brn_3,p_65_69_num_chld_evr_brn_4,p_65_69_num_chld_evr_brn_5,p_65_69_num_chd_evr_brn_6_mr,p_65_69_num_chld_evr_brn_ns,p_65_69_yrs_total,p_70_74_num_chld_evr_brn_nne,p_70_74_num_chld_evr_brn_1,p_70_74_num_chld_evr_brn_2,p_70_74_num_chld_evr_brn_3,p_70_74_num_chld_evr_brn_4,p_70_74_num_chld_evr_brn_5,p_70_74_num_chd_evr_brn_6_mr,p_70_74_num_chld_evr_brn_ns,p_70_74_yrs_total,p_75_79_num_chld_evr_brn_nne,p_75_79_num_chld_evr_brn_1,p_75_79_num_chld_evr_brn_2,p_75_79_num_chld_evr_brn_3,p_75_79_num_chld_evr_brn_4,p_75_79_num_chld_evr_brn_5,p_75_79_num_chd_evr_brn_6_mr,p_75_79_num_chld_evr_brn_ns,p_75_79_yrs_total,p_80_84_num_chld_evr_brn_nne,p_80_84_num_chld_evr_brn_1,p_80_84_num_chld_evr_brn_2,p_80_84_num_chld_evr_brn_3,p_80_84_num_chld_evr_brn_4,p_80_84_num_chld_evr_brn_5,p_80_84_num_chd_evr_brn_6_mr,p_80_84_num_chld_evr_brn_ns,p_80_84_yrs_total,p_85_ov_num_chld_evr_brn_nne,p_85_ov_num_chld_evr_brn_1,p_85_ov_num_chld_evr_brn_2,p_85_ov_num_chld_evr_brn_3,p_85_ov_num_chld_evr_brn_4,p_85_ov_num_chld_evr_brn_5,p_85_ov_num_chd_evr_brn_6_mr,p_85_ov_num_chld_evr_brn_ns,p_85ov_total,tot_nmbr_child_ever_born_none,tot_nmbr_children_ever_born_1,tot_nmbr_children_ever_born_2,tot_nmbr_children_ever_born_3,tot_nmbr_children_ever_born_4,tot_nmbr_children_ever_born_5,tot_nmbr_chidrn_ever_brn_6_mr,tot_nmbr_childrn_ever_born_ns,total_total,gcc_name16
1RNSW,66663,1212,159,42,16,9,28,9499,77623,54404,7344,3543,852,146,38,35,6610,72973,37886,13171,10986,4102,1136,342,164,5753,73536,20294,14605,20533,9727,3203,993,531,5156,75044,11567,10430,24872,14371,5295,1647,1099,4654,73938,10131,9870,29362,18047,6723,2121,1520,5372,83150,10751,9951,30792,19042,7232,2294,1505,5852,87411,11271,9907,31363,20563,7987,2453,1514,6220,91272,11106,9333,32295,22761,9266,2630,1401,6763,95548,9446,8103,30152,22158,8990,2495,1302,6522,89170,7752,6848,29453,21021,8834,2665,1476,6683,84738,5643,4888,21104,17322,8256,2675,1702,5846,67448,3969,2938,12909,12982,7908,3136,2423,5464,51714,2641,2306,8092,8764,5956,2946,2607,4974,38276,3035,3192,9052,8687,5982,2885,3017,8907,44759,266571,114097,294679,200421,86923,29320,20321,94273,1106598,Rest of NSW
1GSYD,123375,834,152,31,12,5,37,16304,140747,139844,7725,2892,601,103,27,57,17281,168532,131569,24046,13581,4214,1081,253,153,18298,193205,83838,43872,38200,12656,3728,1039,562,15180,199076,42492,33444,57217,22959,7152,2108,1268,11603,178236,30358,26189,63036,29178,9415,2813,1821,10198,173013,26313,24849,60198,29518,9652,2989,1937,9716,165164,23458,22575,56033,28694,9917,3004,2008,9199,154896,20364,21176,50112,28261,10301,3288,2113,8686,144303,16148,17534,42850,25697,9801,3085,2097,7618,124830,12271,12559,39074,24004,9299,2969,2014,7242,109424,8240,7787,28143,18753,8016,2739,2121,5903,81691,5458,5195,18803,14870,7451,3027,2821,5289,62897,4075,3955,12479,10656,6149,2763,3173,4985,48237,5486,5793,14414,11131,6640,3190,4233,9833,60728,673293,257520,497180,261214,98713,33307,26414,157333,2004978,Greater Sydney
2RVIC,35840,447,77,16,7,3,15,5496,41900,29915,3498,1546,350,74,20,24,3742,39160,21627,6885,5332,1920,524,116,63,3165,39638,11780,8097,10975,4961,1565,433,237,2904,40959,6870,5750,13323,7794,2685,763,508,2613,40303,6192,5280,15479,9904,3534,1071,706,2952,45115,6228,5291,16665,10805,4119,1161,808,3279,48358,6426,4839,16709,11785,4660,1370,842,3434,50065,6196,4561,16401,12693,5285,1484,834,3592,51049,5119,3914,15849,12170,5195,1451,776,3627,48091,4025,3175,14608,11482,5149,1662,886,3481,44471,2647,2069,9435,8788,4664,1769,1223,2968,33566,1833,1284,5573,6413,4382,2000,1768,2707,25954,1206,1000,3622,4346,3447,1773,1835,2509,19732,1675,1567,4611,4736,3592,1857,2160,3981,24186,147580,57662,150210,108175,48887,16936,12669,50450,592560,Rest of Vic.
2GMEL,116349,575,96,14,12,5,30,15768,132846,139335,6541,2282,463,80,14,48,16031,164798,128429,22974,11373,3248,835,197,123,16269,183453,81159,42377,35339,10134,2807,831,481,13604,186733,40899,30653,54216,19515,5259,1530,1083,10097,163249,29359,24617,59657,26213,7355,2152,1579,9267,160201,25933,22594,60547,28114,8229,2333,1684,9171,158609,21612,19594,53509,27571,8425,2221,1558,8528,143012,18069,16852,48037,27310,9183,2462,1615,8093,131611,13942,14044,41439,24606,8737,2473,1534,7004,113786,10135,10269,37743,23327,8731,2559,1640,6691,101093,6332,6253,26481,18564,7861,2595,1856,5255,75193,4380,4483,17789,14714,7653,2910,2605,4846,59371,3187,3467,12301,10801,6235,2704,2901,4666,46260,4331,5157,13466,11232,6561,3184,3670,7910,55507,643452,230457,474269,245822,87965,28169,22393,143200,1875718,Greater Melbourne
3GBRI,63985,804,112,22,6,0,15,6913,71861,67958,5969,2621,602,134,20,51,7276,84621,53369,12586,8699,3069,948,267,146,6813,85894,32701,18282,19308,7166,2444,776,528,5700,86907,17424,13756,26114,11441,3945,1327,995,4426,79428,13463,11916,29319,14422,4955,1662,1378,4335,81447,12014,11023,28723,14827,5287,1726,1374,4283,79250,10356,9207,25900,14707,5389,1789,1292,4004,72649,8360,7594,23220,14844,5741,1760,1158,3726,66406,6602,6264,20266,13466,5585,1638,1030,3523,58379,5105,4950,18585,12831,5538,1711,1048,3357,53117,3536,3202,12283,9716,4549,1653,1157,2697,38789,2371,1821,6997,6763,4154,1883,1434,2365,27788,1629,1303,4218,4465,3071,1590,1620,2259,20163,1875,1861,4867,4641,3211,1684,1809,4835,24777,300755,110534,231225,132974,54954,19495,15032,66520,931482,Greater Brisbane
3RQLD,62598,1136,172,32,20,7,19,9127,73117,53358,7337,3407,857,167,26,46,7742,72939,40341,12996,10556,3982,1193,323,148,7561,77098,23471,15421,20382,9222,3068,1007,635,6755,79963,13434,11567,25223,13031,4929,1627,1231,6031,77064,11519,11186,29080,16118,6210,2094,1636,6335,84176,11736,11011,29864,16883,6532,2180,1703,6709,86611,11293,10092,28931,17709,7174,2297,1543,6874,85919,10289,8780,28316,19151,7922,2385,1496,7119,85459,8436,7571,26827,18404,7565,2267,1378,6766,79218,6967,6587,26244,18284,7789,2444,1445,6907,76672,4880,4332,17992,14618,7023,2528,1680,5795,58836,3182,2628,10025,10031,6187,2667,2055,4534,41303,1968,1752,5509,6135,4415,2166,2083,3598,27621,2189,2389,5860,5584,3957,2173,2361,5546,30065,265655,114782,268388,170037,74153,26194,19466,97392,1036068,Rest of Qld
4RSAU,8556,146,22,6,3,0,0,1317,10061,6295,1033,541,89,32,5,7,776,8772,4482,1743,1693,628,205,47,27,711,9537,2317,1817,2962,1522,491,162,87,650,10010,1354,1213,3318,2175,716,232,145,613,9772,1304,1238,3953,2504,920,284,197,673,11074,1517,1363,4359,2907,1061,323,240,845,12623,1621,1352,4550,3059,1089,381,221,895,13172,1556,1301,4977,3231,1287,382,224,965,13923,1344,1147,4908,3208,1297,316,185,919,13326,1032,990,4809,3294,1278,357,205,935,12909,735,631,3166,2724,1289,417,278,795,10026,464,365,1721,1972,1253,545,368,648,7343,291,227,979,1231,1000,491,437,514,5174,364,375,1161,1310,967,523,563,1056,6317,33233,14951,43120,29859,12894,4463,3186,12316,154024,Rest of SA
4GADE,34785,310,55,20,4,0,12,3806,38987,36536,2512,1045,203,44,6,13,3335,43695,28579,6800,4166,1210,315,80,55,2821,44020,16938,10637,10810,3378,990,317,200,2485,45753,8811,7739,14793,5782,1663,536,389,2007,41721,6837,6690,16549,6993,2166,685,505,1895,42320,6903,6549,17447,7946,2382,660,555,2090,44527,6839,5929,16896,7973,2686,778,533,2069,43703,6119,5387,16514,8349,2831,771,486,2131,42576,4972,4676,15175,7833,2636,700,397,1839,38229,3790,3780,14387,7798,2592,675,408,1855,35287,2372,2257,10176,6655,2451,740,454,1591,26706,1539,1436,6392,5583,2828,1037,695,1459,20966,1034,1160,4177,4210,2516,1062,894,1455,16497,1568,1882,5434,4766,2861,1423,1225,2535,21702,167617,67739,154026,78708,28969,9474,6815,33366,546699,Greater Adelaide
5GPER,52091,497,59,13,3,9,15,6106,58780,51942,4417,1668,323,76,16,26,5990,64454,46716,11341,7021,2209,562,139,81,6376,74442,29169,17179,17326,5717,1636,475,246,5552,77303,14368,12349,23750,9805,2776,801,528,4074,68444,10275,9883,26023,12085,3718,1127,791,3908,67810,9447,9281,26233,12592,3958,1143,843,3760,67245,8213,7692,23669,12820,4337,1186,816,3479,62212,6727,6342,21503,12917,4547,1245,702,3323,57297,5317,5438,19052,11828,4351,1108,703,3087,50885,3809,4093,17223,10801,4073,1148,649,2919,44715,2433,2480,11023,8368,3560,1080,685,2461,32091,1654,1641,6850,6788,3797,1362,963,2413,25469,1170,1129,4233,4673,3091,1368,1122,2299,19087,1273,1499,4533,4401,3012,1453,1415,4323,21906,244601,95252,210158,115354,43486,13655,9571,60069,792146,Greater Perth
5RWAU,11425,273,40,14,3,4,3,2239,13996,8769,1656,766,187,45,5,11,1641,13080,8419,2814,2508,1028,300,89,37,2156,17346,5371,3140,4746,2380,788,206,150,2092,18863,2844,2206,5433,3216,1193,369,265,1672,17211,2373,2002,6118,3539,1359,443,375,1677,17885,2374,2040,6139,3813,1557,522,404,1854,18703,2235,1760,5960,4165,1700,585,409,1944,18754,1844,1531,6027,4502,1959,636,405,1916,18817,1469,1261,5704,4408,1768,579,352,1721,17263,1060,956,5143,3995,1749,510,304,1634,15351,645,578,3034,2805,1479,504,310,1148,10502,356,312,1469,1889,1309,561,401,852,7154,220,176,734,1104,933,492,414,664,4741,233,228,782,948,787,408,465,813,4666,49636,20945,54602,37985,16920,5922,4308,24025,214336,Rest of WA
